date,model,model_version,portfolio_value,gross_daily_return,estimated_net_daily_return,gross_cumulative_return,cash,exposure,turnover,governance_status,promotion_status,data_status,integrity_status,risk_flags,real_orders
2026-07-10,growth_champion_final,growth_champion_final_v1_0_frozen,100000.0,0.0,-0.0018674356279351,0.0,0.5649591405844284,0.4350408594155715,0.4350408594155715,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-07-13,growth_champion_final,growth_champion_final_v1_0_frozen,98845.81357152593,-0.0115418642847409,-0.0115418642847409,-0.0115418642847409,0.5649591405844284,0.4350408594155715,0.0,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-07-14,growth_champion_final,growth_champion_final_v1_0_frozen,97987.67215623928,-0.0086816161886885,-0.0086816161886885,-0.0201232784376074,0.5649591405844284,0.4350408594155715,0.0,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-07-15,growth_champion_final,growth_champion_final_v1_0_frozen,98456.79355615286,0.0047875553076266,0.0047875553076266,-0.0154320644384714,0.5649591405844284,0.4350408594155715,0.0,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-07-17,growth_champion_final,growth_champion_final_v1_0_frozen,97620.67610087448,-0.0084922271493792,-0.0103596627773143,-0.0237932389912552,0.5962376282132245,0.4037623717867756,0.4350408594155715,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-07-20,growth_champion_final,growth_champion_final_v1_0_frozen,98597.72238911958,0.0100085998916405,0.0100085998916405,-0.0140227761088043,0.5962376282132245,0.4037623717867756,0.0,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-07-23,growth_champion_final,growth_champion_final_v1_0_frozen,97951.05932081316,-0.0065586004690286,-0.0065586004690286,-0.0204894067918686,0.5962376282132245,0.4037623717867756,0.0,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-07-24,growth_champion_final,growth_champion_final_v1_0_frozen,97440.05387581044,-0.0052169465909402,-0.0063717616975571,-0.0255994612418957,0.5290911973398789,0.4709088026601212,0.2690276167667333,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-07-27,growth_champion_final,growth_champion_final_v1_0_frozen,98594.65847579043,0.0118493838422088,0.0118493838422088,-0.0140534152420956,0.5290911973398789,0.4709088026601212,0.0,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
2026-08-13,growth_champion_final,growth_champion_final_v1_0_frozen,107908.67598780185,0.09446776991776323,0.09446776991776323,0.0790867598780185,0.5290911973398789,0.4709088026601212,0.0,official_forward_warmup,real_capital_blocked,SINGLE_SOURCE_FRESH,PASS,official_forward_warmup,False
