window_start,window_pass,v2_CAGR,v3_CAGR,v2_Sharpe,v3_Sharpe,v2_Sortino,v3_Sortino,v2_Calmar,v3_Calmar,v2_max_drawdown,v3_max_drawdown,cagr_sacrifice_pct,Sharpe_improved,Sortino_improved,Calmar_improved,drawdown_improved,CAGR_sacrifice_le_15pct,selected_champion,classification,production_changed,paper_changed,parameter_tuning,new_overlay_added,reason
2008-01-01,True,0.1751417320600472,0.1688000284647486,0.9642979349522935,1.0172424290168218,1.4740849011752517,1.620087682888704,0.5049536217798569,0.6846294873820763,-0.3468471647806167,-0.2465567603729944,0.036208980696413186,True,True,True,True,True,,,,,,,
2010-01-01,True,0.165986141420146,0.1704083871014734,0.9222535265280364,1.0079203797725391,1.3776277461888935,1.576319245064424,0.4398537662723417,0.6075437787813985,-0.3773666480722444,-0.2804874200889289,-0.026642258465023078,True,True,True,True,True,,,,,,,
2015-01-01,True,0.2268188894958049,0.2475415649772943,1.0500464367883957,1.200583085515422,1.5535935290663971,1.8429331568309752,0.566204082389228,0.783925415647351,-0.4005956448400912,-0.3157718324170917,-0.09136221206070526,True,True,True,True,True,,,,,,,
2020-01-01,True,0.2450533203067775,0.2898009376344281,0.9051637876655658,1.0851723169205112,1.737103573243603,2.251497051751925,0.4619297615995249,0.6491862403725529,-0.5304990946204267,-0.4464064695334857,-0.18260359529767609,True,True,True,True,True,,,,,,,
2022-01-03,True,0.623094239588079,0.6397356904633136,1.6734005026226084,1.7440315023438897,3.0247102965164303,3.226307584164761,2.106540137777737,2.619710531758832,-0.2957903476006884,-0.2442009079658909,-0.026707759144485265,True,True,True,True,True,,,,,,,
ALL,True,,,,,,,,,,,,,,,,,growth_champion_final,growth_champion_final,False,False,False,False,"v3 improves Sharpe, Sortino, Calmar and drawdown in every window without >15% CAGR sacrifice."
