ticker,weight,standalone_volatility,marginal_contribution_to_risk,component_contribution_to_risk,pct_total_portfolio_risk,beta_vs_spy,beta_contribution,drawdown_contribution,correlation_with_portfolio,correlation_with_spy,correlation_with_qqq,daily_return_proxy,daily_pnl
ARM,0.1450136198051905,0.8944753077813612,0.7562015567882213,0.10965952505218031,0.5480853710641508,3.6270030444070867,0.5259648405139178,0.0,0.8420520641484045,0.5721859767176214,0.6324899082580308,0.0,0.0
BABA,0.1450136198051905,0.4333038032068558,0.28156277808228053,0.04083043765211706,0.204073157900544,1.3641236376838155,0.19781650656235428,0.0,0.6472208128895557,0.4442412469335881,0.4139009736125257,0.0,0.0
SE,0.1450136198051905,0.5390982565268209,0.3419505721703422,0.04958749026487736,0.2478414710353052,1.3051822340337433,0.18926920026265845,0.0,0.6317789349901257,0.34163383192834945,0.2726579289155405,0.0,0.0
