date,ticker,action,weight_change,order_value,portfolio_value,adv20,adv60,participation_rate,daily_volatility,spread_proxy,commission_cost,spread_cost,slippage_rate,slippage_cost,impact_Y,impact_rate,impact_cost,total_cost,total_cost_bps_of_order,missing_liquidity_data,scenario
2008-12-31,BKNG,BUY,0.125,12500.0,100000.0,91724414.65690732,100227098.75948231,0.00012471676976300182,0.039098630657684465,0.012016123903085003,2.5,75.10077439428127,0.0001091601146318786,1.3645014328984826,0.5,0.0002183202292637572,2.729002865796965,81.69427869297672,65.35542295438138,False,impact_Y_0.5
2008-12-31,ORLY,BUY,0.125,12500.0,100000.0,63170571.865448356,48161898.636740446,0.0002595412629863462,0.02965539938837309,0.006131900684682711,2.5,38.32437927926694,0.0001194392294291408,1.49299036786426,0.5,0.0002388784588582816,2.98598073572852,45.30335038285972,36.242680306287774,False,impact_Y_0.5
2009-01-08,BKNG,REDUCE,-0.0625,6250.0,100000.0,88109787.97996044,95757007.54039486,6.526937464460188e-05,0.03690909670152207,0.006646866296714109,1.25,20.771457177231593,7.454665331569541e-05,0.4659165832230963,0.5,0.00014909330663139081,0.9318331664461926,23.41920692690088,37.47073108304141,False,impact_Y_0.5
2009-01-08,NFLX,BUY,0.0625,6250.0,100000.0,32834369.33130174,29739060.47959675,0.000210161313074701,0.024177684023790523,0.012592110007998716,1.25,39.35034377499599,8.762561777051596e-05,0.5476601110657248,0.5,0.00017525123554103193,1.0953202221314495,42.243324108193164,67.58931857310907,False,impact_Y_0.5
2009-01-08,ORLY,REDUCE,-0.0625,6250.0,100000.0,57027823.27657342,47285327.76296437,0.00013217630702129198,0.02216529004328767,0.007810894893651898,1.25,24.409046542662182,6.370745176731035e-05,0.39817157354568966,0.5,0.0001274149035346207,0.7963431470913793,26.853561263299248,42.9656980212788,False,impact_Y_0.5
2009-01-08,TMUS,BUY,0.0625,6250.0,100000.0,44155627.833628654,39763202.731957436,0.00015718049781178502,0.03437829199176636,0.01094721389656245,1.25,34.21004342675766,0.00010775157689180239,0.6734473555737649,0.5,0.00021550315378360477,1.3468947111475298,37.48038549347895,59.96861678956631,False,impact_Y_0.5
2009-01-15,MNST,BUY,0.0625,6250.0,100000.0,43845312.599658966,44445071.12280846,0.00014062301717844718,0.028639939127979804,0.008033867462660691,1.25,25.105835820814658,8.490637611316598e-05,0.5306648507072874,0.5,0.00016981275222633196,1.0613297014145748,27.94783037293652,44.716528596698424,False,impact_Y_0.5
2009-01-15,TMUS,SELL,-0.0625,6250.0,100000.0,54579590.98923683,42416325.419519745,0.0001473489261076771,0.04632119108461726,0.007433625490309436,1.25,23.23007965721699,0.00014057018432849796,0.8785636520531123,0.5,0.0002811403686569959,1.7571273041062245,27.115770613376327,43.385232981402126,False,impact_Y_0.5
2009-02-06,BKNG,SELL,-0.0625,6250.0,100000.0,101946939.63083625,94423012.803634,6.619149097686343e-05,0.028266003789070737,0.0173368291394538,1.25,54.17759106079313,5.749174668977179e-05,0.3593234168110737,0.5,0.00011498349337954358,0.7186468336221474,56.505561311226344,90.40889809796214,False,impact_Y_0.5
2009-02-06,VALE,BUY,0.0625,6250.0,100000.0,582986584.513464,441177078.99805546,1.4166647129978272e-05,0.0525257353597791,0.0002526577558620047,1.25,0.7895554870687647,4.942488734785846e-05,0.3089055459241154,0.5,9.884977469571692e-05,0.6178110918482308,2.9662721248411112,4.746035399745778,False,impact_Y_0.5
