fold_id,fold_type,window_label,start_date,end_date,observations,periods_per_year_estimate,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,average_turnover,average_exposure,average_cash,average_selected_count,alpha_vs_SPY,alpha_vs_QQQ,information_ratio_vs_SPY,information_ratio_vs_QQQ,benchmark_status,train_observations_after_purge_embargo,test_start,test_end,embargo_end,purge_start
1,train,expanding_train_purged,2008-12-31,2011-11-30,148,52.17857142857143,0.2726573659802287,0.08628897060140495,0.1500601269057291,0.6417635898958473,0.9299787873552678,0.5796401648533597,-0.1488664447937882,0.5675675675675675,0.09695945945945945,0.4976351351351352,0.5023648648648649,3.804054054054054,-0.0010145239565123346,-0.0029557797682486127,-0.17065337619768622,-0.5157567802942711,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
1,validation,fixed_validation,2012-01-06,2012-06-28,25,52.17857142857143,-0.021195207692740747,-0.0439737800933635,0.1481905905639784,-0.23011038796937638,-0.3426411639846762,-0.3786549959674515,-0.1161315196198901,0.52,0.078,0.6,0.4000000000000001,3.92,-0.0037939697843002015,-0.005984182691132565,-0.9462477113696252,-1.4706595078283904,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
1,test,fixed_test_embargoed,2012-08-03,2013-01-29,25,52.17857142857143,0.20593740867708887,0.46535690445737643,0.16976872529756554,2.38954693047848,7.213573081288757,10.243556672188273,-0.04542923120841824,0.56,0.07599999999999998,0.568,0.43200000000000005,3.96,0.003253875928477315,0.004930892342502564,0.8428595247196892,1.1381411620610737,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
2,train,expanding_train_purged,2008-12-31,2012-05-31,173,52.17857142857143,0.3116176954218306,0.08269491761822123,0.14820834830499083,0.6264383462284959,0.9163242779142705,0.5550325392885904,-0.1489911163122345,0.5664739884393064,0.09450867052023122,0.508092485549133,0.491907514450867,3.820809248554913,-0.0012998845619670509,-0.003186155216700845,-0.2352844957699829,-0.5813258801233778,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
2,validation,fixed_validation,2012-07-06,2012-12-28,25,52.17857142857143,0.03855338543711295,0.0821545912219277,0.129503884831123,0.6720993684456903,1.1743571513946753,1.8084081336314641,-0.04542923120841813,0.48,0.07599999999999998,0.5680000000000001,0.43199999999999994,3.96,-0.0014298060583665885,0.00012380237882075981,-0.4546366763616628,0.034069326449606516,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
2,test,fixed_test_embargoed,2013-02-05,2013-07-29,25,52.17857142857143,-0.0045910454325320815,-0.009612925626894864,0.17903379636788946,0.030971196305559702,0.07529661302006868,-0.12794321528361757,-0.07513431334037879,0.44,0.10999999999999999,0.6,0.4000000000000001,3.88,-0.00519932118132809,-0.0049010813603787215,-1.105368154691352,-1.035915596043888,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
3,train,expanding_train_purged,2008-12-31,2012-11-29,198,52.17857142857143,0.2874328259050447,0.06670767019617951,0.14638973411841527,0.5281913238101098,0.7799141425038981,0.350424215758328,-0.19036261535699583,0.5505050505050505,0.09242424242424241,0.5176767676767676,0.4823232323232323,3.8383838383838382,-0.0016427438702902061,-0.0031692249958959317,-0.31678488875347177,-0.599587426631378,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
3,validation,fixed_validation,2013-01-07,2013-06-28,25,52.17857142857143,0.10730702083735189,0.24166737665599003,0.2098847461797854,1.113559530621453,3.1620336660971526,2.7191307529149444,-0.08887670311437557,0.52,0.09799999999999999,0.6,0.4000000000000001,3.88,-0.0012230361741252475,0.00010647992785195459,-0.2406897226628559,0.020497984766208083,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
3,test,fixed_test_embargoed,2013-08-05,2014-01-27,25,52.17857142857143,0.16565916302944195,0.3770331701672731,0.15080595813764366,2.199820053460142,4.000565918074193,9.952436940821752,-0.037883502544065584,0.52,0.08999999999999998,0.6,0.4000000000000001,4.0,0.003595718148233109,0.0003740216699046825,1.03994103122149,0.10291966379242119,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
4,train,expanding_train_purged,2008-12-31,2013-05-31,223,52.17857142857143,0.44798900534840413,0.08749306659746892,0.15421502078900107,0.6386548520108069,1.0154507437616,0.45961265258616624,-0.19036261535699583,0.5515695067264574,0.09349775784753364,0.5251121076233184,0.47488789237668166,3.8430493273542603,-0.001666813992592623,-0.002836242413572024,-0.3237877483230267,-0.5362600514878865,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
4,validation,fixed_validation,2013-07-08,2013-12-26,25,52.17857142857143,0.16069557395646394,0.37478909488551615,0.15572736935718223,2.077269881226093,3.8817546006918584,6.5889495725784135,-0.05688146354091039,0.48,0.096,0.6,0.4000000000000001,4.0,0.0005974900123592863,-0.002430894394641645,0.16255230807349874,-0.6397955879078239,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
4,test,fixed_test_embargoed,2014-02-03,2014-07-25,25,52.17857142857143,-0.007763021699868311,-0.016413268032572037,0.16853320688919576,-0.015164101575646188,-0.022315361659250806,-0.1265042908650894,-0.12974475348093906,0.6,0.11399999999999996,0.6,0.4000000000000001,3.8,-0.004678422896587344,-0.005052492372067693,-1.3463727618196455,-1.4823344961926401,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
5,train,expanding_train_purged,2008-12-31,2013-11-26,248,52.17857142857143,0.6013628832458711,0.10078599256636411,0.15476419297244193,0.7175043969940773,1.1637562686189138,0.5294421511143639,-0.19036261535699583,0.5362903225806451,0.09314516129032256,0.5326612903225805,0.4673387096774194,3.8588709677419355,-0.0014650858265371964,-0.0026825007926397364,-0.29020651396441793,-0.519704060908418,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
5,validation,fixed_validation,2014-01-03,2014-06-26,25,52.17857142857143,0.02361366973440826,0.05021211447955687,0.1760233097815046,0.3616968627012949,0.564625575922949,0.38700689725333287,-0.12974475348093928,0.6,0.11399999999999996,0.6,0.4000000000000001,3.8,-0.0019054665145659595,-0.001838345546794285,-0.5188225291025403,-0.5079153444048595,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
5,test,fixed_test_embargoed,2014-08-01,2015-01-23,25,52.17857142857143,0.08947142473046554,0.1958446986612159,0.09632474621499555,1.9058820740715294,4.69358820061268,7.312415981975484,-0.026782488734770737,0.52,0.14400000000000002,0.592,0.40800000000000003,4.0,0.0014232892493406717,0.00028279591380247875,0.4059019741048293,0.07595389983459068,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
6,train,expanding_train_purged,2008-12-31,2014-05-29,273,52.17857142857143,0.6694053855471918,0.09941041972242903,0.1560055340303826,0.7059345247867032,1.1302339327829454,0.5222160850017744,-0.19036261535699583,0.5421245421245421,0.09395604395604396,0.5388278388278388,0.4611721611721611,3.8534798534798536,-0.001410190835783956,-0.002579677471646499,-0.285364149711973,-0.5114426594690192,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
6,validation,fixed_validation,2014-07-03,2014-12-31,26,52.17857142857143,0.03993340341921581,0.08222211510918864,0.09840810458098281,0.8463159701175322,1.5757489389294463,1.9909384707986408,-0.04129816984058088,0.5,0.1326923076923077,0.5923076923076922,0.40769230769230774,4.0,-0.0012760079375857374,-0.003156772542768744,-0.3801841452752088,-0.8686198983607828,benchmarks_derived_from_aligned_SPY_QQQ_prices,,,,,
