fold_id,train_start,train_end_raw,train_end_after_purge,validation_start,validation_end,embargo_start,embargo_end,test_start,test_end,purge_days,embargo_days,train_observations,validation_observations,test_observations,parameters_frozen,reoptimized_inside_fold,future_data_reused
1,2008-12-31,2011-12-31,2011-12-01,2012-01-01,2012-06-30,2012-07-01,2012-07-30,2012-07-31,2013-01-30,30,30,148,25,25,True,False,False
2,2008-12-31,2012-06-30,2012-05-31,2012-07-01,2012-12-31,2013-01-01,2013-01-30,2013-01-31,2013-07-30,30,30,173,25,25,True,False,False
3,2008-12-31,2012-12-30,2012-11-30,2012-12-31,2013-06-29,2013-06-30,2013-07-29,2013-07-30,2014-01-29,30,30,198,25,25,True,False,False
4,2008-12-31,2013-06-30,2013-05-31,2013-07-01,2013-12-31,2014-01-01,2014-01-30,2014-01-31,2014-07-30,30,30,223,25,25,True,False,False
5,2008-12-31,2013-12-30,2013-11-30,2013-12-31,2014-06-29,2014-06-30,2014-07-29,2014-07-30,2015-01-29,30,30,248,25,25,True,False,False
6,2008-12-31,2014-06-30,2014-05-31,2014-07-01,2014-12-31,2015-01-01,2015-01-30,2015-01-31,2015-07-30,30,30,273,26,25,True,False,False
7,2008-12-31,2014-12-30,2014-11-30,2014-12-31,2015-06-29,2015-06-30,2015-07-29,2015-07-30,2016-01-29,30,30,298,25,26,True,False,False
8,2008-12-31,2015-06-30,2015-05-31,2015-07-01,2015-12-31,2016-01-01,2016-01-30,2016-01-31,2016-07-30,30,30,323,26,25,True,False,False
9,2008-12-31,2015-12-30,2015-11-30,2015-12-31,2016-06-29,2016-06-30,2016-07-29,2016-07-30,2017-01-29,30,30,349,25,25,True,False,False
10,2008-12-31,2016-06-30,2016-05-31,2016-07-01,2016-12-31,2017-01-01,2017-01-30,2017-01-31,2017-07-30,30,30,374,25,25,True,False,False
11,2008-12-31,2016-12-30,2016-11-30,2016-12-31,2017-06-29,2017-06-30,2017-07-29,2017-07-30,2018-01-29,30,30,399,25,25,True,False,False
12,2008-12-31,2017-06-30,2017-05-31,2017-07-01,2017-12-31,2018-01-01,2018-01-30,2018-01-31,2018-07-30,30,30,424,26,25,True,False,False
13,2008-12-31,2017-12-30,2017-11-30,2017-12-31,2018-06-29,2018-06-30,2018-07-29,2018-07-30,2019-01-29,30,30,450,25,26,True,False,False
14,2008-12-31,2018-06-30,2018-05-31,2018-07-01,2018-12-31,2019-01-01,2019-01-30,2019-01-31,2019-07-30,30,30,474,25,25,True,False,False
15,2008-12-31,2018-12-30,2018-11-30,2018-12-31,2019-06-29,2019-06-30,2019-07-29,2019-07-30,2020-01-29,30,30,500,25,25,True,False,False
16,2008-12-31,2019-06-30,2019-05-31,2019-07-01,2019-12-31,2020-01-01,2020-01-30,2020-01-31,2020-07-30,30,30,525,25,25,True,False,False
17,2008-12-31,2019-12-30,2019-11-30,2019-12-31,2020-06-29,2020-06-30,2020-07-29,2020-07-30,2021-01-29,30,30,550,25,26,True,False,False
18,2008-12-31,2020-06-30,2020-05-31,2020-07-01,2020-12-31,2021-01-01,2021-01-30,2021-01-31,2021-07-30,30,30,575,26,25,True,False,False
19,2008-12-31,2020-12-30,2020-11-30,2020-12-31,2021-06-29,2021-06-30,2021-07-29,2021-07-30,2022-01-29,30,30,600,24,25,True,False,False
20,2008-12-31,2021-06-30,2021-05-31,2021-07-01,2021-12-31,2022-01-01,2022-01-30,2022-01-31,2022-07-30,30,30,625,25,25,True,False,False
21,2008-12-31,2021-12-30,2021-11-30,2021-12-31,2022-06-29,2022-06-30,2022-07-29,2022-07-30,2023-01-29,30,30,651,25,25,True,False,False
22,2008-12-31,2022-06-30,2022-05-31,2022-07-01,2022-12-31,2023-01-01,2023-01-30,2023-01-31,2023-07-30,30,30,676,25,25,True,False,False
23,2008-12-31,2022-12-30,2022-11-30,2022-12-31,2023-06-29,2023-06-30,2023-07-29,2023-07-30,2024-01-29,30,30,701,25,25,True,False,False
24,2008-12-31,2023-06-30,2023-05-31,2023-07-01,2023-12-31,2024-01-01,2024-01-30,2024-01-31,2024-07-30,30,30,726,25,25,True,False,False
25,2008-12-31,2023-12-30,2023-11-30,2023-12-31,2024-06-29,2024-06-30,2024-07-29,2024-07-30,2025-01-29,30,30,751,25,25,True,False,False
26,2008-12-31,2024-06-30,2024-05-31,2024-07-01,2024-12-31,2025-01-01,2025-01-30,2025-01-31,2025-07-30,30,30,776,26,24,True,False,False
27,2008-12-31,2024-12-30,2024-11-30,2024-12-31,2025-06-29,2025-06-30,2025-07-29,2025-07-30,2026-01-29,30,30,802,24,26,True,False,False
28,2008-12-31,2025-06-30,2025-05-31,2025-07-01,2025-12-31,2026-01-01,2026-01-30,2026-01-31,2026-06-09,30,30,826,26,18,True,False,False
