date,ticker,model_mode,selected,weight,expected_daily_return,expected_total_return,target_confidence,signal_strength,quality_score,regime,regime_confidence,ema_timing_score,trend_persistence_score,quant_target_price,covariance_method
2022-01-03,AAPL,baseline,False,0.0,-0.00020895900444279053,-0.004170894346485654,0.5,0.3670149464662823,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,MSFT,baseline,False,0.0,-0.00012194004080143924,-0.002435977700999903,0.5,0.2847704064997939,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,NVDA,baseline,False,0.0,-8.942369711985815e-05,-0.0017869554037390767,0.5,0.05294250079658098,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,AMZN,baseline,False,0.0,-1.8976995131993847e-05,-0.00037947148642447637,0.5,0.052994338697195706,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,GOOGL,baseline,False,0.0,0.00014759750206529569,0.0029560928634759787,0.5,0.05300178203583468,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,META,baseline,False,0.0,-0.00015317557333757877,-0.003059057637465501,0.5,0.05297670577825827,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,TSLA,baseline,False,0.0,8.936104281247498e-06,0.00017873725869010926,0.5,0.18062779031812204,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,SPY,baseline,True,0.16368871983052427,0.0018059649602062766,0.036745752630666484,0.5,1.0,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,QQQ,baseline,False,0.0,4.8090987661896314e-05,0.0009622593012450498,0.5,0.5022687414086273,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,AVGO,baseline,False,0.0,-0.0002759794060952329,-0.0055051407762837234,0.5,0.47397669793128117,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,AMD,baseline,False,0.0,6.83944088270777e-05,0.0013687773224544397,0.5,0.05294547370260791,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,NFLX,baseline,False,0.0,-0.00012693764972216632,-0.0025356938231905213,0.5,0.05298495030162084,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,COST,baseline,False,0.0,-0.0002714114472112661,-0.005414255517319444,0.5,0.05300235436669831,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,ADBE,baseline,False,0.0,0.00012175392067421212,0.0024378970353817753,0.5,0.0,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,PEP,baseline,True,0.12842978780475578,0.00024827935243650436,0.004977316615393468,0.5,0.31008410709522083,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,CSCO,baseline,True,0.13429181593589276,0.0008162036996747189,0.016451271830315806,0.5,0.6677398262797603,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,INTC,baseline,True,0.07358967642882717,0.0001290257712453542,0.002583680928376575,0.5,0.2857629417280253,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,AMAT,baseline,False,0.0,-0.0001109315897695266,-0.002216295245529243,0.5,0.11512168619270957,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,QCOM,baseline,False,0.0,-0.00024345206766487716,-0.004857796692751104,0.5,0.09565980920386628,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,TXN,baseline,False,0.0,8.543557755894968e-05,0.0017100991175627023,0.5,0.05300251822823995,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,CCJ,baseline,False,0.0,-2.773154080697095e-05,-0.0005544847231605532,0.5,0.0529398086895676,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,YPF,baseline,False,0.0,-0.00012360642062042118,-0.002469227640225613,0.5,0.24978310368097756,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-03,VIST,baseline,False,0.0,-2.587432488483803e-06,-5.174737777624561e-05,0.5,0.1749113230162574,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AAPL,baseline,False,0.0,-0.0002016919303028898,-0.004026118820861568,0.5,0.11289903196231761,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,MSFT,baseline,False,0.0,-7.874307818689084e-05,-0.0015736840304012567,0.5,0.1128666666332399,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,NVDA,baseline,False,0.0,-5.8251061651224404e-05,-0.0011643767529230242,0.5,0.1127756465940895,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AMZN,baseline,False,0.0,-1.2975500201129249e-05,-0.00025947801742898235,0.5,0.1128957954060747,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,GOOGL,baseline,False,0.0,0.00010974303859964478,0.002197150550986793,0.5,0.11288425897606928,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,META,baseline,False,0.0,-0.00012001761755452093,-0.0023976175174541536,0.5,0.11285135583816552,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,TSLA,baseline,True,0.08990054294547085,9.286090158298366e-06,0.00018573818805989184,0.5,0.2427226833503045,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,SPY,baseline,False,0.0,4.2296407729396445e-05,0.000846268148223972,0.5,0.11305883076748098,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,QQQ,baseline,False,0.0,-0.0001755544838554673,-0.003505240158863665,0.5,0.11290686014594212,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AVGO,baseline,False,0.0,6.099545948913431e-05,0.0012206163333072784,0.5,0.11284775073351647,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AMD,baseline,False,0.0,-0.00013083361797450735,-0.0026134225983796,0.5,0.11278187331923194,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,NFLX,baseline,False,0.0,-0.00010333597060863627,-0.0020646917882227722,0.5,0.11286369353374263,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,COST,baseline,False,0.0,0.00018479994062354358,0.003702494706214976,0.5,0.11284612761405029,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,ADBE,baseline,False,0.0,9.782887168118136e-05,0.001958396894158998,0.5,0.0,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,PEP,baseline,True,0.14243536409928842,0.00016578200441303985,0.0033208671839688453,0.5,0.7637068511702247,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,CSCO,baseline,True,0.1443436081498974,0.0006442289088682,0.012963739689555887,0.5,1.0,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,INTC,baseline,True,0.12332048480534333,0.0013991046868303888,0.028357158393073956,0.5,0.9694649999909104,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,AMAT,baseline,False,0.0,-8.658218851367967e-05,-0.0017302201796107752,0.5,0.22220854811247495,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,QCOM,baseline,False,0.0,-0.00023882859414099347,-0.004765749968294597,0.5,0.11281385734330257,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,TXN,baseline,False,0.0,6.0845132079384855e-05,0.0012176063031650308,0.5,0.11286521948489975,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,CCJ,baseline,False,0.0,-3.345595551126877e-05,-0.0006689064857274829,0.5,0.11277790963778184,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,YPF,baseline,False,0.0,-0.00011559282720461641,-0.0023093195806540567,0.5,0.11278065473428747,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
2022-01-10,VIST,baseline,False,0.0,-2.8153651537581537e-06,-5.6305797107802924e-05,0.5,0.2137953962428816,0.5,neutral,,,,,ledoit_wolf/manual_diagonal_shrinkage
