date,ticker,exclusion_reason
2026-08-13,SNAP,price below $5; current price below $5
2026-08-13,JMIA,"median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000"
2026-08-13,SPCE,"price below $5; 20D realized volatility above 150% annualized; median 60D dollar volume below $50,000,000; current price below $5; 60D annualized volatility above 120%"
2026-08-13,ASTS,60D annualized volatility above 120%
2026-08-13,RGTI,20D realized volatility above 150% annualized
2026-08-13,KEEL,price below $5; current price below $5
2026-08-13,EC,"median 60D dollar volume below $50,000,000"
2026-08-13,SMCI,60D annualized volatility above 120%
2026-08-13,AACG,"price below $5; median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000; current price below $5"
2026-08-13,AAL,missing OHLCV data
2026-08-13,AAOI,20D realized volatility above 150% annualized; less than 2 years of trading history; 60D annualized volatility above 120%
2026-08-13,AAON,missing OHLCV data
2026-08-13,AAPG,missing OHLCV data
2026-08-13,AARD,"median 20D dollar volume below $20,000,000; 20D realized volatility above 150% annualized; suspicious spike/gap behavior; missing OHLCV data above 5%; median 60D dollar volume below $50,000,000; 20D average volume below 500,000 shares; 60D annualized volatility above 120%"
2026-08-13,ABAT,missing OHLCV data
2026-08-13,ABCL,"median 60D dollar volume below $50,000,000"
2026-08-13,ABEO,"median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000"
2026-08-13,ABLV,missing OHLCV data
2026-08-13,ABOS,missing OHLCV data
2026-08-13,ABSI,"median 60D dollar volume below $50,000,000"
2026-08-13,ABTC,"median 20D dollar volume below $20,000,000; 1D absolute move above 80% in last 60D; suspicious spike/gap behavior; median 60D dollar volume below $50,000,000; 60D annualized volatility above 120%; reverse split/extreme discontinuity suspected"
2026-08-13,ABTS,"price below $5; median 20D dollar volume below $20,000,000; 1D absolute move above 80% in last 60D; suspicious spike/gap behavior; median 60D dollar volume below $50,000,000; 20D average volume below 500,000 shares; current price below $5; 60D annualized volatility above 120%; reverse split/extreme discontinuity suspected"
2026-08-13,ABUS,missing OHLCV data
2026-08-13,ABVC,"price below $5; median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000; 20D average volume below 500,000 shares; current price below $5"
2026-08-13,ABVX,missing OHLCV data above 5%; 60D annualized volatility above 120%; reverse split/extreme discontinuity suspected
2026-08-13,ACAD,missing OHLCV data
2026-08-13,ACB,"price below $5; median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000; current price below $5"
2026-08-13,ACDC,"price below $5; median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000; current price below $5; less than 2 years of trading history"
2026-08-13,ACET,missing OHLCV data
2026-08-13,ACFN,"median 20D dollar volume below $20,000,000; median 60D dollar volume below $50,000,000; 20D average volume below 500,000 shares; less than 2 years of trading history"
2026-08-13,ACGL,missing OHLCV data
2026-08-13,ACGLN,missing OHLCV data
2026-08-13,ACGLO,missing OHLCV data
2026-08-13,ACHC,missing OHLCV data
2026-08-13,ACHV,missing OHLCV data
2026-08-13,ACIC,missing OHLCV data
2026-08-13,ACLS,missing OHLCV data
2026-08-13,ACNB,missing OHLCV data
