target_vol,exposure_cap,min_exposure,vol_lookback_days,dual_trend_caps,is_current_config,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,average_exposure,average_cash,average_turnover,window_sharpe_mean,window_sharpe_std,window_cagr_mean,window_cagr_std,Sharpe_delta_vs_current,CAGR_delta_vs_current,DD_delta_vs_current
0.18,0.5,0.2,40,0.60/0.40/0.25,False,878,7.550985592162034,0.13096548077477532,0.13006694348152853,1.0464975229410676,1.6869217468970397,0.6371182918211299,-0.2055591284319046,0.571753986332574,0.44228445308932207,0.5577155469106779,0.17073262980076995,1.1120625307841965,0.04938771170758491,0.15138773340770367,0.012347231278369673,-0.007365598776462479,-0.03194819447940711,0.014573717666878316
0.18,0.5,0.2,40,0.60/0.35/0.20,False,878,7.32809562919242,0.12925374624304453,0.12796852770541786,1.0492383026865286,1.6822317216261498,0.6822021885746301,-0.1894654523362097,0.571753986332574,0.43294925907236115,0.5670507409276389,0.16880042320892039,1.1280464331984303,0.05529130259034411,0.15122401297208354,0.013086335441758608,-0.004624819031001426,-0.0336599290111379,0.030667393762573214
0.18,0.5,0.2,40,0.65/0.45/0.25,False,878,7.658366276107484,0.13177517496848967,0.13046339643708627,1.0494100892543916,1.695795742889169,0.6390011898847063,-0.2062205470889117,0.571753986332574,0.44472637649311103,0.5552736235068889,0.17145008307316886,1.1176538836758003,0.05021239001417314,0.1526785211691587,0.01261622100783158,-0.00445303246313844,-0.03113850028569276,0.013912299009871232
0.18,0.5,0.2,60,0.60/0.40/0.25,False,878,8.421717343348929,0.1372724044221636,0.1339416306108653,1.0630730520306133,1.7169769523964966,0.7221157667655965,-0.19009750339203313,0.571753986332574,0.4445353396990756,0.5554646603009243,0.17013157586826594,1.1345911242148639,0.04826636409942856,0.15967205967591136,0.013589292650444418,0.009209930313083259,-0.025641270832018837,0.03003534270674979
0.18,0.5,0.2,60,0.60/0.35/0.20,False,878,8.231005884618176,0.13593947081512403,0.13180745886294906,1.0688795403747813,1.7198543157863864,0.7803097541361212,-0.17421218957543627,0.571753986332574,0.43502769843767813,0.5649723015623218,0.16803172036452574,1.1516909037729763,0.05395698025534386,0.15970965987863983,0.014176951825009755,0.01501641865725123,-0.026974204439058402,0.04592065652334665
0.18,0.5,0.2,60,0.65/0.45/0.25,False,878,8.526256645671795,0.13799230432659226,0.13435933268635314,1.0650774241341978,1.7231492206763996,0.7235455253895872,-0.19071682359211806,0.571753986332574,0.4468831167301346,0.5531168832698654,0.17069671352213509,1.1392822589236102,0.04938809397788681,0.16082881554159578,0.013898851558491482,0.011214302416667765,-0.02492137092759017,0.029416022506664863
0.18,0.5,0.2,90,0.60/0.40/0.25,False,878,8.911410425079126,0.14058188135844119,0.13599017923095974,1.0712096396721347,1.735800636104571,0.7734050417102654,-0.18177006067553703,0.571753986332574,0.44543369815744516,0.5545663018425548,0.1681641269895731,1.1727251861990233,0.06371832997045371,0.16895064133160803,0.017627048352713257,0.017346517954604623,-0.022331793895741248,0.03836278542324589
0.18,0.5,0.2,90,0.60/0.35/0.20,False,878,8.713436504386971,0.13926289396454816,0.13389539238341835,1.0768675931677738,1.738869468885099,0.8403433869345023,-0.16572141356709758,0.571753986332574,0.43602915805996634,0.5639708419400337,0.16617552857705734,1.1898828288192669,0.06931317794161294,0.1690135391503454,0.018163514610157958,0.023004471450243758,-0.02365078128963427,0.054411432531685344
0.18,0.5,0.2,90,0.65/0.45/0.25,False,878,8.970544228126228,0.14097104076339884,0.13645433392799483,1.0706279092149271,1.7353947790808901,0.7731441514258404,-0.1823347437905578,0.571753986332574,0.447777048958724,0.552222951041276,0.16864485485325653,1.176393029529773,0.06622059458952544,0.16999646386284423,0.0181548370467328,0.01676478749739707,-0.021942634490783597,0.03779810230822511
0.18,0.5,0.3,40,0.60/0.40/0.25,False,878,7.605828249517822,0.13138020677870732,0.13106606415396777,1.0424122845736252,1.676688575056038,0.6391358427180199,-0.20555912843190505,0.571753986332574,0.4432975584400266,0.5567024415599734,0.17039693721269653,1.1089187967533032,0.04934536557946025,0.1527268220285184,0.012928567379919584,-0.011450837143904824,-0.03153346847547511,0.014573717666877872
0.18,0.5,0.3,40,0.60/0.35/0.20,False,878,7.36772705140198,0.12956123715368517,0.12894219415390187,1.0444687159736725,1.6712937342644048,0.6838251277799025,-0.18946545233620904,0.571753986332574,0.4338915533044595,0.5661084466955405,0.1684397284377903,1.1238313691719755,0.055340449608877205,0.15242082365763326,0.01366607260171149,-0.009394405743857526,-0.03335243810049726,0.03066739376257388
