date,ticker,period_return_20d,was_in_universe,was_selected,was_underweighted,expected_return_rank_pct,signal_rank_pct,volatility_rank_pct,expected_daily_return,signal_strength,quality_score,target_confidence,filter_status,diagnosis
2022-01-03,VIST,0.2089551973247301,True,False,False,0.4782608695652174,0.4782608695652174,0.7368421052631579,-2.587432488483803e-06,0.1749113230162574,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-03,YPF,0.0816831502034702,True,False,False,0.7391304347826086,0.391304347826087,0.7894736842105263,-0.0001236064206204,0.2497831036809775,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-03,PEP,-0.0036998462565376,True,False,False,0.13043478260869565,0.2608695652173913,0.5263157894736842,0.0002482793524365,0.3100841070952208,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-01-03,AAPL,-0.0406570744454719,True,False,False,0.8695652173913043,0.21739130434782608,,-0.0002089590044427,0.3670149464662823,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-03,QCOM,-0.0487621583355997,True,False,False,0.9130434782608695,0.5652173913043478,0.6842105263157895,-0.0002434520676648,0.0956598092038662,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-10,VIST,0.1716813758971396,True,False,False,0.4782608695652174,0.2608695652173913,0.2608695652173913,-2.8153651537581537e-06,0.2137953962428816,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-10,YPF,0.035805652642187,True,False,False,0.782608695652174,0.8695652173913043,0.17391304347826086,-0.0001155928272046,0.1127806547342874,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-10,AAPL,0.0153318970452236,True,False,False,0.9565217391304348,0.391304347826087,0.5652173913043478,-0.0002016919303028,0.1128990319623176,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-10,GOOGL,0.0052607637190955,True,False,False,0.21739130434782608,0.4782608695652174,0.08695652173913043,0.0001097430385996,0.1128842589760692,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-01-10,COST,0.0045297545805484,True,False,False,0.13043478260869565,0.7391304347826086,0.6956521739130435,0.0001847999406235,0.1128461276140502,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-01-18,VIST,0.1221498397897007,True,True,False,0.043478260869565216,0.043478260869565216,0.9565217391304348,0.0024645235110761,1.0,0.5,0.5,selected,selected
2022-01-18,COST,0.0529636634048804,True,False,False,0.13043478260869565,0.6521739130434783,0.5217391304347826,0.0001593901311555,0.0001273299366255,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-01-18,AVGO,0.0432337203423278,True,False,False,0.782608695652174,0.8260869565217391,0.43478260869565216,-0.0001202315682208,0.0001053762606986,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-18,NVDA,0.022854532837647,True,False,False,0.5217391304347826,0.9565217391304348,0.13043478260869565,-1.644889515537395e-05,2.068378212383485e-05,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-18,CCJ,0.0180722609373142,True,False,False,0.8260869565217391,0.17391304347826086,0.8695652173913043,-0.0001746211949046,0.1276231094436654,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-25,VIST,0.3691508009500712,True,True,False,0.13043478260869565,0.043478260869565216,0.17391304347826086,0.0001006137720686,1.0,0.5,0.5,selected,selected
2022-01-25,YPF,0.1297709877353965,True,True,False,0.7391304347826086,0.08695652173913043,0.13043478260869565,-6.516112244423625e-05,0.1845163613430924,0.5,0.5,selected,selected
2022-01-25,AVGO,0.058130816959669,True,False,False,0.9130434782608695,0.6521739130434783,0.5652173913043478,-0.0001289455607553,0.0125736106676623,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-01-25,COST,0.0375848532768929,True,False,False,0.17391304347826086,0.391304347826087,0.2608695652173913,9.80872111685026e-05,0.0127171591849503,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-01-25,AMZN,0.0345820559177216,True,False,False,0.6956521739130435,0.4782608695652174,0.8695652173913043,-5.307539005982413e-05,0.0126667647948474,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-02-01,VIST,0.3503086380007572,True,True,False,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0025953362717647,1.0,0.5,0.5,selected,selected
2022-02-01,CCJ,0.2386363625654932,True,False,False,0.4782608695652174,0.8260869565217391,0.08695652173913043,-1.3446530120359051e-06,0.3306458421544159,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-02-01,YPF,0.0709382038667676,True,True,False,0.08695652173913043,0.08695652173913043,0.13043478260869565,0.0005170021945173,0.8031255187011255,0.5,0.5,selected,selected
2022-02-01,COST,0.03853188606987,True,False,False,0.13043478260869565,0.30434782608695654,0.2608695652173913,0.0001999566945204,0.3871379397688337,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-02-01,CSCO,0.0140870978696185,True,False,False,0.6521739130434783,1.0,0.6521739130434783,-6.192737267309862e-05,0.0,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-02-08,CCJ,0.3634072091240481,True,False,False,0.391304347826087,0.8695652173913043,0.34782608695652173,4.736258378648443e-05,0.168425944062197,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-02-08,VIST,0.2341390056691761,True,True,False,0.043478260869565216,0.08695652173913043,0.5652173913043478,0.0033994064148868,0.9895009629274988,0.5,0.5,selected,selected
2022-02-08,YPF,0.1481481176235943,True,True,False,0.6086956521739131,0.4782608695652174,0.43478260869565216,-2.224209348680541e-05,0.3542655099640135,0.5,0.5,selected,selected
2022-02-08,COST,0.0124724161863141,True,False,False,0.08695652173913043,0.043478260869565216,1.0,0.0013442145786375,1.0,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-02-08,CSCO,0.0104806291065813,True,False,False,0.17391304347826086,0.9565217391304348,0.21739130434782608,0.0001496640722211,0.0381253059129604,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-02-15,CCJ,0.128812016939201,True,False,False,0.34782608695652173,0.6521739130434783,0.08695652173913043,8.660893500174631e-05,0.3208469751867711,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-02-15,VIST,0.0856313735879408,True,True,False,0.08695652173913043,0.13043478260869565,0.043478260869565216,0.0010392967754574,0.7560006511776265,0.5,0.5,selected,selected
2022-02-15,TXN,0.0611422264792931,True,False,False,0.8260869565217391,0.43478260869565216,0.13043478260869565,-8.870103391268991e-05,0.3208893517031241,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-02-15,COST,0.0573436190813254,True,False,False,0.43478260869565216,0.34782608695652173,0.8695652173913043,5.608118862433629e-05,0.3209273348253061,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-02-15,YPF,0.0410628216851265,True,False,False,0.6086956521739131,0.5652173913043478,0.17391304347826086,-2.341319918938522e-05,0.3208614678738463,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-02-23,CCJ,0.4145153406846926,True,False,False,0.4782608695652174,0.7391304347826086,0.7391304347826086,-1.637697094762355e-06,0.0871769882304641,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
2022-02-23,TSLA,0.3076672361651764,True,False,False,0.43478260869565216,0.9130434782608695,0.2608695652173913,2.722615673286554e-06,0.0871599874779806,0.5,0.5,not_in_raw_selection,not_in_raw_selection
2022-02-23,VIST,0.16329107208142,True,True,False,0.043478260869565216,0.043478260869565216,1.0,0.0048786864451249,1.0,0.5,0.5,selected,selected
2022-02-23,NVDA,0.1450396111179506,True,False,False,0.6086956521739131,0.8260869565217391,0.391304347826087,-3.519671117871148e-05,0.0871651756634674,0.5,0.5,low_or_negative_expected_return,low_or_negative_expected_return
