feature,spearman_ic_5d,spearman_ic_10d,spearman_ic_20d,pearson_ic_5d,pearson_ic_10d,pearson_ic_20d,average_spearman_ic,average_abs_ic,ic_volatility,positive_ic_month_rate,sample_size
expected_daily_return,0.013619998105921368,0.03460225791211048,0.04497696135680983,0.01682443246383052,0.03172084015059339,0.03824342422243456,0.031066405791613894,0.031066405791613894,0.12118607139321068,0.6477987421383647,10120
expected_total_return,0.013619998105921368,0.03460225791211048,0.04497696135680983,0.0168829388648129,0.03122075129964633,0.03817903089048205,0.031066405791613894,0.031066405791613894,0.12118607139321068,0.6477987421383647,10120
signal_strength,0.009542923899788183,0.01831500918275921,0.007235135100642014,0.003329140958889903,0.006276500599241713,-0.01248017275513546,0.01169768939439647,0.01169768939439647,0.1748403239933736,0.4402515723270441,10120
