section,group,sample_size,average_realized_return,median_realized_return,Sharpe,Sortino,hit_rate,TP_rate,SL_rate,portfolio_return_contribution,average_weighted_return_contribution,drawdown_contribution_proxy,avg_signal_strength,avg_meta_probability,avg_weight,avg_realized_return_5d,avg_realized_return_10d,avg_realized_return_20d,avg_realized_return_1d,avg_realized_return_5d_realized,avg_realized_return_10d_realized,avg_realized_return_20d_realized,avg_realized_return_30d,avg_return,weighted_return_lost_or_kept,top_tickers,top_regimes,return_lost_to_cash,avg_rejected_return,avg_rejected_weight,cash_increase,volatility_reduction,sharpe_change,volatility_reduction_compensated_lost_return,filter_too_conservative,portfolio_return_contribution_lost,verdict,recommendation
rejected_by_ticker,QQQ,8.0,0.041755519049046376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03086332698436793,,
rejected_by_ticker,SPY,7.0,0.029433196415740732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024781639885390266,,
rejected_by_ticker,TSLA,10.0,0.025741212320124895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019210288578884196,,
rejected_by_ticker,TXN,15.0,0.002722700692497346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00032552810751912496,,
rejected_by_ticker,VIST,18.0,0.030049939283773412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07124612196724027,,
rejected_by_ticker,YPF,10.0,-0.0357690569508402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03327218870530009,,
rejected_by_regime,neutral,232.0,0.029550072212220932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8534485954937845,,
rejected_by_regime,risk_off,33.0,0.010226022626197071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05122343826513876,,
rejected_by_year,2023,18.0,0.05091748609337507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1239329544024731,,
rejected_by_year,2024,81.0,0.02341524287946007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20723161702547238,,
rejected_by_year,2025,119.0,0.024151234145965053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3719981709543465,,
rejected_by_year,2026,47.0,0.03204104709814681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20150929137663123,,
verdict,final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,filter too conservative | cash drag from rejected winners | threshold too high,do_not_promote; test lower threshold or regime-gated meta-filter in research only
