month,monthly_return,quarter,quarterly_return
2022-01,-0.13938411557495245,,
2022-02,0.05277674184636538,,
2022-03,0.019996514918756647,,
2022-04,-0.09796319587925584,,
2022-05,-0.00015080572709724738,,
2022-06,-0.1295431457663493,,
2022-07,0.11552131477420624,,
2022-08,0.02421249552403637,,
2022-09,-0.040236620634881426,,
2022-10,0.016031668777173325,,
2022-11,0.11696381908552178,,
2022-12,-0.02260674027510512,,
,,2022Q1,-0.0758460430884631
,,2022Q2,-0.21493429134403985
,,2022Q3,0.0965592884507982
,,2022Q4,0.10921488787368316
2023-01,0.22485984000011427,,
2023-02,-0.04001878317250629,,
2023-03,0.0421701697415211,,
2023-04,-0.06350263170960346,,
2023-05,0.27229476908298245,,
2023-06,0.062489648994500824,,
2023-07,0.015844017192866877,,
2023-08,-0.02778931705267962,,
2023-09,-0.0630506736111276,,
2023-10,-0.025487480948255592,,
2023-11,0.1435762856304197,,
2023-12,0.03837324528255737,,
,,2023Q1,0.22542791491561354
,,2023Q2,0.265957163639013
,,2023Q3,-0.0746553478258638
,,2023Q4,0.15719367981620902
2024-01,0.08908599300467657,,
2024-02,0.19545046266795651,,
2024-03,-0.06596511644041259,,
2024-04,-0.04564240204483827,,
2024-05,0.062032644565340744,,
2024-06,-0.011146973244194558,,
2024-07,-0.08745408751201988,,
2024-08,0.006543043817602623,,
2024-09,0.03764879264855514,,
2024-10,0.0004124933270093223,,
2024-11,0.1215843379847017,,
2024-12,0.05324882595751168,,
,,2024Q1,0.21606517943693193
,,2024Q2,0.002260809414369902
,,2024Q3,-0.04690221331828248
,,2024Q4,0.18179466860908478
2025-01,-0.05007684879087693,,
2025-02,-0.09704997014892836,,
2025-03,-0.030193727912421475,,
2025-04,0.04350006894384806,,
2025-05,0.0981646978112709,,
2025-06,0.06803771939386971,,
2025-07,0.08392507277818306,,
2025-08,-0.030482728198317988,,
2025-09,0.13415952611722082,,
2025-10,0.08963011413679167,,
2025-11,0.02942515491741471,,
2025-12,0.004383680044069083,,
,,2025Q1,-0.1681650232419023
,,2025Q2,0.22390173762471965
,,2025Q3,0.19187018949342316
,,2025Q4,0.1266097907291579
2026-01,0.06849240678191526,,
2026-02,0.014863379739525673,,
2026-03,0.03536662799871748,,
2026-04,0.27368101838178727,,
2026-05,0.13498190753928507,,
,,2026Q1,0.12272446050547825
,,2026Q2,0.4456049118395402
