model_ticker,match_status,available_as_cedear,byma_ticker,underlying_ticker,exchange,ratio,notes
CEG,exact_match,True,CEG,CEG,NASDAQ GS,45:1,matched_by_underlying_or_byma_ticker
SNPS,still_missing,False,,,,,not_found_in_cedear_list
CDNS,still_missing,False,,,,,not_found_in_cedear_list
MAR,still_missing,False,,,,,not_found_in_cedear_list
ORLY,exact_match,True,ORLY,ORLY,NASDAQ,222:1,matched_by_underlying_or_byma_ticker
CTAS,still_missing,False,,,,,not_found_in_cedear_list
DASH,still_missing,False,,,,,not_found_in_cedear_list
FTNT,still_missing,False,,,,,not_found_in_cedear_list
PYPL,exact_match,True,PYPL,PYPL,NASDAQ,8:1,matched_by_underlying_or_byma_ticker
CSX,still_missing,False,,,,,not_found_in_cedear_list
ABNB,exact_match,True,ABNB,ABNB,NASDAQ GS,15:1,matched_by_underlying_or_byma_ticker
ROP,still_missing,False,,,,,not_found_in_cedear_list
WDAY,still_missing,False,,,,,not_found_in_cedear_list
MNST,still_missing,False,,,,,not_found_in_cedear_list
ADSK,still_missing,False,,,,,not_found_in_cedear_list
AEP,still_missing,False,,,,,not_found_in_cedear_list
NXPI,still_missing,False,,,,,not_found_in_cedear_list
PAYX,still_missing,False,,,,,not_found_in_cedear_list
MRVL,exact_match,True,MRVL,MRVL,NASDAQ,14:1,matched_by_underlying_or_byma_ticker
CHTR,still_missing,False,,,,,not_found_in_cedear_list
KDP,still_missing,False,,,,,not_found_in_cedear_list
PCAR,exact_match,True,PCAR,PCAR,NASDAQ,3:1,matched_by_underlying_or_byma_ticker
ROST,exact_match,True,ROST,ROST,NASDAQ,4:1,matched_by_underlying_or_byma_ticker
FAST,still_missing,False,,,,,not_found_in_cedear_list
ODFL,still_missing,False,,,,,not_found_in_cedear_list
CPRT,still_missing,False,,,,,not_found_in_cedear_list
DDOG,still_missing,False,,,,,not_found_in_cedear_list
EA,exact_match,True,EA,EA,NASDAQ,14:1,matched_by_underlying_or_byma_ticker
KHC,still_missing,False,,,,,not_found_in_cedear_list
EXC,still_missing,False,,,,,not_found_in_cedear_list
BKR,exact_match,True,BKR,BKR,NASDAQ,7:1,matched_by_underlying_or_byma_ticker
TTWO,still_missing,False,,,,,not_found_in_cedear_list
VRSK,still_missing,False,,,,,not_found_in_cedear_list
XEL,still_missing,False,,,,,not_found_in_cedear_list
ZS,still_missing,False,,,,,not_found_in_cedear_list
FANG,still_missing,False,,,,,not_found_in_cedear_list
CCEP,still_missing,False,,,,,not_found_in_cedear_list
GEHC,still_missing,False,,,,,not_found_in_cedear_list
IDXX,still_missing,False,,,,,not_found_in_cedear_list
MCHP,still_missing,False,,,,,not_found_in_cedear_list
CSGP,still_missing,False,,,,,not_found_in_cedear_list
DXCM,still_missing,False,,,,,not_found_in_cedear_list
ON,still_missing,False,,,,,not_found_in_cedear_list
ANSS,still_missing,False,,,,,not_found_in_cedear_list
BIIB,exact_match,True,BIIB,BIIB,NASDAQ,13:1,matched_by_underlying_or_byma_ticker
CDW,still_missing,False,,,,,not_found_in_cedear_list
GFS,still_missing,False,,,,,not_found_in_cedear_list
ILMN,still_missing,False,,,,,not_found_in_cedear_list
MDB,still_missing,False,,,,,not_found_in_cedear_list
WBD,still_missing,False,,,,,not_found_in_cedear_list
MRNA,exact_match,True,MRNA,MRNA,NASDAQ,19:1,matched_by_underlying_or_byma_ticker
SIRI,still_missing,False,,,,,not_found_in_cedear_list
SPY,exact_match,True,SPY,SPY,NYSE ARCA,60:1,matched_by_underlying_or_byma_ticker
QQQ,exact_match,True,QQQ,QQQ,NASDAQ,20:1,matched_by_underlying_or_byma_ticker
