date,horizon,alpha,beta,r2,sample_size,warning,no_lookahead
2022-01-03,5D,0.0,1.0,0.0,0,insufficient_prior_data,True
2022-01-03,10D,0.0,1.0,0.0,0,insufficient_prior_data,True
2022-01-03,20D,0.0,1.0,0.0,0,insufficient_prior_data,True
2022-01-10,5D,0.0,1.0,0.0,23,insufficient_prior_data,True
2022-01-10,10D,0.0,1.0,0.0,23,insufficient_prior_data,True
2022-01-10,20D,0.0,1.0,0.0,23,insufficient_prior_data,True
2022-01-18,5D,0.0,1.0,0.0,46,insufficient_prior_data,True
2022-01-18,10D,0.0,1.0,0.0,46,insufficient_prior_data,True
2022-01-18,20D,0.0,1.0,0.0,46,insufficient_prior_data,True
2022-01-25,5D,0.0,1.0,0.0,69,insufficient_prior_data,True
2022-01-25,10D,0.0,1.0,0.0,69,insufficient_prior_data,True
2022-01-25,20D,0.0,1.0,0.0,69,insufficient_prior_data,True
2022-02-01,5D,0.0,1.0,0.0,92,insufficient_prior_data,True
2022-02-01,10D,0.0,1.0,0.0,92,insufficient_prior_data,True
2022-02-01,20D,0.0,1.0,0.0,92,insufficient_prior_data,True
2022-02-08,5D,0.0,1.0,0.0,115,insufficient_prior_data,True
2022-02-08,10D,0.0,1.0,0.0,115,insufficient_prior_data,True
2022-02-08,20D,0.0,1.0,0.0,115,insufficient_prior_data,True
2022-02-15,5D,0.0,1.0,0.0,138,insufficient_prior_data,True
2022-02-15,10D,0.0,1.0,0.0,138,insufficient_prior_data,True
2022-02-15,20D,0.0,1.0,0.0,138,insufficient_prior_data,True
2022-02-23,5D,0.0,1.0,0.0,161,insufficient_prior_data,True
2022-02-23,10D,0.0,1.0,0.0,161,insufficient_prior_data,True
2022-02-23,20D,0.0,1.0,0.0,161,insufficient_prior_data,True
2022-03-02,5D,0.0,1.0,0.0,184,insufficient_prior_data,True
2022-03-02,10D,0.0,1.0,0.0,184,insufficient_prior_data,True
2022-03-02,20D,0.0,1.0,0.0,184,insufficient_prior_data,True
2022-03-09,5D,0.0,1.0,0.0,207,insufficient_prior_data,True
2022-03-09,10D,0.0,1.0,0.0,207,insufficient_prior_data,True
2022-03-09,20D,0.0,1.0,0.0,207,insufficient_prior_data,True
2022-03-16,5D,0.0,1.0,0.0,230,insufficient_prior_data,True
2022-03-16,10D,0.0,1.0,0.0,230,insufficient_prior_data,True
2022-03-16,20D,0.0,1.0,0.0,230,insufficient_prior_data,True
2022-03-23,5D,0.0,1.0,0.0,253,insufficient_prior_data,True
2022-03-23,10D,0.0,1.0,0.0,253,insufficient_prior_data,True
2022-03-23,20D,0.0,1.0,0.0,253,insufficient_prior_data,True
2022-03-30,5D,0.0,1.0,0.0,276,insufficient_prior_data,True
2022-03-30,10D,0.0,1.0,0.0,276,insufficient_prior_data,True
2022-03-30,20D,0.0,1.0,0.0,276,insufficient_prior_data,True
2022-04-06,5D,0.0,1.0,0.0,299,insufficient_prior_data,True
2022-04-06,10D,0.0,1.0,0.0,299,insufficient_prior_data,True
2022-04-06,20D,0.0,1.0,0.0,299,insufficient_prior_data,True
