date,model_mode,portfolio_return,cash_weight,selected_count,turnover,selected_tickers
2022-01-03,baseline,-0.004027094632757066,0.5000000000000003,4,1.0,"CSCO,INTC,PEP,SPY"
2022-01-10,baseline,0.0033158960673118874,0.5000000000000001,4,0.4,"CSCO,INTC,PEP,TSLA"
2022-01-18,baseline,-0.0030457232383585267,0.5000000000000001,2,1.0,"VIST,YPF"
2022-01-25,baseline,-0.004021078297606407,0.8,2,1.0,"AMD,CCJ"
2022-02-01,baseline,0.004510031587515721,0.5000000000000002,4,1.0,"COST,PEP,VIST,YPF"
2022-02-08,baseline,0.009256475325477595,0.5000000000000001,4,0.6666666666666666,"AAPL,AMAT,COST,VIST"
2022-02-15,baseline,0.00534756712714734,0.5000000000000001,4,0.8571428571428571,"AVGO,CSCO,GOOGL,VIST"
2022-02-23,baseline,0.006773470651202071,0.5000000000000001,3,0.6,"AVGO,VIST,YPF"
2022-03-02,baseline,-0.014777286520861452,0.5000000000000002,4,0.8333333333333334,"CCJ,QCOM,QQQ,VIST"
2022-03-09,baseline,0.007612348482131891,0.5000000000000002,4,0.6666666666666666,"CCJ,COST,GOOGL,VIST"
2022-03-16,baseline,0.014551145889873104,0.5,4,0.6666666666666666,"ADBE,AMZN,COST,VIST"
2022-03-23,baseline,0.005624377291491363,0.5000000000000002,4,0.8571428571428571,"AMAT,CCJ,TXN,VIST"
2022-03-30,baseline,-0.005870506985385687,0.5000000000000002,4,1.0,"AAPL,COST,SPY,TSLA"
2022-04-06,baseline,0.007512651553918264,0.5000000000000001,4,0.8571428571428571,"AVGO,COST,PEP,YPF"
2022-04-13,baseline,-0.003992025993052451,0.5000000000000002,4,0.6666666666666666,"CCJ,COST,TSLA,YPF"
2022-04-21,baseline,-0.015573319943640302,0.5000000000000001,4,0.8571428571428571,"COST,CSCO,PEP,VIST"
2022-04-28,baseline,-0.006192097018964616,0.8,3,0.6,"CCJ,COST,VIST"
2022-05-05,baseline,-0.001734774161395496,0.5000000000000001,4,0.25,"AMD,CCJ,COST,VIST"
2022-05-12,baseline,0.02782319200207714,0.5000000000000001,4,0.0,"AMD,CCJ,COST,VIST"
2022-05-19,baseline,0.004838184878517367,0.5000000000000001,3,0.25,"AMD,CCJ,VIST"
2022-05-26,baseline,0.00767655020169709,0.5000000000000001,3,1.0,"COST,PEP,YPF"
2022-06-03,baseline,0.002217835993602203,0.5,3,0.8,"AMD,COST,VIST"
2022-06-10,baseline,-0.04073396459480863,0.5000000000000001,2,0.75,"CCJ,VIST"
2022-06-17,baseline,0.009638401282058121,0.8,2,0.6666666666666666,"CCJ,COST"
2022-06-27,baseline,-0.01707599348480457,0.5,3,0.3333333333333333,"AMD,CCJ,COST"
2022-07-05,baseline,0.0005942232796680495,0.8,3,0.8,"COST,PEP,VIST"
2022-07-12,baseline,0.002128980437134916,0.5,4,0.8333333333333334,"CCJ,COST,NFLX,NVDA"
2022-07-19,baseline,0.004090077679606504,0.5000000000000001,3,0.8333333333333334,"COST,PEP,QCOM"
2022-07-26,baseline,0.006902560467424209,0.5000000000000002,3,0.0,"COST,PEP,QCOM"
2022-08-02,baseline,0.01616304556480063,0.5000000000000002,4,1.0,"AMAT,AMZN,SPY,TXN"
2022-08-09,baseline,0.008487420680945112,0.5000000000000001,3,1.0,"AAPL,MSFT,VIST"
2022-08-16,baseline,0.0005070747377582078,0.5000000000000002,4,0.6,"AAPL,MSFT,QQQ,YPF"
2022-08-23,baseline,0.012018974615421642,0.5000000000000001,3,0.8333333333333334,"NFLX,VIST,YPF"
2022-08-30,baseline,-0.002030557337131307,0.8,2,0.3333333333333333,"VIST,YPF"
2022-09-07,baseline,0.0037347551018642906,0.8,3,0.75,"CCJ,QCOM,YPF"
2022-09-14,baseline,-0.010670562881339465,0.8,2,0.75,"AMZN,YPF"
