n_states,state,regime_label,observations,avg_spy_return,avg_spy_vol20,future_20d_return,future_20d_vol,growth_avg_return,growth_hit_rate,incremental_alpha_beyond_dual_trend_proxy
2,0,risk_on,2999,0.000914438405542201,0.10821138475588186,0.008402700350870068,0.12148145358078394,0.004014877874244577,0.11337112370790263,0.0006254723987916518
2,1,risk_off,1660,-0.00023988268780809834,0.260971301479991,0.01266343705688811,0.23761119361742072,0.0020947213492827923,0.09759036144578313,-0.0012946841261701329
3,0,risk_on,1826,0.0008168563405950724,0.08799722764103225,0.0076393546654238975,0.11366835180743916,0.0030559018251406773,0.11391018619934283,-0.0003335036503122478
3,1,risk_off,974,-0.00043370982602175,0.3190813718118348,0.009272171106209358,0.2855914371654899,0.0007927728403759817,0.08829568788501027,-0.0025966326350769435
3,2,neutral,1859,0.0006858790796547605,0.15399145213686,0.0124771690461256,0.1468647166873225,0.0049228903805988294,0.11188811188811189,0.0015334849051459043
4,0,risk_on,1673,0.0008028322600468824,0.08540811221472194,0.0070718989183004444,0.11376019957449691,0.0027567729986576694,0.11177525403466826,-0.0006326324767952558
4,1,neutral,1510,0.0005899957514749959,0.13835829636493957,0.013363479486105964,0.134802151776723,0.005705257461648547,0.11655629139072848,0.0023158519861956215
4,2,risk_off,285,-0.00037216321285009,0.5027370053009902,0.007411923424898198,0.41537141367407826,0.0009240368180500265,0.08421052631578947,-0.0024653686574028985
4,3,neutral,1191,0.00018155338063494136,0.22052851182418465,0.010115453488576606,0.20644946272693734,0.0016419772230714497,0.09655751469353484,-0.0017474282523814754
