date,variant,return,selected_tickers,selected_count,turnover,no_hindsight
2022-04-13,soft_exit_rule,-0.0358584033121189,"TSLA,VIST,NVDA",3,0.5,True
2022-04-13,turnover_penalty_overlay,-0.0358584033121189,"TSLA,VIST,NVDA",3,0.5,True
2022-04-21,raw_target_research,-0.0080352160589874,"NFLX,TSLA",2,0.6666666666666666,True
2022-04-21,winner_retention_rule,-0.09035650588453874,"NFLX,TSLA,VIST",3,0.3333333333333333,True
2022-04-21,soft_exit_rule,-0.09035650588453874,"NFLX,TSLA,VIST",3,0.5,True
2022-04-21,turnover_penalty_overlay,-0.09035650588453874,"NFLX,TSLA,VIST",3,0.5,True
2022-04-28,raw_target_research,-0.0142955337544029,"META,NFLX",2,0.6666666666666666,True
2022-04-28,winner_retention_rule,-0.020817733727231332,"META,NFLX,VIST",3,0.5,True
2022-04-28,soft_exit_rule,-0.020817733727231332,"META,NFLX,VIST",3,0.5,True
2022-04-28,turnover_penalty_overlay,-0.020817733727231332,"META,NFLX,VIST",3,0.5,True
2022-05-05,raw_target_research,-0.0232565435734411,"NFLX,QCOM",2,0.6666666666666666,True
2022-05-05,winner_retention_rule,-0.06232888747823076,"NFLX,QCOM,VIST",3,0.5,True
2022-05-05,soft_exit_rule,-0.06719989369826651,"NFLX,QCOM,META,VIST",4,0.25,True
2022-05-05,turnover_penalty_overlay,-0.06719989369826651,"NFLX,QCOM,META,VIST",4,0.25,True
2022-05-12,raw_target_research,0.085562608066879,"NFLX,NVDA",2,0.6666666666666666,True
2022-05-12,winner_retention_rule,0.04373451593236353,"NFLX,NVDA,VIST",3,0.5,True
2022-05-12,soft_exit_rule,0.03286623388444955,"NFLX,NVDA,META,VIST",4,0.4,True
2022-05-12,turnover_penalty_overlay,0.04373451593236353,"NFLX,NVDA,VIST",3,0.6,True
2022-05-19,raw_target_research,-0.0105148540763992,"AMD,META",2,1.0,True
2022-05-19,winner_retention_rule,0.05141340809888745,"AMD,META,NFLX,VIST",4,0.6,True
2022-05-19,soft_exit_rule,0.027228608694529373,"AMD,META,NFLX,NVDA",4,0.4,True
2022-05-19,turnover_penalty_overlay,0.027228608694529373,"AMD,META,NFLX,NVDA",4,0.6,True
2022-05-26,raw_target_research,0.0343852614370446,"AMD,VIST",2,0.6666666666666666,True
2022-05-26,winner_retention_rule,0.018935277292697054,"AMD,VIST",2,0.5,True
2022-05-26,soft_exit_rule,0.018935277292697054,"AMD,VIST",2,0.8,True
2022-05-26,turnover_penalty_overlay,0.018935277292697054,"AMD,VIST",2,0.8,True
2022-06-03,raw_target_research,-0.0076809723256723,"AMD,NFLX",2,0.6666666666666666,True
2022-06-03,winner_retention_rule,-0.07364578919056407,"AMD,NFLX,VIST",3,0.3333333333333333,True
2022-06-03,soft_exit_rule,-0.07364578919056407,"AMD,NFLX,VIST",3,0.3333333333333333,True
2022-06-03,turnover_penalty_overlay,-0.07364578919056407,"AMD,NFLX,VIST",3,0.3333333333333333,True
2022-06-10,raw_target_research,-0.0820425177567475,"CCJ,NFLX",2,0.6666666666666666,True
2022-06-10,winner_retention_rule,-0.13300187140832762,"CCJ,NFLX,AMD,VIST",4,0.25,True
2022-06-10,soft_exit_rule,-0.13300187140832762,"CCJ,NFLX,AMD,VIST",4,0.25,True
2022-06-10,turnover_penalty_overlay,-0.13300187140832762,"CCJ,NFLX,AMD,VIST",4,0.25,True
2022-06-17,raw_target_research,0.0021099693771661,"COST,NFLX",2,0.6666666666666666,True
2022-06-17,winner_retention_rule,0.08080175821145105,"COST,NFLX,CCJ,AMD",4,0.4,True
2022-06-17,soft_exit_rule,0.08080175821145105,"COST,NFLX,CCJ,AMD",4,0.4,True
2022-06-17,turnover_penalty_overlay,0.08080175821145105,"COST,NFLX,CCJ,AMD",4,0.4,True
2022-06-27,raw_target_research,-0.0502412061975357,"NFLX,TSLA",2,0.6666666666666666,True
2022-06-27,winner_retention_rule,-0.034153534462036644,"NFLX,TSLA,COST,CCJ",4,0.4,True
2022-06-27,soft_exit_rule,-0.034153534462036644,"NFLX,TSLA,COST,CCJ",4,0.4,True
2022-06-27,turnover_penalty_overlay,-0.034153534462036644,"NFLX,TSLA,COST,CCJ",4,0.4,True
2022-07-05,raw_target_research,-0.0031024045680053,"NFLX,TSLA",2,0.0,True
2022-07-05,winner_retention_rule,-0.01891528311271259,"NFLX,TSLA,COST",3,0.25,True
2022-07-05,soft_exit_rule,-0.01891528311271259,"NFLX,TSLA,COST",3,0.25,True
2022-07-05,turnover_penalty_overlay,-0.01891528311271259,"NFLX,TSLA,COST",3,0.25,True
2022-07-12,raw_target_research,0.0145643151310957,"NFLX,TSLA",2,0.0,True
2022-07-12,winner_retention_rule,0.08990816744815723,"NFLX,TSLA,COST",3,0.0,True
2022-07-12,soft_exit_rule,0.08990816744815723,"NFLX,TSLA,COST",3,0.0,True
2022-07-12,turnover_penalty_overlay,0.08990816744815723,"NFLX,TSLA,COST",3,0.0,True
