date,variant,portfolio_return,selected_count,cash_proxy,turnover,selected_tickers
2022-01-03,baseline_current,-0.01528779760413259,2,6.661338147750939e-16,1.0,"CSCO,SPY"
2022-01-10,baseline_current,0.010787830704828399,2,2.220446049250313e-16,0.6666666666666666,"CSCO,INTC"
2022-01-18,baseline_current,-0.006334990861005899,2,2.220446049250313e-16,1.0,"VIST,YPF"
2022-01-25,baseline_current,-0.008052215390468336,2,0.6000000000000002,1.0,"AMD,CCJ"
2022-02-01,baseline_current,-0.013809438388929098,2,2.220446049250313e-16,1.0,"VIST,YPF"
2022-02-08,baseline_current,0.016431748311113645,2,2.220446049250313e-16,0.6666666666666666,"COST,VIST"
2022-02-15,baseline_current,0.0178843288173001,2,2.220446049250313e-16,0.6666666666666666,"AVGO,VIST"
2022-02-23,baseline_current,0.0030818797139579484,2,2.220446049250313e-16,0.6666666666666666,"VIST,YPF"
2022-03-02,baseline_current,-0.03494241657433679,2,3.3306690738754696e-16,0.6666666666666666,"CCJ,VIST"
2022-03-09,baseline_current,0.028883471911209282,2,4.440892098500626e-16,0.0,"CCJ,VIST"
2022-03-16,baseline_current,0.04073493342374909,2,2.220446049250313e-16,0.6666666666666666,"COST,VIST"
2022-03-23,baseline_current,-0.011026021794957248,2,3.3306690738754696e-16,0.6666666666666666,"CCJ,VIST"
2022-03-30,baseline_current,-0.015186565357643894,2,4.440892098500626e-16,1.0,"SPY,TSLA"
2022-04-06,baseline_current,0.006381228583989347,2,2.220446049250313e-16,1.0,"PEP,YPF"
2022-04-13,baseline_current,0.0032989102644428985,2,4.440892098500626e-16,0.6666666666666666,"COST,YPF"
2022-04-21,baseline_current,-0.03255462218917739,2,2.220446049250313e-16,1.0,"PEP,VIST"
2022-04-28,baseline_current,-0.015171415056740994,2,0.6000000000000001,1.0,"CCJ,COST"
2022-05-05,baseline_current,-0.026564520037987493,2,2.220446049250313e-16,0.0,"CCJ,COST"
2022-05-12,baseline_current,0.05769518335763055,2,2.220446049250313e-16,0.6666666666666666,"AMD,COST"
2022-05-19,baseline_current,-0.008823530952470349,2,2.220446049250313e-16,0.6666666666666666,"AMD,CCJ"
2022-05-26,baseline_current,0.018095053099168094,2,2.220446049250313e-16,1.0,"PEP,YPF"
2022-06-03,baseline_current,0.01032052141540375,2,0.0,1.0,"AMD,VIST"
2022-06-10,baseline_current,-0.08711720632298123,2,2.220446049250313e-16,0.6666666666666666,"AMD,CCJ"
2022-06-17,baseline_current,0.01934990963124489,2,0.6000000000000002,0.6666666666666666,"CCJ,COST"
2022-06-27,baseline_current,-0.02169526248448095,2,0.0,0.0,"CCJ,COST"
2022-07-05,baseline_current,0.0037981003402582777,2,0.6000000000000002,0.6666666666666666,"COST,PEP"
2022-07-12,baseline_current,0.004257792931693099,2,1.1102230246251565e-16,0.6666666666666666,"CCJ,COST"
2022-07-19,baseline_current,0.018540532728732198,2,2.220446049250313e-16,0.6666666666666666,"COST,QCOM"
2022-07-26,baseline_current,0.02164039992499494,2,3.3306690738754696e-16,0.0,"COST,QCOM"
2022-08-02,baseline_current,0.037609599440314334,2,3.3306690738754696e-16,1.0,"AMZN,TXN"
2022-08-09,baseline_current,0.013097281628008797,2,2.220446049250313e-16,1.0,"AAPL,VIST"
2022-08-16,baseline_current,0.004262755850916274,3,2.220446049250313e-16,0.75,"AAPL,MSFT,YPF"
2022-08-23,baseline_current,0.02453927231346114,2,2.220446049250313e-16,0.75,"VIST,YPF"
2022-08-30,baseline_current,-0.00411580151868918,2,0.6,0.0,"VIST,YPF"
2022-09-07,baseline_current,0.010386054966624836,2,0.6000000000000002,0.6666666666666666,"CCJ,YPF"
2022-09-14,baseline_current,-0.02058015798797023,2,0.6000000000000002,0.6666666666666666,"PEP,YPF"
2022-09-21,baseline_current,-0.0020988933135019177,2,0.6000000000000004,0.6666666666666666,"VIST,YPF"
2022-09-28,baseline_current,-0.016490110119419744,2,2.220446049250313e-16,0.0,"VIST,YPF"
2022-10-05,baseline_current,0.00363679350263498,2,0.6000000000000001,0.0,"VIST,YPF"
2022-10-12,baseline_current,0.046347398482974686,2,2.220446049250313e-16,0.0,"VIST,YPF"
