date,ic,rolling_window,rolling_ic_mean,rolling_ic_vol,horizon,feature,source_column,status
2025-03-13,-0.14425427872860638,5.0,-0.0012501623404122919,0.16648450189765074,5d,raw_target_return_exact,expected_total_return,
2025-03-20,-0.19254278728606358,5.0,-0.018365076765840163,0.18358943166502448,5d,raw_target_return_exact,expected_total_return,
2025-03-27,0.07029339853300734,5.0,-0.060174367719385405,0.10643346922200805,5d,raw_target_return_exact,expected_total_return,
2025-04-03,0.17659137577002051,5.0,-0.02116094244990785,0.15167509629531933,5d,raw_target_return_exact,expected_total_return,
2025-04-10,0.2793398533007335,5.0,0.037885512317818316,0.20301594220973346,5d,raw_target_return_exact,expected_total_return,
2025-04-17,-0.14792176039119803,5.0,0.03715201598529999,0.20384346947474288,5d,raw_target_return_exact,expected_total_return,
2025-04-25,0.04951100244498778,5.0,0.08556277393151027,0.15959611105992633,5d,raw_target_return_exact,expected_total_return,
2025-05-02,-0.14364303178484109,5.0,0.042775487867940575,0.19041537685242357,5d,raw_target_return_exact,expected_total_return,
2025-05-09,-0.13753056234718827,5.0,-0.020048899755501188,0.18701679366788035,5d,raw_target_return_exact,expected_total_return,
2025-05-16,0.5275061124694377,5.0,0.029584352078239638,0.2905884942549285,5d,raw_target_return_exact,expected_total_return,
2025-05-23,-0.24694376528117362,5.0,0.009779951100244521,0.3085307927133162,5d,raw_target_return_exact,expected_total_return,
2025-06-02,0.28117359413202936,5.0,0.056112469437652836,0.33245580231397037,5d,raw_target_return_exact,expected_total_return,
2025-06-09,-0.03545232273838631,5.0,0.0777506112469438,0.31947153510199444,5d,raw_target_return_exact,expected_total_return,
2025-06-16,-0.1876528117359413,5.0,0.06772616136919318,0.3285722113219205,5d,raw_target_return_exact,expected_total_return,
2025-06-24,-0.20171149144254283,5.0,-0.07811735941320293,0.2160359777674979,5d,raw_target_return_exact,expected_total_return,
2025-07-01,-0.3276283618581907,5.0,-0.09425427872860634,0.23406065397546108,5d,raw_target_return_exact,expected_total_return,
2025-07-09,0.34657701711491445,5.0,-0.0811735941320293,0.26060898923699977,5d,raw_target_return_exact,expected_total_return,
2025-07-16,-0.39669926650366755,5.0,-0.15342298288508555,0.292845661345825,5d,raw_target_return_exact,expected_total_return,
2025-07-23,0.06479217603911981,5.0,-0.10293398533007334,0.3068936320237444,5d,raw_target_return_exact,expected_total_return,
2025-07-30,-0.10941320293398535,5.0,-0.08447432762836184,0.30220688081244107,5d,raw_target_return_exact,expected_total_return,
2025-08-06,0.27628361858190714,5.0,0.03630806845965773,0.30141187377463013,5d,raw_target_return_exact,expected_total_return,
2025-08-13,-0.5256723716381418,5.0,-0.13814180929095352,0.3281721598209529,5d,raw_target_return_exact,expected_total_return,
2025-08-20,0.08985330073349634,5.0,-0.040831295843520764,0.3035502418480085,5d,raw_target_return_exact,expected_total_return,
2025-08-27,-0.49511002444987784,5.0,-0.1528117359413203,0.3539370522893579,5d,raw_target_return_exact,expected_total_return,
2025-09-04,0.28545232273838633,5.0,-0.07383863080684595,0.40623082838561,5d,raw_target_return_exact,expected_total_return,
2025-09-11,-0.04462102689486553,5.0,-0.13801955990220052,0.3597798160983458,5d,raw_target_return_exact,expected_total_return,
2025-09-18,0.0751833740831296,5.0,-0.017848410757946197,0.29186526320673933,5d,raw_target_return_exact,expected_total_return,
2025-09-25,0.312958435207824,5.0,0.026772616136919336,0.32734525273051934,5d,raw_target_return_exact,expected_total_return,
2025-10-02,-0.00488997555012225,5.0,0.12481662591687044,0.16522526126372664,5d,raw_target_return_exact,expected_total_return,
2025-10-09,0.13508557457212717,5.0,0.09474327628361863,0.1405143589290772,5d,raw_target_return_exact,expected_total_return,
2025-10-16,-0.25305623471882643,5.0,0.05305623471882646,0.20726202253547923,5d,raw_target_return_exact,expected_total_return,
2025-10-23,0.312958435207824,5.0,0.10061124694376533,0.23852794989581172,5d,raw_target_return_exact,expected_total_return,
2025-10-30,0.08007334963325186,5.0,0.0540342298288509,0.20740402344920036,5d,raw_target_return_exact,expected_total_return,
2025-11-06,0.30256723716381423,5.0,0.1155256723716382,0.22992190086914233,5d,raw_target_return_exact,expected_total_return,
2025-11-13,0.46577017114914426,5.0,0.18166259168704163,0.2792286163094104,5d,raw_target_return_exact,expected_total_return,
2025-11-20,-0.33068459657701715,5.0,0.16613691931540348,0.30991467835587677,5d,raw_target_return_exact,expected_total_return,
2025-11-28,-0.02567237163814181,5.0,0.09841075794621029,0.3067932990385504,5d,raw_target_return_exact,expected_total_return,
2025-12-05,-0.22249388753056237,5.0,0.037897310513447455,0.3394195993470979,5d,raw_target_return_exact,expected_total_return,
2025-12-12,0.17298288508557458,5.0,0.011980440097799522,0.31845807385252517,5d,raw_target_return_exact,expected_total_return,
2025-12-19,-0.27200488997555017,5.0,-0.13557457212713936,0.2070762653789357,5d,raw_target_return_exact,expected_total_return,
2025-12-29,0.22555012224938878,5.0,-0.024327628361858172,0.22471427941681882,5d,raw_target_return_exact,expected_total_return,
2026-01-06,0.5507334963325184,5.0,0.09095354523227388,0.34140546765150115,5d,raw_target_return_exact,expected_total_return,
2026-01-13,0.12958435207823962,5.0,0.16136919315403428,0.29354812303100825,5d,raw_target_return_exact,expected_total_return,
2026-01-21,0.05745721271393644,5.0,0.13826405867970665,0.29693247876555645,5d,raw_target_return_exact,expected_total_return,
2026-01-28,-0.29584352078239606,5.0,0.13349633251833748,0.30524199909065497,5d,raw_target_return_exact,expected_total_return,
2026-02-04,0.31784841075794623,5.0,0.15195599022004896,0.314840715986088,5d,raw_target_return_exact,expected_total_return,
2026-02-11,-0.4138141809290954,5.0,-0.04095354523227381,0.3047542651913285,5d,raw_target_return_exact,expected_total_return,
2026-02-19,-0.14608801955990222,5.0,-0.09608801955990218,0.29080563981178315,5d,raw_target_return_exact,expected_total_return,
2026-02-26,-0.21271393643031786,5.0,-0.15012224938875302,0.2800440397291178,5d,raw_target_return_exact,expected_total_return,
2026-03-05,-0.07090464547677262,5.0,-0.10513447432762835,0.2686167795668388,5d,raw_target_return_exact,expected_total_return,
2026-03-12,-0.20354523227383864,5.0,-0.20941320293398533,0.12749488917685928,5d,raw_target_return_exact,expected_total_return,
2026-03-19,0.17180013689253937,5.0,-0.09229033936965837,0.15809396879204066,5d,raw_target_return_exact,expected_total_return,
2026-03-26,-0.16503667481662596,5.0,-0.09608007042100312,0.15992251287231127,5d,raw_target_return_exact,expected_total_return,
2026-04-02,-0.371638141809291,5.0,-0.12786491149679774,0.19973623349899772,5d,raw_target_return_exact,expected_total_return,
2026-04-10,0.1852078239608802,5.0,-0.07664241760926718,0.245575649378687,5d,raw_target_return_exact,expected_total_return,
2026-04-17,0.023838630806845968,5.0,-0.031165644993130265,0.23710811392388437,5d,raw_target_return_exact,expected_total_return,
2026-04-24,0.1528117359413203,5.0,-0.03496332518337407,0.23316383025625392,5d,raw_target_return_exact,expected_total_return,
2026-05-01,0.45904645476772626,5.0,0.08985330073349637,0.30277554509703614,5d,raw_target_return_exact,expected_total_return,
2026-05-08,-0.38936430317848414,5.0,0.08630806845965773,0.3095579266610569,5d,raw_target_return_exact,expected_total_return,
2026-05-15,0.6057457212713937,5.0,0.17041564792176045,0.38986161927671964,5d,raw_target_return_exact,expected_total_return,
2025-03-13,-0.14425427872860638,20.0,0.013864790478960281,0.22905391647296053,5d,raw_target_return_exact,expected_total_return,
2025-03-20,-0.19254278728606358,20.0,0.025050609549864933,0.21175249371677232,5d,raw_target_return_exact,expected_total_return,
2025-03-27,0.07029339853300734,20.0,0.025967479965512852,0.21191476075969617,5d,raw_target_return_exact,expected_total_return,
2025-04-03,0.17659137577002051,20.0,0.02196086293494297,0.2080444674723028,5d,raw_target_return_exact,expected_total_return,
2025-04-10,0.2793398533007335,20.0,0.03669191427968625,0.21556344851687959,5d,raw_target_return_exact,expected_total_return,
