capital,participation_limit,max_participation,median_participation,trades_over_limit,pct_trades_over_limit,capacity_status
10000,0.01,0.014328221301378475,3.928089843678314e-06,4,0.002403846153846154,safe
10000,0.025,0.014328221301378475,3.928089843678314e-06,0,0.0,safe
10000,0.05,0.014328221301378475,3.928089843678314e-06,0,0.0,safe
10000,0.1,0.014328221301378475,3.928089843678314e-06,0,0.0,safe
50000,0.01,0.07164110650689237,1.964044921839157e-05,4,0.002403846153846154,safe
50000,0.025,0.07164110650689237,1.964044921839157e-05,4,0.002403846153846154,safe
50000,0.05,0.07164110650689237,1.964044921839157e-05,4,0.002403846153846154,safe
50000,0.1,0.07164110650689237,1.964044921839157e-05,0,0.0,safe
100000,0.01,0.14328221301378474,3.928089843678314e-05,10,0.006009615384615385,safe
100000,0.025,0.14328221301378474,3.928089843678314e-05,4,0.002403846153846154,safe
100000,0.05,0.14328221301378474,3.928089843678314e-05,4,0.002403846153846154,safe
100000,0.1,0.14328221301378474,3.928089843678314e-05,4,0.002403846153846154,safe
250000,0.01,0.35820553253446186,9.820224609195785e-05,27,0.01622596153846154,caution
250000,0.025,0.35820553253446186,9.820224609195785e-05,10,0.006009615384615385,safe
250000,0.05,0.35820553253446186,9.820224609195785e-05,4,0.002403846153846154,safe
250000,0.1,0.35820553253446186,9.820224609195785e-05,4,0.002403846153846154,safe
500000,0.01,0.7164110650689237,0.0001964044921839157,39,0.0234375,caution
500000,0.025,0.7164110650689237,0.0001964044921839157,23,0.013822115384615384,caution
500000,0.05,0.7164110650689237,0.0001964044921839157,10,0.006009615384615385,safe
500000,0.1,0.7164110650689237,0.0001964044921839157,4,0.002403846153846154,safe
1000000,0.01,1.4328221301378474,0.0003928089843678314,82,0.04927884615384615,caution
1000000,0.025,1.4328221301378474,0.0003928089843678314,37,0.022235576923076924,caution
1000000,0.05,1.4328221301378474,0.0003928089843678314,23,0.013822115384615384,caution
1000000,0.1,1.4328221301378474,0.0003928089843678314,10,0.006009615384615385,safe
5000000,0.01,7.164110650689237,0.001964044921839157,276,0.1658653846153846,capacity_limited
5000000,0.025,7.164110650689237,0.001964044921839157,143,0.0859375,caution
5000000,0.05,7.164110650689237,0.001964044921839157,82,0.04927884615384615,caution
5000000,0.1,7.164110650689237,0.001964044921839157,39,0.0234375,caution
