n_states,best_seed,converged,converged_runs,total_runs,best_log_likelihood,AIC,BIC,mean_state_persistence,min_state_persistence,transition_matrix_stability,state_labels,risk_on_state_count,neutral_state_count,risk_off_state_count,state_interpretability,risk_off_spy_vol20,risk_on_spy_return
2,11,True,20,20,-28941.250002179044,57936.50000435809,58110.55701937714,0.9767459472657455,0.9701349487051547,1.1295119389123104e-06,"risk_on,risk_off",1,0,1,interpretable,0.2602821628087875,0.0009205799063428236
3,11,True,20,20,-24934.151724228584,49956.30344845717,50239.95191737711,0.9702049214882327,0.9614480247094777,1.9699760213152876e-06,"risk_on,risk_off,neutral",1,1,1,interpretable,0.31861247001657733,0.000818949331236399
4,17,True,20,20,-22371.368859947404,44868.73771989481,45274.870754939264,0.9628419844184132,0.9493800272764983,0.005385949639707414,"risk_on,neutral,risk_off,neutral",1,2,1,interpretable,0.5004388910796324,0.0008067355037790281
