variant,classification,reason,Sharpe,reference_best_Sharpe,max_drawdown,reference_worst_drawdown,average_exposure,production_change
raw_target_blend_50_50_with_baseline_expected_return,research only,higher_return_without_sharpe_improvement,1.6339545658786556,1.6449369115316776,-0.09128577880145283,-0.05496821296940235,0.6763636363636363,none
raw_target_with_baseline_cash_floor,research only,higher_return_without_sharpe_improvement,1.5355134902058685,1.6449369115316776,-0.06916546062377349,-0.05496821296940235,0.4509090909090909,none
raw_target_with_regime_gate_cash,research only,higher_return_without_sharpe_improvement,1.5355134902058685,1.6449369115316776,-0.06916546062377349,-0.05496821296940235,0.4509090909090909,none
raw_target_with_volatility_targeting,reject,does_not_improve_reference,1.318678875393951,1.6449369115316776,-0.04880976746996368,-0.05496821296940235,0.31386139542103497,none
raw_target_with_max_exposure_cap,research only,higher_return_without_sharpe_improvement,1.1280750779125088,1.6449369115316776,-0.08118752207537205,-0.05496821296940235,0.4836363636363636,none
