horizon,tp_multiple,sl_multiple,subset,sample_size,TP_rate,SL_rate,timeout_rate,TP_minus_SL,avg_return,median_return,Sharpe,Sortino,max_drawdown_proxy,avg_time_to_exit
20,1.5,1.0,selected_only,74,0.13513513513513514,0.20270270270270271,0.6621621621621622,-0.06756756756756757,0.04032809571189705,0.03490761722322433,0.3205270953349862,6.2899059317810595,-0.6424780389996603,17.486486486486488
20,2.0,1.0,selected_only,74,0.04054054054054054,0.20270270270270271,0.7567567567567568,-0.16216216216216217,0.03978213794893966,0.03490761722322433,0.3077405461286559,6.204753808649331,-0.6424780389996603,18.12162162162162
20,1.25,1.0,selected_only,74,0.20270270270270271,0.20270270270270271,0.5945945945945946,0.0,0.03633420233972248,0.03490761722322433,0.30389203651599,5.666985033358104,-0.6679205917938809,17.12162162162162
30,2.0,0.75,selected_only,74,0.02702702702702703,0.3108108108108108,0.6621621621621622,-0.28378378378378377,0.046657234055653196,0.03151894389499188,0.30242072739880294,6.903315695311202,-0.7137591667513614,24.72972972972973
30,1.5,0.75,selected_only,74,0.10810810810810811,0.3108108108108108,0.581081081081081,-0.2027027027027027,0.04472545216086303,0.03151894389499188,0.30115862606769744,6.617492916825961,-0.7149032756968645,23.864864864864863
30,1.0,0.75,selected_only,74,0.35135135135135137,0.3108108108108108,0.33783783783783783,0.04054054054054057,0.040098084305867324,0.04457896920278692,0.30042794988431437,5.746807492285364,-0.7058961302011149,20.986486486486488
30,1.25,0.75,selected_only,74,0.21621621621621623,0.3108108108108108,0.47297297297297297,-0.09459459459459457,0.04126061992855531,0.03151894389499188,0.2910911896602857,6.104842923421306,-0.7294490359016598,23.06756756756757
20,1.0,1.0,selected_only,74,0.32432432432432434,0.20270270270270271,0.47297297297297297,0.12162162162162163,0.03249143534514321,0.03490761722322433,0.2842305917414994,5.067635064385327,-0.6714451364019941,15.621621621621621
20,1.5,1.25,selected_only,74,0.13513513513513514,0.16216216216216217,0.7027027027027027,-0.02702702702702703,0.03691377187295953,0.03490761722322433,0.2785833010934191,4.946366559305396,-0.7445608810631477,18.054054054054053
20,1.5,1.5,selected_only,74,0.13513513513513514,0.08108108108108109,0.7837837837837838,0.05405405405405406,0.036278400051185086,0.03490761722322433,0.2714106370351926,4.750956036041538,-0.7341977682046381,18.513513513513512
20,1.5,0.75,selected_only,74,0.13513513513513514,0.32432432432432434,0.5405405405405406,-0.1891891891891892,0.0338712207307092,0.02844947407616427,0.2687494556027553,5.5241198469191355,-0.6491684982487478,15.594594594594595
20,2.0,1.25,selected_only,74,0.04054054054054054,0.16216216216216217,0.7972972972972973,-0.12162162162162163,0.03636781411000213,0.03490761722322433,0.2678534142599866,4.873209385587695,-0.7468919777837015,18.68918918918919
30,2.0,1.0,selected_only,74,0.02702702702702703,0.20270270270270271,0.7702702702702703,-0.17567567567567569,0.043036751106511215,0.03151894389499188,0.2673077540449918,5.470811647407919,-0.7931533723288628,26.62162162162162
30,1.5,1.0,selected_only,74,0.10810810810810811,0.20270270270270271,0.6891891891891891,-0.0945945945945946,0.041104969211721055,0.03151894389499188,0.26444818698351535,5.225244437557108,-0.8020835859507535,25.756756756756758
20,1.5,2.0,selected_only,74,0.13513513513513514,0.04054054054054054,0.8243243243243243,0.0945945945945946,0.035856297609429676,0.03490761722322433,0.263871250715786,4.482856552186997,-0.7707477809281912,18.864864864864863
30,0.75,0.75,selected_only,74,0.43243243243243246,0.3108108108108108,0.25675675675675674,0.12162162162162166,0.03246802773630668,0.05046891014788102,0.26153528980378427,4.653277289544576,-0.7202717025923109,18.45945945945946
20,2.0,1.5,selected_only,74,0.04054054054054054,0.08108108108108109,0.8783783783783784,-0.04054054054054054,0.035732442288227695,0.03490761722322433,0.26100070117993074,4.679458359030243,-0.7366234370428053,19.14864864864865
20,1.25,1.25,selected_only,74,0.20270270270270271,0.16216216216216217,0.6351351351351351,0.04054054054054054,0.03291987850078496,0.03490761722322433,0.26029426038859377,4.411193380971184,-0.782184591929445,17.68918918918919
30,1.0,1.0,selected_only,74,0.35135135135135137,0.20270270270270271,0.44594594594594594,0.14864864864864866,0.03647760135672535,0.04457896920278692,0.258678864069296,4.491134339868388,-0.7958307538928054,22.87837837837838
20,2.0,0.75,selected_only,74,0.04054054054054054,0.32432432432432434,0.6351351351351351,-0.28378378378378377,0.03332526296775181,0.02844947407616427,0.2574313594191888,5.4350785886217015,-0.6523701306635598,16.22972972972973
20,2.0,2.0,selected_only,74,0.04054054054054054,0.04054054054054054,0.918918918918919,0.0,0.03531033984647228,0.03490761722322433,0.2539003333597672,4.41459935615549,-0.7728399001708592,19.5
20,1.25,1.5,selected_only,74,0.20270270270270271,0.08108108108108109,0.7162162162162162,0.12162162162162163,0.032284506679010526,0.03490761722322433,0.25288007755605135,4.227922721532972,-0.7733478653327035,18.14864864864865
30,1.25,1.0,selected_only,74,0.21621621621621623,0.20270270270270271,0.581081081081081,0.013513513513513514,0.03764013697941333,0.03151894389499188,0.25278864538716084,4.784796586697947,-0.8121813684012186,24.95945945945946
20,1.25,0.75,selected_only,74,0.20270270270270271,0.32432432432432434,0.47297297297297297,-0.12162162162162163,0.029877327358534638,0.02844947407616427,0.2498724895416971,4.872748412180582,-0.7008425841899111,15.22972972972973
30,2.0,1.25,selected_only,74,0.02702702702702703,0.13513513513513514,0.8378378378378378,-0.10810810810810811,0.04064030057515208,0.03151894389499188,0.24587334610310915,4.7660115869053765,-0.818059026682537,27.945945945945947
20,0.75,1.0,selected_only,74,0.40540540540540543,0.20270270270270271,0.3918918918918919,0.20270270270270271,0.02639718412375401,0.04099686740277986,0.24547236501151976,4.117124849843469,-0.7044977738879705,14.405405405405405
20,1.25,2.0,selected_only,74,0.20270270270270271,0.04054054054054054,0.7567567567567568,0.16216216216216217,0.031862404237255115,0.03490761722322433,0.24514055487895617,3.983528616346783,-0.804514414800535,18.5
10,2.0,1.25,selected_only,74,0.06756756756756757,0.10810810810810811,0.8243243243243243,-0.04054054054054054,0.022836622284968026,0.025320302922484106,0.2424917056574648,4.556209094024883,-0.4898117254706772,9.45945945945946
30,1.5,1.25,selected_only,74,0.10810810810810811,0.13513513513513514,0.7567567567567568,-0.02702702702702703,0.03870851868036192,0.03151894389499188,0.2421620053988403,4.539465651869326,-0.830856115298198,27.08108108108108
20,1.0,1.25,selected_only,74,0.32432432432432434,0.16216216216216217,0.5135135135135135,0.16216216216216217,0.029077111506205695,0.03490761722322433,0.2394915063787653,3.896270814331141,-0.7844963887560721,16.18918918918919
10,2.0,1.5,selected_only,74,0.06756756756756757,0.06756756756756757,0.8648648648648649,0.0,0.02248358560787241,0.025320302922484106,0.23541336839336818,4.288709872842457,-0.5615581946102741,9.662162162162161
30,1.0,1.25,selected_only,74,0.35135135135135137,0.13513513513513514,0.5135135135135135,0.21621621621621623,0.034081150825366203,0.04457896920278692,0.2337795696208423,3.8708851209444743,-0.828045798949701,24.2027027027027
20,1.0,1.5,selected_only,74,0.32432432432432434,0.08108108108108109,0.5945945945945946,0.24324324324324326,0.028441739684431266,0.03490761722322433,0.2319190505135644,3.7246806540151374,-0.7757534512841913,16.64864864864865
30,1.25,1.25,selected_only,74,0.21621621621621623,0.13513513513513514,0.6486486486486487,0.08108108108108109,0.0352436864480542,0.03151894389499188,0.22968816452247554,4.133134243583476,-0.8394859106527175,26.283783783783782
10,1.25,1.25,selected_only,74,0.14864864864864866,0.10810810810810811,0.7432432432432432,0.04054054054054054,0.01966881091914376,0.025320302922484106,0.22776081338193616,3.924188702698254,-0.4898117254706772,9.08108108108108
30,2.0,1.5,selected_only,74,0.02702702702702703,0.0945945945945946,0.8783783783783784,-0.06756756756756757,0.03857930405213583,0.03151894389499188,0.22683310651492866,4.166161907614102,-0.8469821462676695,28.64864864864865
30,2.0,2.0,selected_only,74,0.02702702702702703,0.02702702702702703,0.9459459459459459,0.0,0.03869665566002267,0.03151894389499188,0.2256625729453941,4.075152507287769,-0.8489130540988563,29.18918918918919
20,1.0,0.75,selected_only,74,0.3108108108108108,0.32432432432432434,0.36486486486486486,-0.013513513513513542,0.025592852476603267,0.02844947407616427,0.22564909287406465,4.17398550318849,-0.7040177092678749,13.824324324324325
20,1.0,2.0,selected_only,74,0.32432432432432434,0.04054054054054054,0.6351351351351351,0.28378378378378377,0.028019637242675845,0.03490761722322433,0.22411214201713717,3.503094931089572,-0.8065892127201066,17.0
30,1.5,1.5,selected_only,74,0.10810810810810811,0.0945945945945946,0.7972972972972973,0.013513513513513514,0.036647522157345666,0.03151894389499188,0.2224193752481179,3.957549638895692,-0.8620046377178135,27.783783783783782
10,1.5,1.25,selected_only,74,0.06756756756756757,0.10810810810810811,0.8243243243243243,-0.04054054054054054,0.018916024597630858,0.025320302922484106,0.22199768977514134,3.7739978451740974,-0.4898117254706772,9.324324324324325
10,1.0,1.25,selected_only,74,0.24324324324324326,0.10810810810810811,0.6486486486486487,0.13513513513513514,0.018694174829737002,0.031329797356158484,0.22174188019036795,3.6657496021098233,-0.4898117254706773,8.756756756756756
30,1.5,2.0,selected_only,74,0.10810810810810811,0.02702702702702703,0.8648648648648649,0.08108108108108109,0.03676487376523251,0.03151894389499188,0.22118720096647956,3.8717161715679342,-0.8605494245301075,28.324324324324323
10,1.25,1.5,selected_only,74,0.14864864864864866,0.06756756756756757,0.7837837837837838,0.08108108108108109,0.019315774242048136,0.025320302922484106,0.22000986187192012,3.684454656754674,-0.5615581946102741,9.283783783783784
30,0.75,1.0,selected_only,74,0.43243243243243246,0.20270270270270271,0.36486486486486486,0.22972972972972974,0.028847544787164704,0.05046891014788102,0.2185248293309127,3.5517192522484806,-0.80581039060917,20.35135135135135
10,1.5,1.5,selected_only,74,0.06756756756756757,0.06756756756756757,0.8648648648648649,0.0,0.018562987920535234,0.025320302922484106,0.21420012629304871,3.5408618070411157,-0.5615581946102741,9.527027027027026
10,1.0,1.5,selected_only,74,0.24324324324324326,0.06756756756756757,0.6891891891891891,0.17567567567567569,0.018341138152641386,0.031329797356158484,0.21383080385807562,3.4384530344204993,-0.5615581946102741,8.95945945945946
30,1.0,1.5,selected_only,74,0.35135135135135137,0.0945945945945946,0.5540540540540541,0.2567567567567568,0.03202015430234997,0.04457896920278692,0.2119136483732012,3.3487749165019878,-0.8736378901925618,24.905405405405407
30,1.0,2.0,selected_only,74,0.35135135135135137,0.02702702702702703,0.6216216216216216,0.32432432432432434,0.03213750591023681,0.04457896920278692,0.2104868678025574,3.2776209127430223,-0.8676590158988222,25.445945945945947
30,1.25,1.5,selected_only,74,0.21621621621621623,0.0945945945945946,0.6891891891891891,0.12162162162162163,0.03318268992503795,0.03151894389499188,0.2093322708978226,3.583383945211677,-0.8690452217653394,26.986486486486488
10,2.0,2.0,selected_only,74,0.06756756756756757,0.04054054054054054,0.8918918918918919,0.02702702702702703,0.02063161021477631,0.025320302922484106,0.20888155497310035,3.5908742295371985,-0.6012152983420476,9.81081081081081
30,1.25,2.0,selected_only,74,0.21621621621621623,0.02702702702702703,0.7567567567567568,0.1891891891891892,0.03330004153292479,0.03151894389499188,0.2080934816181296,3.5068339997629088,-0.8676642541941937,27.527027027027028
10,2.0,0.75,selected_only,74,0.06756756756756757,0.28378378378378377,0.6486486486486487,-0.2162162162162162,0.01956104182626922,0.013861276810368084,0.20790695661864303,4.166380244628442,-0.54659458162626,8.27027027027027
20,0.75,1.25,selected_only,74,0.40540540540540543,0.16216216216216217,0.43243243243243246,0.24324324324324326,0.022982860284816487,0.04099686740277986,0.20007728021924495,3.07965417192383,-0.8061760639900977,14.972972972972974
30,0.75,1.25,selected_only,74,0.43243243243243246,0.13513513513513514,0.43243243243243246,0.2972972972972973,0.026451094255805566,0.05046891014788102,0.19313440583160998,3.0042749352023215,-0.8350333831472532,21.675675675675677
20,0.75,1.5,selected_only,74,0.40540540540540543,0.08108108108108109,0.5135135135135135,0.32432432432432434,0.022347488463042055,0.04099686740277986,0.19243554231634227,2.926588136578807,-0.7983126665124086,15.432432432432432
10,1.25,2.0,selected_only,74,0.14864864864864866,0.04054054054054054,0.8108108108108109,0.10810810810810811,0.017463798848952036,0.025320302922484106,0.1913401190948443,3.0395254943121346,-0.6012152983420476,9.432432432432432
10,1.25,0.75,selected_only,74,0.14864864864864866,0.28378378378378377,0.5675675675675675,-0.13513513513513511,0.016393230460444948,0.013861276810368084,0.19031382161524577,3.4916561266341124,-0.5465945816262601,7.891891891891892
10,2.0,1.0,selected_only,74,0.06756756756756757,0.20270270270270271,0.7297297297297297,-0.13513513513513514,0.018217860405107835,0.018654760704807205,0.18905151134528403,3.5550267498420336,-0.5791016150322511,8.878378378378379
20,0.75,0.75,selected_only,74,0.3918918918918919,0.32432432432432434,0.28378378378378377,0.06756756756756754,0.020188770487398394,0.03490761722322433,0.18815404181298587,3.2926238065349365,-0.7337935441184207,12.621621621621621
10,1.5,2.0,selected_only,74,0.06756756756756757,0.04054054054054054,0.8918918918918919,0.02702702702702703,0.016711012527439135,0.025320302922484106,0.1853364051156225,2.9085051340916426,-0.6012152983420478,9.675675675675675
20,0.75,2.0,selected_only,74,0.40540540540540543,0.04054054054054054,0.5540540540540541,0.3648648648648649,0.021925386021286637,0.04099686740277986,0.1848256535739159,2.7411742688934404,-0.8260463486389992,15.783783783783784
10,1.0,2.0,selected_only,74,0.24324324324324326,0.04054054054054054,0.7162162162162162,0.20270270270270271,0.016489162759545286,0.031329797356158484,0.18463214060283265,2.820495206548259,-0.6012152983420477,9.108108108108109
