regime,kept_trades,rejected_trades,avg_return_kept,avg_return_rejected,TP_rate_kept,SL_rate_kept,hit_rate_kept,cash_drag,filter_helps,decision
neutral,438,232,0.018447529056540478,0.029550072212220932,0.2511415525114155,0.17579908675799086,0.5753424657534246,0.8534485954937845,False,fallback_unfiltered
risk_off,124,33,0.05428428384277228,0.010226022626197071,0.3709677419354839,0.1532258064516129,0.6935483870967742,0.05122343826513876,False,fallback_unfiltered
risk_on,20,0,0.021796730814043604,,0.05,0.2,0.45,0.0,False,fallback_unfiltered
