drawdown_start,drawdown_trough,drawdown_end,max_drawdown,duration_periods,recovered,average_recovery_time,max_duration_underwater
2024-12-27,2025-04-10,2025-07-23,-0.17968973137233368,29,True,8.130434782608695,29
2022-03-30,2022-06-10,2022-09-07,-0.17572950568651358,23,True,8.130434782608695,29
2024-07-09,2024-09-11,2024-11-13,-0.15202473579270992,19,True,8.130434782608695,29
2022-01-10,2022-01-18,2022-03-16,-0.13571363816716076,10,True,8.130434782608695,29
2026-01-28,2026-03-05,2026-04-17,-0.12781293837734364,12,True,8.130434782608695,29
2023-07-18,2023-10-25,2023-12-14,-0.12516477798649817,22,True,8.130434782608695,29
2025-10-30,2025-12-05,2026-01-06,-0.09132310901690854,10,True,8.130434782608695,29
2024-04-11,2024-06-14,2024-07-01,-0.08193581893983015,12,True,8.130434782608695,29
2023-04-13,2023-04-27,2023-05-11,-0.07329391823198794,5,True,8.130434782608695,29
2022-09-14,2022-09-21,2022-10-12,-0.06619561168783261,5,True,8.130434782608695,29
