candidate,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,max_drawdown,Calmar,cost_bps,slippage_bps,all_in_bps,return_drag,avg_period_cost_drag,breakeven_cost_level_bps_grid,still_beats_SPY_return,still_beats_SPY_sharpe,still_beats_QQQ_return,still_beats_QQQ_sharpe,passes_growth_criteria
growth_candidate_v1,2022-01-03,2026-05-15,220,3.4651966718738256,0.40928325027004453,0.30266060037187004,1.327123316943002,2.1748311525347006,-0.24225547769721656,1.6894695391845296,0,0,0,0.0,0.0,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.389530114103633,0.40377147556288806,0.30268656293522556,1.3135656553512594,2.152473274330504,-0.24328377889326203,1.659672820768039,0,5,5,-0.07566655777019271,7.798731076831321e-05,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.3151364552815723,0.3982805640855065,0.3027131757275779,1.300007526916284,2.130109000604024,-0.24431080668122163,1.6302208219761054,0,10,10,-0.15006021659225333,0.00015597462153662641,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.0993820619926975,0.38193224660804415,0.3027969137432144,1.2593312224761357,2.0629820358027464,-0.24738426387039614,1.543882543831233,0,25,25,-0.3658146098811281,0.0003899365538415661,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.389530114103633,0.40377147556288806,0.30268656293522556,1.3135656553512594,2.152473274330504,-0.24328377889326203,1.659672820768039,5,0,5,-0.07566655777019271,7.798731076831321e-05,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.3151364552815723,0.3982805640855065,0.3027131757275779,1.300007526916284,2.130109000604024,-0.24431080668122163,1.6302208219761054,5,5,10,-0.15006021659225333,0.00015597462153662641,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.241994438754463,0.39281043946048544,0.30274043857744937,1.2864490198507188,2.1077387543483606,-0.2453365624891949,1.6011084343687485,5,10,15,-0.2232022331193626,0.00023396193230493963,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.0298709271731514,0.3765240269732051,0.3028261256955447,1.2457721083816875,2.031150804593302,-0.24840621229264337,1.5157593020645883,5,25,30,-0.4353257447006742,0.00046792386460987927,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.3151364552815723,0.3982805640855065,0.3027131757275779,1.300007526916284,2.130109000604024,-0.24431080668122163,1.6302208219761054,10,0,10,-0.15006021659225333,0.00015597462153662641,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.241994438754463,0.39281043946048544,0.30274043857744937,1.2864490198507188,2.1077387543483606,-0.2453365624891949,1.6011084343687485,10,5,15,-0.2232022331193626,0.00023396193230493963,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.1700831602327604,0.38736102558063057,0.30276835130923635,1.2728902223273195,2.0853629584806423,-0.24636104774384415,1.572330646942987,10,10,20,-0.29511351164106525,0.00031194924307325283,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,2.961529874165625,0.3711362913740517,0.3028559869782795,1.2322129680801528,2.008937512036577,-0.2494268944329444,1.4879561893989242,10,25,35,-0.5036667977082008,0.0005459111753781925,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.0993820619926975,0.38193224660804415,0.3027969137432144,1.2593312224761357,2.0629820358027464,-0.24738426387039614,1.543882543831233,25,0,25,-0.3658146098811281,0.0003899365538415661,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,3.0298709271731514,0.3765240269732051,0.3028261256955447,1.2457721083816875,2.031150804593302,-0.24840621229264337,1.5157593020645883,25,5,30,-0.4353257447006742,0.00046792386460987927,75.0,True,True,True,True,True
growth_candidate_v1,2022-01-03,2026-05-15,220,2.961529874165625,0.3711362913740517,0.3028559869782795,1.2322129680801528,2.008937512036577,-0.2494268944329444,1.4879561893989242,25,10,35,-0.5036667977082008,0.0005459111753781925,75.0,True,True,True,True,True
