date,variant,portfolio_return,cash_weight,exposure,average_position_size,max_position_size,turnover
2022-01-03,raw_target_vol_target_15pct,-0.015187574011753987,7.771561172376096e-16,0.9999999999999992,0.2499999999999998,0.2499999999999998,1.0
2022-01-10,raw_target_vol_target_15pct,0.008558915100451647,4.440892098500626e-16,0.9999999999999996,0.2499999999999999,0.2499999999999999,0.6666666666666666
2022-01-18,raw_target_vol_target_15pct,-0.013656622504658343,4.440892098500626e-16,0.9999999999999996,0.2499999999999999,0.2499999999999999,0.6666666666666666
2022-01-25,raw_target_vol_target_15pct,0.004484011928778195,0.6000000000000004,0.3999999999999996,0.0999999999999999,0.0999999999999999,0.6666666666666666
2022-02-01,raw_target_vol_target_15pct,-0.013809438388929094,4.440892098500626e-16,0.9999999999999996,0.2499999999999999,0.2499999999999999,0.0
2022-02-08,raw_target_vol_target_15pct,0.010625840676069025,0.07862326953384502,0.921376730466155,0.23034418261653875,0.23034418261653875,0.0
2022-02-15,raw_target_vol_target_15pct,0.01921606194023173,0.15712703941037887,0.8428729605896211,0.21071824014740528,0.21071824014740528,0.6666666666666666
2022-02-23,raw_target_vol_target_15pct,0.0022397139262070806,0.2732636786363424,0.7267363213636576,0.1816840803409144,0.1816840803409144,0.6666666666666666
2022-03-02,raw_target_vol_target_15pct,-0.027098505632041556,0.22448106660305067,0.7755189333969493,0.19387973334923733,0.19387973334923733,0.6666666666666666
2022-03-09,raw_target_vol_target_15pct,0.019008550148604187,0.34188832260060753,0.6581116773993925,0.16452791934984812,0.16452791934984812,0.0
2022-03-16,raw_target_vol_target_15pct,0.04933928974711464,0.3743416034987366,0.6256583965012634,0.15641459912531586,0.15641459912531586,0.0
2022-03-23,raw_target_vol_target_15pct,0.0031252849191273145,0.5351245283942607,0.4648754716057393,0.11621886790143482,0.11621886790143482,0.6666666666666666
2022-03-30,raw_target_vol_target_15pct,-0.0071787605978607975,0.5144887212679501,0.4855112787320499,0.12137781968301248,0.12137781968301248,0.6666666666666666
2022-04-06,raw_target_vol_target_15pct,0.0023533368760035576,0.500850700262503,0.499149299737497,0.12478732493437425,0.12478732493437425,0.6666666666666666
2022-04-13,raw_target_vol_target_15pct,-0.011462997921890865,0.4820334374569579,0.5179665625430421,0.12949164063576052,0.12949164063576052,0.6666666666666666
2022-04-21,raw_target_vol_target_15pct,-0.004220515326749264,0.47474774844062106,0.5252522515593789,0.13131306288984473,0.13131306288984473,0.6666666666666666
2022-04-28,raw_target_vol_target_15pct,-0.014295533754402965,0.6000000000000004,0.3999999999999996,0.0999999999999999,0.0999999999999999,0.6666666666666666
2022-05-05,raw_target_vol_target_15pct,-0.012649942805068945,0.4560695244707349,0.5439304755292651,0.13598261888231628,0.13598261888231628,0.6666666666666666
2022-05-12,raw_target_vol_target_15pct,0.04712166678643364,0.44927266885551786,0.5507273311444821,0.13768183278612053,0.13768183278612053,0.6666666666666666
2022-05-19,raw_target_vol_target_15pct,-0.005032632926079915,0.5213787191421173,0.4786212808578827,0.11965532021447067,0.11965532021447067,1.0
2022-05-26,raw_target_vol_target_15pct,0.016824773989868196,0.5106980931154946,0.48930190688450537,0.12232547672112634,0.12232547672112634,0.6666666666666666
2022-06-03,raw_target_vol_target_15pct,-0.0037919199080230954,0.5063229305814259,0.49367706941857414,0.12341926735464354,0.12341926735464354,0.6666666666666666
2022-06-10,raw_target_vol_target_15pct,-0.04043560695716503,0.5071383952762787,0.4928616047237213,0.12321540118093033,0.12321540118093033,0.6666666666666666
2022-06-17,raw_target_vol_target_15pct,0.0021099693771661175,0.6000000000000004,0.3999999999999996,0.0999999999999999,0.0999999999999999,0.6666666666666666
2022-06-27,raw_target_vol_target_15pct,-0.02247947451293509,0.5525689724774623,0.4474310275225377,0.11185775688063443,0.11185775688063443,0.6666666666666666
