date,available_investable_capital,actually_invested_capital,unused_capital,selected_count,investable_candidates_available,uncapped_volatility_target_exposure,after_volatility_targeting_exposure,exposure_cap,after_exposure_cap,dual_trend_cap,after_dual_trend_exposure,cash_forced_by_volatility_targeting,cash_forced_by_exposure_cap,cash_forced_by_dual_trend,cash_from_insufficient_candidates,cash_from_optimizer,cash_from_concentration_controls,cash_from_hhi,cash_from_governance,cash_residual_unexplained,primary_reason,evidence
2008-12-31,1.0,0.25,0.75,2,,0.6,0.6,0.6,0.6,0.25,0.25,0.4,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,volatility targeting,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-01-08,1.0,0.25,0.75,4,,0.6,0.6,0.6,0.6,0.25,0.25,0.4,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,volatility targeting,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-01-15,1.0,0.25,0.75,4,,0.6,0.6,0.6,0.6,0.25,0.25,0.4,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,volatility targeting,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-01-23,1.0,0.25,0.75,4,,0.6,0.6,0.6,0.6,0.25,0.25,0.4,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,volatility targeting,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-01-30,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-02-06,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-02-13,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-02-23,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-03-02,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-03-09,1.0,0.25,0.75,3,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-03-16,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-03-23,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-03-30,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-04-06,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-04-14,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-04-21,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
2009-04-28,1.0,0.25,0.75,4,,0.75,0.75,0.6,0.6,0.25,0.25,0.25,0.15000000000000002,0.35,0.0,0.0,0.0,0.0,0.0,0.0,dual trend,sequential decomposition: 100% -> vol target -> cap60 -> dual trend -> actual exposure
