group_type,group,horizon,sample_size,MAE,RMSE,MAPE,bias,forecast_dispersion,pearson_corr,spearman_ic,calibration_slope,bias_type
ticker,SPY,5D,440,0.020414783190973087,0.02560239454125046,2.2251338076628726,-0.005259373818150976,0.010606445391169153,-0.03808119982379038,-0.021457426784487314,-0.1301181841160851,pessimistic_bias
ticker,PEP,5D,440,0.02148435308806517,0.028425612171106878,1.9121900609567724,0.00033538654150559066,0.01325825569130924,-0.03875231740044226,0.00402900815433925,-0.07201248776010082,well_centered
ticker,QQQ,5D,440,0.025579080586867222,0.03139258437599039,1.9584606698219882,-0.0037706730306603623,0.010458241619478273,0.010444562792666378,0.01603488895662625,0.009838029692445347,pessimistic_bias
ticker,COST,5D,440,0.02749472814682491,0.03645048798947612,2.258545187865,-0.001055952031060576,0.01623468342977439,0.0005905560626769398,0.057052164209553696,0.02771656679849692,well_centered
ticker,SPY,10D,440,0.027953203509634938,0.03462227434363322,1.6993427855393157,-0.007739879078971555,0.010606445391169153,-0.03960058091749757,-0.03209175432136708,-0.22629315092270783,pessimistic_bias
ticker,CSCO,5D,440,0.02804978508743395,0.03894309674343623,1.6822921167750517,-0.003507408668891857,0.012010593862965626,-0.11973304695019725,-0.1574344797516831,-0.3523912951391642,pessimistic_bias
ticker,MSFT,5D,440,0.028940883152166107,0.03796271936242457,1.1064313502722853,-0.00096237953642362,0.011666834879812576,0.06616795108937208,0.10705102840961585,0.21752746759934027,well_centered
ticker,PEP,10D,440,0.03041588972691339,0.03798690004343325,1.86185038529979,0.0009752948830116955,0.01325825569130924,-0.050828567044403056,-0.04763527333245714,-0.13389757284207066,well_centered
ticker,AAPL,5D,440,0.032053913829292256,0.03984625004259328,3.526572400818073,-0.003352138424551737,0.0122348800077906,-0.0013573074771274618,0.03262397784609064,-0.009045547592709716,pessimistic_bias
ticker,TXN,5D,440,0.03342026182722541,0.045310221469311955,3.077022380000688,-0.0027607557916429,0.016446669282424088,0.09137734896265551,0.10360524031677885,0.24687988468461705,pessimistic_bias
ticker,QQQ,10D,440,0.0347868241979493,0.04319490502984637,1.673535441532215,-0.007266929176405972,0.010458241619478273,0.039244232619106645,0.049422124361465494,0.11415673673526074,pessimistic_bias
ticker,COST,10D,440,0.03782685955101811,0.04961571327276989,1.957361745023869,-0.004372363912285417,0.01623468342977439,0.0034251146371290413,0.07951120805618618,0.06333558274915024,pessimistic_bias
