S,folds,PBO,median_lambda,mean_is_sharpe,mean_oos_sharpe,method
8,70,0.7714285714285715,-1.0761394328160512,3.021431133481449,1.8172911506299003,CSCV_symmetric_train_test_combinations
10,252,0.6785714285714286,-0.9044562742271522,2.956553730485461,1.8855297592563947,CSCV_symmetric_train_test_combinations
12,924,0.6320346320346321,-0.6678293725756556,2.882368943210164,2.0106816539930543,CSCV_symmetric_train_test_combinations
