candidate,year,yearly_return,yearly_Sharpe
growth_v1,2022,-0.11753367161227024,-0.23110837929798997
growth_v1,2023,0.6611786940013253,2.196845966188018
growth_v1,2024,0.37283103784522886,1.2969723405426477
growth_v1,2025,0.36705569211740685,1.2635418233422735
growth_v1,2026,0.6230159947491152,3.9336571515243057
growth_v1_exposure_cap_60,2022,-0.0063376505964575225,0.09658684690813209
growth_v1_exposure_cap_60,2023,0.4417607626360973,2.3063832123307635
growth_v1_exposure_cap_60,2024,0.19241159700875832,0.9747377560934598
growth_v1_exposure_cap_60,2025,0.2725866951225966,1.264083732042647
growth_v1_exposure_cap_60,2026,0.4591590880195733,3.9614152289933404
SPY,2022,-0.19945155111593804,-0.8968932146108889
SPY,2023,0.24286799325793096,1.8486587623614374
SPY,2024,0.25183567108174576,2.137950254503276
SPY,2025,0.1560309310710286,1.0597708225094664
SPY,2026,0.07460930311221148,1.602476934508133
QQQ,2022,-0.33708423711751434,-1.3412277208607923
QQQ,2023,0.5379299642895745,2.7542530065324056
QQQ,2024,0.27603050297295306,1.6653335368078441
QQQ,2025,0.1881315026368251,1.0063699056515383
QQQ,2026,0.1418332311935493,1.9703332458543927
current_production_champion,2022,0.06914275770629086,0.4770310581232013
current_production_champion,2023,0.09041372925914848,0.876159810433269
current_production_champion,2024,0.2150342350222767,1.967653175509875
current_production_champion,2025,0.1357972675530048,1.3436368270105041
current_production_champion,2026,0.11251155632311671,1.7940287642126442
