group_type,group,horizon,sample_size,MAE,RMSE,MAPE,bias,forecast_dispersion,pearson_corr,spearman_ic,calibration_slope,bias_type
volatility_quintile,"(-0.0996, 0.0562]",5D,2024,0.03222820623258924,0.04408441395983638,1.351904880712521,-0.004529473058661484,0.012667620185860219,0.0666430501505159,0.05181259748534077,0.19030506011568218,pessimistic_bias
volatility_quintile,"(0.0562, 0.0678]",5D,2024,0.03697656636488742,0.053345681558731706,1.7881259405647014,-0.0049236224714429115,0.007774926075121797,0.009650338129260713,0.023487545516132732,-0.024580429593576328,pessimistic_bias
volatility_quintile,"(0.0678, 0.0815]",5D,2024,0.04213623620454167,0.05692755707643449,2.169491456814448,-0.0055612990074942765,0.010877918881695947,0.010949729106726985,0.025004355872437545,0.03136725781103256,pessimistic_bias
volatility_quintile,"(0.0815, 0.102]",5D,2024,0.04509792902718645,0.061837912053010265,1.5965237610806984,-0.004562084570432771,0.015789869859358534,-0.026587801974801203,-0.009226944745651082,-0.09421767773280063,pessimistic_bias
volatility_quintile,"(0.102, 0.182]",5D,2024,0.06253791923794604,0.08623576980977886,3.055137210040352,0.008503560065461366,0.048936425823686784,-0.003576798092145869,-0.017541614517765602,0.07060313286413723,optimistic_bias
volatility_quintile,"(-0.0996, 0.0562]",10D,2024,0.04645522763634007,0.06183454022678734,1.2929707045902197,-0.006783490039950369,0.012667620185860219,0.07436936963525802,0.045773486421046644,0.2952312461859744,pessimistic_bias
volatility_quintile,"(0.0562, 0.0678]",10D,2024,0.05211389898839884,0.07440896204937722,1.3357702999020922,-0.009881057031788267,0.007774926075121797,-0.0022597412513698832,0.0317124527511933,-0.24147478336404116,pessimistic_bias
volatility_quintile,"(0.0678, 0.0815]",10D,2024,0.06051274265062985,0.08246733972661133,1.593268435677582,-0.009962795377780298,0.010877918881695947,0.010136825715832522,0.05122742543153324,0.02920937539973105,pessimistic_bias
volatility_quintile,"(0.0815, 0.102]",10D,2024,0.06445766567036981,0.08759412615187008,1.652904509376846,-0.01074775797771921,0.015789869859358534,-0.012881154784399954,0.010673930123143405,-0.05718969185935194,pessimistic_bias
volatility_quintile,"(0.102, 0.182]",10D,2024,0.08330137061212396,0.1126285988830766,1.8461176450774481,-0.0019056576316126047,0.048936425823686784,0.013411163242105891,0.020635261016622594,0.17180035922963854,well_centered
volatility_quintile,"(-0.0996, 0.0562]",20D,2024,0.06320010449565287,0.08671794291955097,1.1453423595627605,-0.013146121302123078,0.012667620185860219,0.12209940746642763,0.03451356629841432,0.6865664444841562,pessimistic_bias
volatility_quintile,"(0.0562, 0.0678]",20D,2024,0.07490985918821774,0.1113807554687996,1.3031390364284061,-0.020362020225937152,0.007774926075121797,0.010243518791573508,0.03543173902553242,-0.3677810886248406,pessimistic_bias
volatility_quintile,"(0.0678, 0.0815]",20D,2024,0.08495961824149738,0.11542102471585715,1.211847635375537,-0.021983400149310772,0.010877918881695947,-0.0034551073965350346,0.043645606280713865,-0.14132465375517042,pessimistic_bias
volatility_quintile,"(0.0815, 0.102]",20D,2024,0.09207345822464957,0.1272367327732561,1.1643362374418251,-0.023614144515325747,0.015789869859358534,-0.015280087582622039,0.03633606893828627,-0.09296612469183124,pessimistic_bias
volatility_quintile,"(0.102, 0.182]",20D,2024,0.11796102133345399,0.16381273201000215,1.4841174985513026,-0.01905808193609919,0.048936425823686784,0.01990042205328139,0.035741319500428866,0.3220651423438141,pessimistic_bias
