date,benchmark,rolling_excess_return,rolling_tracking_difference,rolling_sharpe_difference,rolling_drawdown_difference
2022-01-10,SPY,,,,-0.055914143988666676
2022-01-18,SPY,,,,-0.11633699890694071
2022-01-25,SPY,,,,0.03252369023362833
2022-02-01,SPY,,,,-0.028364539000761413
2022-02-08,SPY,,,,-0.0032145205584208636
2022-02-15,SPY,,,,0.004936761652134858
2022-02-23,SPY,,,,0.08918170451782559
2022-03-02,SPY,0.07384494874884795,0.011643181960474291,2.4084096274988656,0.05747248956803941
2022-03-09,SPY,0.06102032325902851,0.009022526606815982,2.333725535945474,0.04417650238017068
2022-03-16,SPY,0.13054128169977441,0.014672547914573114,2.7383734481190376,0.06420917707760254
2022-03-23,SPY,0.11563956368928174,0.012140402902962503,2.215048976614879,0.04663706798396616
2022-03-30,SPY,0.04189184195745632,0.005620074536272495,1.0212587019556847,-0.017900688822330868
2022-04-06,SPY,0.0487359836503396,0.005693065420039855,1.2309116595194174,-0.011070096317662759
2022-04-13,SPY,0.04123285178944691,0.004775385563103472,1.164379678835757,-0.017773907681716605
2022-04-21,SPY,0.015931024973752095,0.0028370349439676653,0.9724310718658076,-0.0402725335105123
2022-04-28,SPY,0.03124265769300849,0.0036016907495294995,1.2214038956577338,-0.02575438448507028
2022-05-05,SPY,0.037270116804060116,0.0037336413200983734,1.4012464057876137,-0.019690611078631792
2022-05-12,SPY,0.10472401194273484,0.007139006333321304,2.0698777111749096,0.03785841696178571
2022-05-19,SPY,0.12486537099953088,0.0077228495760194886,2.205272716736665,0.053637022518346344
2022-05-26,SPY,0.08760613866482059,0.005680543022152244,1.5358864564210317,0.026331319228288352
2022-06-03,SPY,0.04153291717333629,0.00339280067832948,1.0967653670587885,-0.011328120014425735
2022-06-10,SPY,0.03873966107281701,0.003116679274435928,1.1605956660462156,-0.013090635663558392
2022-06-17,SPY,0.14869761473663945,0.007583653481152038,1.969290144001736,0.07496821300193746
2022-06-27,SPY,0.058109772947086524,0.003981778439494978,1.021724163580776,0.01173392810404461
2022-07-05,SPY,0.06604886611177774,0.004122630913573314,1.0809891726875835,0.017885061619506315
2022-07-12,SPY,0.11790194807665477,0.005834854197669535,1.40179609286501,0.05861250832979137
2022-07-19,SPY,0.12785700638899256,0.006166955248168308,1.3281749299652554,0.041312734610611135
2022-07-26,SPY,0.2444755732718089,0.009884726721336463,2.0312749845925855,0.06902427754166707
2022-08-02,SPY,0.010619372962237694,0.0014593031024062394,0.30652251709547873,0.02360410252753442
