date,ticker,model_mode,selected,regime,label,first_touch_type,realized_return_at_barrier,realized_return_20d,realized_return_for_meta,meta_label,signal_strength,target_confidence,quality_score,expected_daily_return,expected_total_return,regime_confidence,ema_timing_score,trend_persistence_score,kalman_trend_score,momentum_score,hurst_persistence_score,entropy_cleanliness_score,volatility_stability_score,correlation_diversification_score,cycle_stability_score,daily_volatility,downside_risk,weight
2022-01-03,SPY,baseline,True,neutral,-1,stop_loss,-0.0444202583162813,-0.0518305660148102,-0.0518305660148102,0,1.0,0.5,0.5,0.0018059649602062,0.0367457526306664,,,,,,,,,,,,,0.1636887198305242
2022-01-03,PEP,baseline,True,neutral,0,vertical_timeout,-0.0036998462565376,-0.0036998462565376,-0.0036998462565376,0,0.3100841070952208,0.5,0.5,0.0002482793524365,0.0049773166153934,,,,,,,,,,,,,0.1284297878047557
2022-01-03,CSCO,baseline,True,neutral,-1,stop_loss,-0.0674477253297167,-0.1233375702081565,-0.1233375702081565,0,0.6677398262797603,0.5,0.5,0.0008162036996747,0.0164512718303158,,,,,,,,,,,,,0.1342918159358927
2022-01-03,INTC,baseline,True,neutral,-1,stop_loss,-0.0969742517608474,-0.080060108904913,-0.080060108904913,0,0.2857629417280253,0.5,0.5,0.0001290257712453,0.0025836809283765,,,,,,,,,,,,,0.0735896764288271
2022-01-10,TSLA,baseline,True,neutral,-1,stop_loss,-0.2164404699566307,-0.1286432212109686,-0.1286432212109686,0,0.2427226833503045,0.5,0.5,9.286090158298366e-06,0.0001857381880598,,,,,,,,,,,,,0.0899005429454708
2022-01-10,PEP,baseline,True,neutral,0,vertical_timeout,-0.0123442264401867,-0.0123442264401867,-0.0123442264401867,0,0.7637068511702247,0.5,0.5,0.000165782004413,0.0033208671839688,,,,,,,,,,,,,0.1424353640992884
2022-01-10,CSCO,baseline,True,neutral,-1,stop_loss,-0.0831446039311251,-0.1048204395701227,-0.1048204395701227,0,1.0,0.5,0.5,0.0006442289088682,0.0129637396895558,,,,,,,,,,,,,0.1443436081498974
2022-01-10,INTC,baseline,True,neutral,-1,stop_loss,-0.1296866503558011,-0.1159209892648157,-0.1159209892648157,0,0.9694649999909104,0.5,0.5,0.0013991046868303,0.0283571583930739,,,,,,,,,,,,,0.1233204848053433
2022-01-18,YPF,baseline,True,neutral,0,vertical_timeout,-0.0071942947864432,-0.0071942947864432,-0.0071942947864432,0,0.582924787614993,0.5,0.5,0.000164690994744,0.0032989783842665,,,,,,,,,,,,,0.2452616506808169
2022-01-18,VIST,baseline,True,neutral,1,take_profit,0.1400651713705409,0.1221498397897007,0.1221498397897007,1,1.0,0.5,0.5,0.0024645235110761,0.0504617517474774,,,,,,,,,,,,,0.254738349319183
2022-01-25,AMD,baseline,True,risk_off,1,take_profit,0.1954468585162285,-0.0123278606231168,-0.0123278606231168,1,0.0124150254769287,0.5,0.5,0.0001058190599369,0.0021185101081195,,,,,,,,,,,,,0.1001537929461688
2022-01-25,CCJ,baseline,True,risk_off,0,vertical_timeout,0.0259870290762476,0.0259870290762476,0.0259870290762476,1,0.0124349246537554,0.5,0.5,0.0001060374782699,0.0021228872751029,,,,,,,,,,,,,0.0998462070538311
2022-02-01,COST,baseline,True,risk_off,0,vertical_timeout,0.03853188606987,0.03853188606987,0.03853188606987,1,0.3871379397688337,0.5,0.5,0.0001999566945204,0.0040067397213783,,,,,,,,,,,,,0.15858784424854
2022-02-01,PEP,baseline,True,risk_off,-1,stop_loss,-0.0496112523699643,-0.0453753756040343,-0.0453753756040343,0,0.6776677730160778,0.5,0.5,0.0001512057041133,0.0030284620271685,,,,,,,,,,,,,0.155939193438401
2022-02-01,YPF,baseline,True,risk_off,0,vertical_timeout,0.0709382038667676,0.0709382038667676,0.0709382038667676,1,0.8031255187011255,0.5,0.5,0.0005170021945173,0.010390987115002,,,,,,,,,,,,,0.0538124560891184
2022-02-01,VIST,baseline,True,risk_off,1,take_profit,0.2191358135978798,0.3503086380007572,0.3503086380007572,1,1.0,0.5,0.5,0.0025953362717647,0.0532066724740927,,,,,,,,,,,,,0.1316605062239404
2022-02-08,AAPL,baseline,True,neutral,-1,stop_loss,-0.0888291404029392,-0.0679517517496375,-0.0679517517496375,0,0.849170977031906,0.5,0.5,0.0006223962721185,0.0125218026799469,,,,,,,,,,,,,0.1227130992365835
