regime,observations,MAE,RMSE,bias,IC,hit_rate,direction_accuracy,avg_signal_strength,avg_target_confidence,avg_quality_score
neutral,7866,0.0840600605389603,0.12098780838532527,-0.01789820559462388,0.03709955963755047,0.5677599796592931,0.4919908466819222,0.33457753328467177,0.5,0.5
risk_off,2024,0.09668992264244465,0.13419803033202019,-0.031988490379813946,0.040875371209335695,0.5938735177865613,0.49703557312252966,0.3338119371280054,0.5,0.5
risk_on,230,0.08559035136859491,0.1099435409430982,0.029776187145095025,-0.06756495850921666,0.3217391304347826,0.5565217391304348,0.404619088584767,0.5,0.5
