date,candidate,cash_weight,selected_count,turnover,sample_reduction,trades_kept,realized_portfolio_return_1d,realized_portfolio_return_5d,realized_portfolio_return_10d,realized_portfolio_return_20d,realized_portfolio_return_30d
2022-01-03,baseline,0.5000000000000003,4,0.24999999999999986,0.0,4,-0.004027094632757066,-0.003379957254303087,-0.011692747698667065,-0.0314140732542363,-0.041542270150893436
2022-01-10,baseline,0.5000000000000001,4,0.1636887198305243,0.0,4,0.0033158960673118874,-0.008402640640499396,-0.036921325966443444,-0.0427489428713143,-0.07192192546557347
2022-01-18,baseline,0.5000000000000001,2,0.4999999999999999,0.0,2,-0.0030457232383585267,-0.02946645663290142,0.025869176290354498,0.029351763942823562,0.13828056460732088
2022-01-25,baseline,0.8,2,0.34999999999999987,0.0,2,-0.004021078297606407,0.006239611495083521,0.014562778865190563,0.0013600242855440793,0.035056202131447306
2022-02-01,baseline,0.5000000000000002,4,0.34999999999999987,0.0,4,0.004510031587515721,0.0025884603702486892,0.0014440206812397233,0.04897406086741356,0.01905330850532709
2022-02-08,baseline,0.5000000000000001,4,0.21803673217309402,0.0,4,0.009256475325477595,0.0027682972314763445,0.0015245078675097529,0.018958130811407573,0.05454664426396072
2022-02-15,baseline,0.5000000000000001,4,0.37823033527471595,0.0,4,0.00534756712714734,0.0019975293339418096,0.03178807287970964,0.01174862866443283,0.05243727390020083
2022-02-23,baseline,0.5000000000000001,3,0.2537999274705679,0.0,3,0.006773470651202071,0.033821041774907884,0.022791977024403942,0.04719959722124087,0.060514904852878165
2022-03-02,baseline,0.5000000000000002,4,0.3263372197167054,0.0,4,-0.014777286520861452,-0.015206877048098671,-0.04037343123738299,0.013887133390144574,0.01487269474223549
2022-03-09,baseline,0.5000000000000002,4,0.2752544349057422,0.0,4,0.007612348482131891,-0.015131059878023954,0.03535685468438033,0.039037369535237426,0.03044627734168489
2022-03-16,baseline,0.5,4,0.22032988097784828,0.0,4,0.014551145889873104,0.03592456591371491,0.049805716201529085,0.04283746412753116,0.01256908668339133
2022-03-23,baseline,0.5000000000000002,4,0.3689593660219622,0.0,4,0.005624377291491363,0.0017164088174348312,-0.014970238397056926,-0.019131979687092918,-0.05294572630827127
2022-03-30,baseline,0.5000000000000002,4,0.49999999999999983,0.0,4,-0.005870506985385687,-0.009569964017953883,-0.011747469576076867,-0.039589464335969986,-0.09611330903404658
2022-04-06,baseline,0.5000000000000001,4,0.35404736605337056,0.0,4,0.007512651553918264,0.0020378532434670027,-0.003539012493819509,-0.041278482935490184,-0.07453882775693063
2022-04-13,baseline,0.5000000000000002,4,0.24778320328774311,0.0,4,-0.003992025993052451,-0.02161127050687244,-0.06056060676451742,-0.1246945719445672,-0.10646579613489843
2022-04-21,baseline,0.5000000000000001,4,0.36435175588325425,0.0,4,-0.015573319943640302,-0.0156720752632927,-0.03571193879937913,-0.08291102952881167,-0.05034722425117002
2022-04-28,baseline,0.8,3,0.2010795676750164,0.0,4,-0.006192097018964616,-0.011394013529799936,-0.026268352669381784,-0.011036479979771925,-0.014813241145755999
2022-05-05,baseline,0.5000000000000001,4,0.15,0.0,4,-0.001734774161395496,-0.03756629373657651,-0.03360933320177871,0.013958796558043498,-0.06877810294358551
