window_start,date,entry_date,exit_date,return,selected_tickers,selected_count,target_exposure,uncapped_exposure,cash_weight,turnover,rolling_vol_used,raw_target_source,reconstruction_type
2008-01-01,2009-06-17,2009-06-18,2009-06-25,-0.01049329279788868,"SMCI,DXCM,AMD,CCJ",4,0.6,0.6590221481222857,0.4,0.3,0.33382793071042227,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-06-24,2009-06-25,2009-07-02,-0.007352705972191658,"ISRG,ON,CCJ,DXCM",4,0.6,0.661808204615481,0.4,0.3,0.3324225938356609,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-07-01,2009-07-02,2009-07-10,-0.04316615157770542,"ISRG,ON,DXCM,CCJ",4,0.6,0.662307362631095,0.4,0.0,0.33217205849263665,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-07-09,2009-07-10,2009-07-17,0.03252067979218909,"YPF,MSTR,DXCM,CCJ",4,0.6,0.6551195263428207,0.4,0.3,0.3358165817894964,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-07-16,2009-07-17,2009-07-24,0.032846055462156055,"ON,CCJ,DXCM,MSTR",4,0.6,0.6531676052877422,0.4,0.15,0.33682013348332335,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-07-23,2009-07-24,2009-07-31,0.0041602366025208165,"ISRG,ON,MSTR,CCJ",4,0.6,0.6391147774866809,0.4,0.15,0.34422611986089585,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-07-30,2009-07-31,2009-08-07,0.019225182389974303,"DXCM,ISRG,CCJ,MSTR",4,0.6,0.75,0.4,0.15,0.2812230858639728,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-08-06,2009-08-07,2009-08-14,-0.004829424895470318,"DXCM,ISRG,CCJ,MSTR",4,0.6,0.75,0.4,0.0,0.22424581830084,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-08-13,2009-08-14,2009-08-21,0.04085741552528682,"ISRG,CSX,CCJ,DXCM",4,0.6,0.75,0.4,0.15,0.22255030260020503,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-08-20,2009-08-21,2009-08-28,-0.01931706242586411,"SIRI,DXCM,CCJ,ISRG",4,0.6,0.75,0.4,0.15,0.22847738563971565,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
2008-01-01,2009-08-27,2009-08-28,2009-09-04,-0.009660254275435608,"SIRI,DXCM,CCJ,ISRG",4,0.6,0.75,0.4,0.0,0.2194537133691569,fallback_momentum_proxy,causal_ohlcv_reconstruction_not_exact_replay
