candidate,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,average_exposure,average_cash,turnover,hit_rate,TP_rate,SL_rate,TP_minus_SL
growth_v1,2022-01-03,2026-05-15,220,3.4651966718738256,0.40928325027004453,0.30266060037187004,1.327123316943002,2.1748311525347006,1.6894695391845296,-0.24225547769721656,0.7972116997571927,0.20278830024280722,0.15597462153662645,0.5818181818181818,0.2998859749144812,0.14937286202964653,0.15051311288483468
growth_v1_exposure_cap_60,2022-01-03,2026-05-15,220,2.172110083121285,0.30302070679090143,0.22319257946567483,1.3410777675688303,2.2663912654868343,1.5334369239043302,-0.19760884981129268,0.5974404964892428,0.402559503510757,0.15597462153662645,0.5818181818181818,0.2998859749144812,0.14937286202964653,0.15051311288483468
SPY,2022-01-10,2026-05-15,219,0.5473194953672318,0.10575670150363226,0.16142300448341504,0.7258161715970535,1.1022753512028083,0.45186597185676064,-0.23404440274417615,1.0,0.0,0.0,0.5981735159817352,,,
QQQ,2022-01-10,2026-05-15,219,0.7649123820015589,0.13977581964220054,0.2132976742837243,0.7422217850390114,1.15428277361179,0.45236435112590984,-0.30898946677452865,1.0,0.0,0.0,0.5707762557077626,,,
current_production_champion,2022-01-03,2026-05-15,220,0.7898674690816285,0.1427937979914058,0.13257655659081707,1.109128401501867,1.6578765129941382,0.8309791521110654,-0.17183800294946572,0.4509090909090909,0.5490909090909091,0.6994047619047621,0.6,,,
