fold,n_states,train_start,train_end,test_start,test_end,train_observations,test_observations,converged,test_risk_off_rate,test_state_switch_rate,future_volatility_corr_proxy,classification_stability_proxy
19,2,2008-01-02,2019-12-31,2020-01-02,2020-07-01,3021,126,True,0.7301587301587301,0.023809523809523808,0.15273964043094163,0.9739287059892175
20,2,2008-01-02,2020-07-01,2020-07-02,2020-12-31,3147,127,True,0.6299212598425197,0.047244094488188976,-0.28365579212236103,0.9730170222814483
21,2,2008-01-02,2020-12-31,2021-01-04,2021-07-01,3274,125,True,0.296,0.064,-0.11625462695020597,0.9743826662127028
22,2,2008-01-02,2021-07-01,2021-07-02,2021-12-31,3399,127,True,0.16535433070866143,0.06299212598425197,-0.6160398908436949,0.9719851182496655
23,2,2008-01-02,2021-12-31,2022-01-03,2022-07-01,3526,125,True,1.0,0.008,0.22946579603870354,0.9726925142039229
24,2,2008-01-02,2022-07-01,2022-07-05,2022-12-30,3651,126,True,1.0,0.007936507936507936,0.1213817632384651,0.9748755936610978
25,2,2008-01-02,2022-12-30,2023-01-03,2023-06-30,3777,124,True,0.4435483870967742,0.016129032258064516,0.2355814290437987,0.9770566014810727
26,2,2008-01-02,2023-06-30,2023-07-03,2023-12-29,3901,126,True,0.09523809523809523,0.047619047619047616,-0.11513706428653105,0.977492079073254
27,2,2008-01-02,2023-12-29,2024-01-02,2024-07-01,4027,125,True,0.008,0.016,-0.5065568984336263,0.9775937815940705
28,2,2008-01-02,2024-07-01,2024-07-02,2024-12-31,4152,127,True,0.2677165354330709,0.047244094488188976,-0.22796985490310706,0.9781883671531986
29,2,2008-01-02,2024-12-31,2025-01-02,2025-07-01,4279,123,True,0.5772357723577236,0.04878048780487805,-0.008111257923617084,0.9772381311639093
30,2,2008-01-02,2025-07-01,2025-07-02,2025-12-31,4402,127,True,0.047244094488188976,0.047244094488188976,-0.03848462170409033,0.9769003551150499
31,2,2008-01-02,2025-12-31,2026-01-02,2026-07-01,4529,124,True,0.4435483870967742,0.04032258064516129,-0.34868872589653155,0.9756187386209276
1,3,2008-01-02,2010-12-31,2011-01-03,2011-07-01,757,126,True,0.0,0.03968253968253968,-0.12011299702803774,0.9691259721471344
2,3,2008-01-02,2011-07-01,2011-07-05,2011-12-30,883,126,True,0.4444444444444444,0.07142857142857142,-0.44011963220519407,0.9753657666060844
3,3,2008-01-02,2011-12-30,2012-01-03,2012-06-29,1009,125,True,0.0,0.056,0.04738598138850268,0.9743003384994116
4,3,2008-01-02,2012-06-29,2012-07-02,2012-12-31,1134,125,True,0.0,0.032,-0.015378471699651754,0.9745403354675307
5,3,2008-01-02,2012-12-31,2013-01-02,2013-07-01,1259,125,True,0.0,0.04,-0.7199363600902589,0.9773769281635686
6,3,2008-01-02,2013-07-01,2013-07-02,2013-12-31,1384,127,True,0.0,0.015748031496062992,-0.5191314206150295,0.9770413774905045
7,3,2008-01-02,2013-12-31,2014-01-02,2014-07-01,1511,125,True,0.0,0.048,-0.1907855942246824,0.9786894563807785
8,3,2008-01-02,2014-07-01,2014-07-02,2014-12-31,1636,127,True,0.0,0.03937007874015748,-0.5220194292778653,0.9763969074560528
9,3,2008-01-02,2014-12-31,2015-01-02,2015-07-01,1763,125,True,0.0,0.04,0.22949873014702943,0.9767949354631176
10,3,2008-01-02,2015-07-01,2015-07-02,2015-12-31,1888,127,True,0.18110236220472442,0.07086614173228346,-0.10896048238225196,0.9765892974986348
11,3,2008-01-02,2015-12-31,2016-01-04,2016-07-01,2015,126,True,0.1984126984126984,0.03968253968253968,0.6186330449289625,0.9739666075976245
