group_type,group,observations,rank_ic_20d,avg_realized_return_20d
regime,neutral,9206,0.03652772275138043,0.021497298815228025
regime,risk_off,2338,0.06144359875253634,0.03497975703225598
regime,risk_on,264,0.023804888374436294,-0.019027738543176142
vol_bucket,low_volatility,5904,0.009827796961920104,0.004106756380931867
vol_bucket,high_volatility,5904,0.05632184953555876,0.0424148360748617
