date,ticker,selected,horizon,current_price,take_profit_price,stop_loss_price,vertical_barrier_date,first_touch_date,first_touch_type,label,realized_return_at_barrier,max_favorable_excursion,max_adverse_excursion,time_to_first_touch,daily_volatility,volatility_horizon
2023-01-03,AAPL,False,5,125.06999969482422,132.27256761780342,117.867431771845,2023-01-10,2023-01-10,vertical_timeout,0,0.04525462578176587,0.04525462578176587,-0.0003998005267435989,5,0.025754268054111892,0.057588294079745424
2023-01-03,AAPL,False,10,125.06999969482422,135.25596893541484,114.88403045423361,2023-01-18,2023-01-17,take_profit,1,0.08691135182781862,0.08691135182781862,-0.0003998005267435989,9,0.025754268054111892,0.0814421465215062
2023-01-03,AAPL,False,20,125.06999969482422,139.47513554078265,110.6648638488658,2023-02-01,2023-01-23,take_profit,1,0.12824818865167975,0.1667865437903273,-0.0003998005267435989,13,0.025754268054111892,0.11517658815949085
2023-01-03,MSFT,False,5,239.5800018310547,252.95621767765016,226.20378598445922,2023-01-10,2023-01-05,stop_loss,-1,-0.07208449845759357,-0.04374319912948854,-0.07208449845759357,2,0.024968801808248772,0.05583193815996393
2023-01-03,MSFT,False,10,239.5800018310547,258.49682769453995,220.66317596756943,2023-01-18,2023-01-18,vertical_timeout,0,-0.015735888820634703,0.003213975567977201,-0.07208449845759357,10,0.024968801808248772,0.07895828415939693
2023-01-03,MSFT,False,20,239.5800018310547,266.33243352424563,212.82757013786372,2023-02-01,2023-02-01,vertical_timeout,0,0.05497119153639729,0.05497119153639729,-0.07208449845759357,20,0.024968801808248772,0.11166387631992786
2023-01-03,NVDA,False,5,14.3149995803833,15.541298475686084,13.088700685080518,2023-01-10,2023-01-09,take_profit,1,0.09172202008412178,0.11135178924696376,-0.003492786484539212,4,0.03831069187577993,0.08566531129929285
2023-01-03,NVDA,False,10,14.3149995803833,16.04924810964364,12.580751051122963,2023-01-18,2023-01-12,take_profit,1,0.15340553011202585,0.236604972630579,-0.003492786484539212,7,0.03831069187577993,0.1211490450643731
2023-01-03,NVDA,False,20,14.3149995803833,16.767597370988867,11.862401789777737,2023-02-01,2023-01-13,take_profit,1,0.18051000092269565,0.4630109261167201,-0.003492786484539212,8,0.03831069187577993,0.1713306225985857
2023-01-03,AMZN,False,5,85.81999969482422,91.75551640503693,79.88448298461151,2023-01-10,2023-01-10,vertical_timeout,0,0.0471918325117644,0.0471918325117644,-0.03146116240786967,5,0.03093036330183531,0.0691623949116686
