date,drawdown_raw,drawdown_SPY,raw_protection_benefit,raw_drawdown_worse
2022-01-10,0.0,0.0,0.0,False
2022-01-18,-0.013656622504658267,-0.01937663926022004,0.005720016755561774,False
2022-01-25,-0.009233847034097908,-0.06667957271326974,0.05744572567917183,False
2022-02-01,-0.022915771181316713,-0.026981154637077287,0.004065383455760574,False
2022-02-08,-0.011647479939281169,-0.03129902046908595,0.01965154052980478,False
2022-02-15,0.0,-0.04169621115533462,0.04169621115533462,False
2022-02-23,0.0,-0.09357478173353417,0.09357478173353417,False
2022-03-02,-0.03494241657433672,-0.05933276307225621,0.02439034649791949,False
2022-03-09,-0.007068202970762272,-0.08184572899452414,0.07477752602376186,False
2022-03-16,0.0,-0.06420917707760254,0.06420917707760254,False
2022-03-23,0.0,-0.04663706798396616,0.04663706798396616,False
2022-03-30,-0.014785981113783264,-0.014629110901444142,-0.0001568702123391219,True
2022-04-06,-0.010140997172866428,-0.04079401162934004,0.030653014456473615,False
2022-04-13,-0.03204733729772613,-0.04768965595005892,0.015642318652332787,False
2022-04-21,-0.039825046077411,-0.05896760892607178,0.019142562848660782,False
2022-04-28,-0.053551259541343654,-0.08098646949828725,0.027435209956943596,False
2022-05-05,-0.07556238591384878,-0.11106101076765484,0.03549862485380606,False
2022-05-12,0.0,-0.15718247060804114,0.15718247060804114,False
2022-05-19,-0.010514854076399183,-0.16336924387262153,0.15285438979622235,False
2022-05-26,0.0,-0.12932055368119943,0.12932055368119943,False
2022-06-03,-0.007680972325672331,-0.11808554073494426,0.11040456840927193,False
2022-06-10,-0.08909332377400181,-0.16263887002295518,0.07354554624895338,False
2022-06-17,-0.08717133858170878,-0.21406634083815768,0.1268950022564489,False
2022-06-27,-0.13303295158304562,-0.16523815130519315,0.032205199722147526,False
2022-07-05,-0.13572263411436447,-0.17948060526692555,0.04375797115256108,False
2022-07-12,-0.12313502619693284,-0.18190806087283495,0.058773034675902114,False
2022-07-19,-0.10670554538917065,-0.15733285904813943,0.050627313658968776,False
2022-07-26,-0.06962053690670422,-0.1602972944765616,0.09067675756985738,False
2022-08-02,-0.06975082263186694,-0.12341305450328799,0.05366223187142105,False
2022-08-09,-0.05165477014568276,-0.11634551894894352,0.06469074880326076,False
2022-08-16,-0.06260484672579703,-0.07692637495942001,0.014321528233622982,False
2022-08-23,-0.03960185179428277,-0.11419733742970306,0.07459548563542029,False
2022-08-30,-0.04372906925533704,-0.14457265557926702,0.10084358632392998,False
2022-09-07,-0.03379718680563748,-0.145496357898789,0.11169917109315153,False
2022-09-14,-0.06024677221311503,-0.15232755939622267,0.09208078718310764,False
2022-09-21,-0.060503591858726447,-0.18929774498630902,0.12879415312758258,False
2022-09-28,-0.0835184156537998,-0.20403430429809377,0.12051588864429397,False
2022-10-05,-0.08018536138256505,-0.18994223877645955,0.1097568773938945,False
2022-10-12,-0.03213131402323233,-0.23404440274417615,0.20191308872094382,False
2022-10-19,-0.029436570823961894,-0.20839511015986012,0.17895853933589823,False
2022-10-26,-0.026552916816236616,-0.179351719620355,0.1527988028041184,False
2022-11-02,-0.03386096199808919,-0.1947112043714655,0.1608502423733763,False
2022-11-09,0.0,-0.1963008377173684,0.1963008377173684,False
2022-11-16,0.0,-0.1505015919934084,0.1505015919934084,False
2022-11-23,-0.015782822253776474,-0.1355287641820101,0.11974594192823362,False
2022-12-01,-0.019199343099961852,-0.12487380220262023,0.10567445910265838,False
2022-12-08,-0.008587019358357817,-0.1488045757944626,0.14021755643610478,False
2022-12-15,-0.007444102694627253,-0.16300402416913995,0.1555599214745127,False
2022-12-22,0.0,-0.18214432937244884,0.18214432937244884,False
2022-12-30,-0.06730305769772293,-0.1784709573305907,0.11116789963286777,False
2023-01-09,-0.06965470974208943,-0.1668063474148661,0.09715163767277668,False
2023-01-17,-0.11614341963033215,-0.14551786069231676,0.029374441061984613,False
