model_variant,auc,accuracy,sample_size,feature_count
base_meta_features,0.5632533072023518,0.6168958742632613,509,9
kalman_only,0.49554140127388535,0.5854616895874263,509,8
base_plus_kalman,0.48469704393271273,0.5776031434184676,509,17
