model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,train_size,test_size,status
logistic_regression,0.5080168776371308,0.6425619834710744,0.43134535367545074,0.5161825726141079,0.5202454684585585,0.5068762278978389,0.6507177033492823,0.43312101910828027,0.5200764818355641,0.5590723501551527,1185,509,ok
random_forest_small,0.7080168776371308,0.7667140825035562,0.7475728155339806,0.7570224719101124,0.7804055669807259,0.4931237721021611,0.5933333333333334,0.5668789808917197,0.5798045602605864,0.48570961946758123,1185,509,ok
gradient_boosting_small,0.6421940928270042,0.6315323294951284,0.9889042995839112,0.7708108108108108,0.7575326414462671,0.6286836935166994,0.6283367556468172,0.9745222929936306,0.7640449438202247,0.5041319614568023,1185,509,ok
