candidate,drawdowns_gt_10,drawdowns_gt_15,worst_drawdown,average_drawdown_duration,max_underwater_duration
growth_v1,6,4,-0.24225547769721656,7.681818181818182,39.0
growth_v1_exposure_cap_60,3,2,-0.19760884981129268,7.9523809523809526,49.0
SPY,2,1,-0.23404440274417615,8.736842105263158,96.0
QQQ,3,2,-0.30898946677452865,7.7727272727272725,75.0
current_production_champion,1,1,-0.17183800294946572,7.545454545454546,28.0
