date,variant,portfolio_return,selected_count,cash_proxy,turnover,selected_tickers,return,cash,exposure
2022-01-03,raw_target_return_only,-0.0151875740117539,2,6.661338147750939e-16,1.0,"AVGO,TSLA",-0.0151875740117539,6.661338147750939e-16,0.9999999999999993
2022-01-10,raw_target_return_only,0.0085589151004516,2,2.220446049250313e-16,0.6666666666666666,"CCJ,TSLA",0.0085589151004516,2.220446049250313e-16,0.9999999999999998
2022-01-18,raw_target_return_only,-0.0136566225046583,2,2.220446049250313e-16,0.6666666666666666,"TSLA,VIST",-0.0136566225046583,2.220446049250313e-16,0.9999999999999998
2022-01-25,raw_target_return_only,0.0044840119287781,2,0.6000000000000002,0.6666666666666666,"VIST,YPF",0.0044840119287781,0.6000000000000002,0.3999999999999998
2022-02-01,raw_target_return_only,-0.013809438388929,2,2.220446049250313e-16,0.0,"VIST,YPF",-0.013809438388929,2.220446049250313e-16,0.9999999999999998
2022-02-08,raw_target_return_only,0.0115325689533021,2,2.220446049250313e-16,0.0,"VIST,YPF",0.0115325689533021,2.220446049250313e-16,0.9999999999999998
2022-02-15,raw_target_return_only,0.0227982897052355,2,2.220446049250313e-16,0.6666666666666666,"NVDA,VIST",0.0227982897052355,2.220446049250313e-16,0.9999999999999998
2022-02-23,raw_target_return_only,0.0030818797139579,2,2.220446049250313e-16,0.6666666666666666,"VIST,YPF",0.0030818797139579,2.220446049250313e-16,0.9999999999999998
2022-03-02,raw_target_return_only,-0.0349424165743367,2,3.3306690738754696e-16,0.6666666666666666,"CCJ,VIST",-0.0349424165743367,3.3306690738754696e-16,0.9999999999999997
2022-03-09,raw_target_return_only,0.0288834719112092,2,4.440892098500626e-16,0.0,"CCJ,VIST",0.0288834719112092,4.440892098500626e-16,0.9999999999999996
2022-03-16,raw_target_return_only,0.0788597899796826,2,2.220446049250313e-16,0.0,"CCJ,VIST",0.0788597899796826,2.220446049250313e-16,0.9999999999999998
2022-03-23,raw_target_return_only,0.0067228432344089,2,3.3306690738754696e-16,0.6666666666666666,"CCJ,TSLA",0.0067228432344089,3.3306690738754696e-16,0.9999999999999997
2022-03-30,raw_target_return_only,-0.0147859811137831,2,4.440892098500626e-16,0.6666666666666666,"NVDA,TSLA",-0.0147859811137831,4.440892098500626e-16,0.9999999999999996
2022-04-06,raw_target_return_only,0.0047146953371289,2,2.220446049250313e-16,0.6666666666666666,"META,TSLA",0.0047146953371289,2.220446049250313e-16,0.9999999999999998
2022-04-13,raw_target_return_only,-0.0221307681824312,2,4.440892098500626e-16,0.6666666666666666,"TSLA,VIST",-0.0221307681824312,4.440892098500626e-16,0.9999999999999996
2022-04-21,raw_target_return_only,-0.0080352160589874,2,2.220446049250313e-16,0.6666666666666666,"NFLX,TSLA",-0.0080352160589874,2.220446049250313e-16,0.9999999999999998
2022-04-28,raw_target_return_only,-0.0142955337544029,2,0.6000000000000001,0.6666666666666666,"META,NFLX",-0.0142955337544029,0.6000000000000001,0.3999999999999999
