date,window,rolling_return,rolling_sharpe,rolling_max_drawdown,rolling_volatility,rolling_exposure
2022-01-25,3m,-0.12186935863198523,-2.4087397306711353,-0.13571363816716076,0.616020730754092,1.0
2022-02-01,3m,-0.1411348095730608,-2.5684808791155116,-0.13571363816716076,0.5513055329839449,0.97
2022-02-08,3m,-0.12219453629195187,-1.8989879703925467,-0.13571363816716076,0.5204010165789573,0.9249999999999999
2022-02-15,3m,-0.12423648179272007,-1.7873345433576207,-0.13571363816716076,0.48362431291872293,0.8714285714285713
2022-02-23,3m,-0.0948094730860366,-1.1478509238772385,-0.13571363816716076,0.4679950475611951,0.8144668575190488
2022-03-02,3m,-0.09250668684208074,-1.046496418157653,-0.13571363816716076,0.4421915819544275,0.7685086894238986
2022-03-09,3m,-0.12506363717279356,-1.4252224694804168,-0.13571363816716076,0.4235626108585223,0.734460064383658
2022-03-16,3m,-0.05092901763956159,-0.3259004245363582,-0.13571363816716076,0.45065184744883435,0.7062459945503503
2022-03-23,3m,-0.04561728556554512,-0.2554295912422279,-0.13571363816716076,0.43179297760199964,0.6807254950044878
2022-03-30,3m,-0.07666316412593066,-0.55464114307961,-0.13571363816716076,0.41896402626593154,0.6591312261579887
2022-04-06,3m,-0.004729665174254438,0.1363475081676284,-0.08452567493769991,0.38080709615522035,0.6129773800041425
2022-04-13,3m,0.039094915521815876,0.6011932720951684,-0.06546356363177575,0.36390336801432566,0.5668235338502964
2022-04-21,3m,0.09401137067834475,1.2646188616874052,-0.09924014243658419,0.32655937850940137,0.5206696876964503
2022-04-28,3m,-0.029175104127258655,-0.3940550800287931,-0.10674085398335742,0.23367976091102582,0.47451584154260407
2022-05-05,3m,-0.03407934573795102,-0.4750609393745456,-0.13075162184628664,0.2355776598673709,0.43990045692721946
2022-05-12,3m,-0.04249639018222817,-0.6350738699139262,-0.13075162184628664,0.23250964525852474,0.4168235338502964
2022-05-19,3m,-0.029810946113949965,-0.4042904688146797,-0.13075162184628653,0.23401167729639463,0.40528507231183486
2022-05-26,3m,-0.054241572524621584,-0.8914367865900451,-0.13075162184628664,0.22332032551114375,0.40407469845395866
2022-06-03,3m,-0.08443121116531527,-1.435838991396638,-0.13075162184628664,0.22810686186329257,0.4040098257875973
2022-06-10,3m,-0.1008837382765212,-1.6593146343390603,-0.17572950568651358,0.23929333667008287,0.4018542535551749
2022-06-17,3m,-0.1342798579997746,-3.0570532711302754,-0.17572950568651358,0.1827832967657663,0.4115384615384615
2022-06-27,3m,-0.15350422320114854,-3.6059186135416113,-0.1480145909629601,0.17981742338354376,0.4184581450240624
2022-07-05,3m,-0.13340539469514867,-3.1805413611811892,-0.13064097538940878,0.17487799136840504,0.42656105040682024
2022-07-12,3m,-0.07533882557844129,-1.4340383699960024,-0.11798998708199215,0.2040664318307041,0.43487614293266985
2022-07-19,3m,-0.05409800927850872,-0.9850184234433599,-0.08491648757176606,0.20482885187595076,0.43831736084372647
2022-07-26,3m,0.008844894046722729,0.2763679686998597,-0.08109185979416644,0.2014402776836046,0.44369702911010717
2022-08-02,3m,0.007760236252285502,0.2548582433464531,-0.08109185979416644,0.201650190678539,0.44773175269687177
2022-08-09,3m,0.05846968454557411,1.2620428533618733,-0.08109185979416655,0.19645163938492577,0.45336155266068234
2022-08-16,3m,0.054790792307687575,1.1930588208568318,-0.08109185979416644,0.19596398607833765,0.45860878198419514
2022-08-23,3m,0.05846599050044832,1.2614747665563066,-0.08109185979416644,0.19654289683662815,0.4639548264359953
2022-08-30,3m,0.07783628674270093,1.6035817869707931,-0.05320074856333101,0.20076494905919218,0.469120712608726
2022-09-07,3m,0.14952997627960474,3.0092533521127094,-0.02613238109780658,0.19309014991442242,0.47644495812245835
2022-09-14,3m,0.1532355114173467,3.138266469460944,-0.050148720371825384,0.1890557168722591,0.49530766517465213
2022-09-21,3m,0.08551144628392704,1.8994502825718569,-0.06619561168783272,0.18274992525107897,0.5004625962528484
2022-09-28,3m,0.18105070278455027,3.2774811582420376,-0.06619561168783272,0.21189274982935155,0.5108618486478278
2022-10-05,3m,0.14880141010018355,2.5554068734229047,-0.06619561168783272,0.22928819736725325,0.5158359268698144
2022-10-12,3m,0.16954829852445963,2.7215647393804008,-0.06619561168783261,0.24314042730851573,0.518174703177425
2022-10-19,3m,0.2322369988538895,3.368527357437078,-0.06619561168783261,0.2608401447554321,0.5207671720345579
2022-10-26,3m,0.18747862642801283,2.7572829038107636,-0.06619561168783261,0.2643092458911669,0.5181328352461523
2022-11-02,3m,0.15948344878701493,2.299606551514053,-0.06619561168783283,0.2761512075055096,0.516820293049726
2022-11-09,3m,0.19484519327113525,2.64907173821809,-0.06619561168783272,0.2869507160817293,0.5111904930859154
2022-11-16,3m,0.1900380924334235,2.5887630592947852,-0.06619561168783272,0.28733782328324997,0.5059432637624025
2022-11-23,3m,0.18519499244965365,2.5302079535086994,-0.06619561168783272,0.2874385834720927,0.5005972193106024
2022-12-01,3m,0.13498210096529006,1.8915748643331711,-0.06619561168783272,0.29224686521576193,0.4954313331378717
2022-12-08,3m,0.07712113780990815,1.1672748156139632,-0.04178575999165224,0.29213877228255347,0.48810708762413935
2022-12-15,3m,0.11430325510152994,1.732580456357688,-0.05157326247651661,0.27277909175816634,0.46924438057194556
2022-12-22,3m,0.1481276598223149,2.2155500334120553,-0.05157326247651661,0.26737802958693535,0.45255098795528786
