ticker,company_name,sector,industry,country,market_cap,metadata_source,metadata_date
ARM,Arm Holdings plc,Technology,Semiconductors,United Kingdom,319344869376,yfinance_get_info,2026-07-13
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,269310246912,yfinance_get_info,2026-07-13
SE,Sea Limited,Consumer Cyclical,Internet Retail,Singapore,67777540096,yfinance_get_info,2026-07-13
