date,gross_return,execution_cost,gross_equity_expected,gross_equity_reported,gross_equity_diff,net_equity_expected,estimated_net_cumulative_return_expected,estimated_net_cumulative_return_reported,estimated_net_cumulative_return_diff,holdings_plus_cash_value,holdings_cash_vs_gross_diff,cash_value,weight_sum,weights_sum_to_one,gross_identity_pass,net_identity_pass,holdings_cash_identity_pass
2026-07-10,0.0,186.74356279351593,100000.0,100000.0,0.0,99813.25643720648,-0.0018674356279352322,-0.0018674356279352,3.230922474006803e-17,99999.99999999999,-1.4551915228366852e-11,56495.91405844284,1.0,True,True,True,True
2026-07-13,-0.0115418642847409,0.0,98845.81357152591,98845.81357152593,1.4551915228366852e-11,98661.2253775902,-0.013387746224097885,-0.0133877462240978,8.500145032286355e-17,98845.81357152591,0.0,55843.84588573791,1.0,True,True,True,True
