window_start,stress_period,model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate
2008-01-01,2008_crisis,2008-01-01_2008_crisis,2008-12-31,2009-03-30,13,0.04039620428635038,0.1722798038708644,0.22552517410941839,0.8185981041825598,1.7186513004130934,3.5558381838783473,-0.048449843598608044,0.5384615384615384
2008-01-01,2011_euro_crisis,2008-01-01_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.11291335857283824,-0.21372457419794433,0.1543174770468967,-1.477648507834101,-3.0192877756977503,-1.3491955834193685,-0.15840888958166166,0.3076923076923077
2008-01-01,2018_q4_selloff,2008-01-01_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.0991019369001589,-0.3422209676256628,0.20009437083980725,-1.9845150674028464,-3.104371373832757,-2.696952337175434,-0.12689173735420067,0.38461538461538464
2008-01-01,covid_crash_2020,2008-01-01_covid_crash_2020,2020-02-18,2020-04-29,11,-0.13250536036113736,-0.49047187117660096,0.37105470057295903,-1.6140646282792217,-4.358359670698272,-2.2303648521606263,-0.21990656403209774,0.6363636363636364
2008-01-01,2022_bear_market,2008-01-01_2022_bear_market,2022-01-04,2022-12-23,50,-0.15834662909666308,-0.16336659577766655,0.24177456806266864,-0.6205268704260231,-0.8067729837069635,-0.6081206834553627,-0.2686417354683809,0.52
2008-01-01,2024_ai_bull_market,2008-01-01_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.4903178934363974,0.4940081227270747,0.28104069462670306,1.594775476083831,3.947954380403149,3.019497529631927,-0.16360606951292778,0.5686274509803921
2010-01-01,2008_crisis,2010-01-01_2008_crisis,,,0,,,,,,,,
2010-01-01,2011_euro_crisis,2010-01-01_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.17200008458049532,-0.31530429109850533,0.16390483222737504,-2.2200300445315246,-3.405683215463686,-1.6895393607245621,-0.18662145341395686,0.34615384615384615
2010-01-01,2018_q4_selloff,2010-01-01_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.1437517142974032,-0.46361943685982276,0.2174492824856502,-2.7381876920883403,-4.666928447280989,-3.4075169088437587,-0.13605785364015655,0.38461538461538464
2010-01-01,covid_crash_2020,2010-01-01_covid_crash_2020,2020-02-18,2020-04-29,11,-0.13250536036113736,-0.49047187117660096,0.37105470057295903,-1.6140646282792217,-4.358359670698272,-2.2303648521606263,-0.21990656403209774,0.6363636363636364
2010-01-01,2022_bear_market,2010-01-01_2022_bear_market,2022-01-04,2022-12-23,50,-0.16081267363452123,-0.165902870351877,0.2415895427192375,-0.6338096804706131,-0.8228116446273971,-0.6126746534462569,-0.270784615323457,0.52
2010-01-01,2024_ai_bull_market,2010-01-01_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.5109585388695115,0.5148290214606193,0.28544070988298303,1.6243658111301942,4.040606695532644,3.6873192037316267,-0.13962149545924962,0.5490196078431373
2015-01-01,2008_crisis,2015-01-01_2008_crisis,,,0,,,,,,,,
2015-01-01,2011_euro_crisis,2015-01-01_2011_euro_crisis,,,0,,,,,,,,
2015-01-01,2018_q4_selloff,2015-01-01_2018_q4_selloff,2018-10-05,2018-12-26,12,-0.0986252228724892,-0.3633232052417259,0.20572440406496767,-2.0805569139613302,-2.5918444743515403,-3.1700334180412306,-0.1146117902650452,0.3333333333333333
2015-01-01,covid_crash_2020,2015-01-01_covid_crash_2020,2020-02-21,2020-04-27,10,-0.07273607005157445,-0.32567097926916067,0.2758985859838544,-1.2789640881284552,-1.6346490991141174,-2.2360604561293926,-0.145644979489014,0.7
2015-01-01,2022_bear_market,2015-01-01_2022_bear_market,2022-01-07,2022-12-29,50,-0.24142634883392078,-0.24685305701239968,0.23572584736463004,-1.0997973150962526,-1.407194587627197,-0.8030872787007263,-0.3073801111776675,0.46
2015-01-01,2024_ai_bull_market,2015-01-01_2024_ai_bull_market,2024-01-05,2024-12-26,50,0.4432797717616792,0.4571053500308777,0.315118451828448,1.371111149681494,3.0929175579588217,1.8273654189586361,-0.2501444677066118,0.58
2020-01-01,2008_crisis,2020-01-01_2008_crisis,,,0,,,,,,,,
2020-01-01,2011_euro_crisis,2020-01-01_2011_euro_crisis,,,0,,,,,,,,
2020-01-01,2018_q4_selloff,2020-01-01_2018_q4_selloff,,,0,,,,,,,,
2020-01-01,covid_crash_2020,2020-01-01_covid_crash_2020,,,0,,,,,,,,
2020-01-01,2022_bear_market,2020-01-01_2022_bear_market,2022-01-05,2022-12-27,50,-0.3242738662903404,-0.3311209043725206,0.2673430688961885,-1.3877541161862965,-1.9809690206270298,-0.8895266307497959,-0.3722439474278737,0.46
2020-01-01,2024_ai_bull_market,2020-01-01_2024_ai_bull_market,2024-01-03,2024-12-31,51,0.5645372170410865,0.5688837683608541,0.30887434594893326,1.640035481619397,3.8701326662948925,4.215969522627945,-0.13493545560695874,0.5686274509803921
2022-01-03,2008_crisis,2022-01-03_2008_crisis,,,0,,,,,,,,
2022-01-03,2011_euro_crisis,2022-01-03_2011_euro_crisis,,,0,,,,,,,,
2022-01-03,2018_q4_selloff,2022-01-03_2018_q4_selloff,,,0,,,,,,,,
2022-01-03,covid_crash_2020,2022-01-03_covid_crash_2020,,,0,,,,,,,,
2022-01-03,2022_bear_market,2022-01-03_2022_bear_market,,,0,,,,,,,,
2022-01-03,2024_ai_bull_market,2022-01-03_2024_ai_bull_market,2024-01-03,2024-12-31,51,1.1550786386323448,1.1653596629400935,0.376750614826679,2.28366455104679,6.278605873035011,7.1790078859913296,-0.1623287899173511,0.5490196078431373
