stage,capture_type,mean,std,min,max,hit_rate_20d,monotonicity_corr_20d,top_bottom_spread_20d,variance_contribution_to_final,pearson_ic_5d,rank_ic_5d,pearson_ic_10d,rank_ic_10d,pearson_ic_20d,rank_ic_20d
raw_target_return_proxy,proxy,0.07984634600942046,0.028608734593097342,-0.09859374738112447,0.18247436333306455,0.5682806324110672,0.9757575757575757,0.04183458124367828,569.7401737930317,0.05617294677385566,0.02925145678925396,0.08104829106097391,0.05358837771403628,0.08993230379659549,0.06624548949719505
raw_daily_return_proxy,proxy,0.0038317459278249073,0.0013208056315016576,-0.005176517027534966,0.00841567239524954,0.5682806324110672,0.9757575757575757,0.04183458124367828,1.214387728949815,0.05569907197485254,0.02925145678925396,0.08074102857819987,0.05358837771403628,0.0900221253516971,0.06624548949719505
before_penalties_proxy,proxy,0.0038317459278249073,0.0013208056315016576,-0.005176517027534966,0.00841567239524954,0.5682806324110672,0.9757575757575757,0.04183458124367828,1.214387728949815,0.05569907197485254,0.02925145678925396,0.08074102857819987,0.05358837771403628,0.0900221253516971,0.06624548949719505
risk_free_adjusted_proxy,proxy,0.003684745927824907,0.0013208056315016576,-0.0053235170275349655,0.008268672395249541,0.5687747035573123,0.9757575757575757,0.04183458124367828,1.2143877289498153,0.05569907197485256,0.02925145678925396,0.08074102857819984,0.05358837771403628,0.09002212535169708,0.06624548949719505
constant_penalty_proxy,proxy,0.0026847459278249077,0.0013208056315016578,-0.0063235170275349655,0.007268672395249541,0.5701581027667985,0.9757575757575757,0.04183458124367828,1.2143877289498155,0.05569907197485254,0.02925145678925396,0.08074102857819987,0.05358837771403628,0.0900221253516971,0.06624548949719505
signal_strength_adjusted_proxy,proxy,0.0006289779683575376,0.001068386605195899,-0.0005875513780892925,0.006856503318505549,0.5462450592885375,0.09090909090909088,0.013267597768861926,0.7945777783595619,0.015025698628907909,0.01971666090541904,0.02168059258552751,0.035428629508068105,0.008310521530015744,0.029141955673681007
regime_adjusted_proxy,proxy,0.0005146349781884592,0.0008872646240192858,-0.0007050616537071509,0.007016464278670587,0.5462450592885375,0.2121212121212121,0.010852074946531278,0.5480067130535079,0.014886945875561048,0.015860417978933658,0.017764787106734695,0.03066797373161837,0.008551585388022026,0.026942768334928344
confidence_adjusted_proxy,proxy,0.00038597623364134445,0.0006654484680144643,-0.0005287962402803632,0.00526234820900294,0.5462450592885375,0.2121212121212121,0.010852074946531278,0.3082537760925982,0.014886945875561055,0.015860417978933658,0.01776478710673471,0.03066797373161837,0.00855158538802202,0.026942768334928344
quality_adjusted_proxy,proxy,0.000382116471304931,0.0006587939833343196,-0.0005235082778775596,0.005209724726912911,0.5462450592885375,0.2121212121212121,0.010852074946531278,0.3021195259483555,0.014886945875561056,0.015860417978933658,0.0177647871067347,0.03066797373161837,0.00855158538802205,0.026942768334928344
timing_adjusted_proxy,proxy,0.00029614026526132156,0.0005105653370840978,-0.0004057189153551087,0.004037536663357506,0.5462450592885375,0.2121212121212121,0.010852074946531278,0.181460540272731,0.014886945875561053,0.015860417978933658,0.017764787106734712,0.03066797373161837,0.008551585388022042,0.026942768334928344
scaling_final_proxy,proxy,0.00013945854026419606,0.0011985612340477164,-0.0037904934037087,0.0180013552899535,0.4944664031620553,0.4787878787878787,0.01440224062993917,1.0,0.01682443246383052,0.013619998105921368,0.03172084015059339,0.03460225791211048,0.03824342422243456,0.04497696135680983
final_expected_daily_return,exact,0.00013945854026419606,0.0011985612340477164,-0.0037904934037087,0.0180013552899535,0.4944664031620553,0.4787878787878787,0.01440224062993917,1.0,0.01682443246383052,0.013619998105921368,0.03172084015059339,0.03460225791211048,0.03824342422243456,0.04497696135680983
