window,baseline_sharpe,full_quant_sharpe,sharpe_difference,baseline_return,full_quant_return,return_difference,baseline_volatility,full_quant_volatility,baseline_max_drawdown,full_quant_max_drawdown,baseline_cash,full_quant_cash,baseline_turnover,full_quant_turnover,baseline_average_expected_return,full_quant_average_expected_return,baseline_average_signal_strength,full_quant_average_signal_strength,baseline_average_target_confidence,full_quant_average_target_confidence,baseline_average_ema_score,full_quant_average_trend_persistence_score,baseline_TP_rate,full_quant_TP_rate,baseline_SL_rate,full_quant_SL_rate,baseline_TP_minus_SL,full_quant_TP_minus_SL,average_overlap,baseline_only_tickers,full_quant_only_tickers,baseline_only_avg_20d_return,full_quant_only_avg_20d_return,diagnosed_causes
2022-06-01_to_2022-12-31,1.7435044963422384,1.097925451113393,-0.6455790452288457,0.0262723623727942,0.0174632023492187,-0.0088091600235755,0.1392876325662849,0.1521808009014988,-0.0324792903621761,-0.014037142433468,0.5642857142857143,0.692857142857143,0.7386054421768709,0.6495748299319729,0.0014244787051629997,0.0018777212908035713,0.6226220028632701,0.6666234852867541,0.5,0.5,,,0.24528301886792453,0.17829457364341086,0.1918238993710692,0.13178294573643412,0.053459119496855334,0.046511627906976744,0.38316326530612244,"['AAPL', 'ADBE', 'AMAT', 'AMD', 'AMZN', 'AVGO', 'CCJ', 'COST', 'CSCO', 'GOOGL', 'META', 'MSFT', 'NVDA', 'PEP', 'QQQ', 'SPY', 'TSLA', 'TXN', 'VIST', 'YPF']","['AAPL', 'ADBE', 'AMD', 'AMZN', 'CCJ', 'COST', 'CSCO', 'META', 'MSFT', 'NFLX', 'NVDA', 'PEP', 'QCOM', 'SPY', 'TSLA', 'VIST', 'YPF']",0.01282171822652622,0.018741069206489915,"too much cash, selected different tickers with worse TP/SL, trend persistence too permissive"
2023-01-01_to_2023-12-31,-2.75897197019655,-2.3427233160670022,0.4162486541295478,-0.0469910148585644,-0.0370206440820294,0.009970370776535,0.1428295894382414,0.1315944923495762,-0.067197774443814,-0.0548804315394216,0.51,0.56,0.7070634920634921,0.6712698412698413,0.0019316544020567465,0.0026136682214139163,0.758630530866,0.7646898718603449,0.5,0.5,,,0.21008403361344538,0.21621621621621623,0.09523809523809523,0.10510510510510511,0.11484593837535015,0.11111111111111112,0.7086507936507938,"['AAPL', 'AMAT', 'AMD', 'AVGO', 'CCJ', 'CSCO', 'GOOGL', 'META', 'MSFT', 'NFLX', 'NVDA', 'PEP', 'QQQ', 'SPY', 'TSLA', 'TXN', 'VIST', 'YPF']","['AMD', 'AMZN', 'CCJ', 'COST', 'META', 'NVDA', 'SPY', 'VIST', 'YPF']",0.08926372897825874,0.09222523406888326,"higher cash reduced drawdown, lower turnover"
2024-01-01_to_2024-12-31,-0.146844424506408,0.3847239842854315,0.5315684087918396,-0.0033626810442298,0.0051892857027646,0.0085519667469945,0.1335586331942334,0.1365927882976426,-0.0301708914972308,-0.029639658040114,0.5400000000000001,0.55,0.7375396825396827,0.7298412698412698,0.0022268877146555096,0.0027532760383170204,0.7565587497965565,0.7382290242887378,0.5,0.5,,,0.2905982905982906,0.301994301994302,0.1794871794871795,0.18233618233618235,0.11111111111111113,0.11965811965811965,0.6156349206349206,"['AAPL', 'ADBE', 'AMAT', 'AMD', 'AMZN', 'AVGO', 'COST', 'GOOGL', 'INTC', 'META', 'MSFT', 'NFLX', 'NVDA', 'PEP', 'QQQ', 'SPY', 'TXN', 'VIST']","['AAPL', 'ADBE', 'AMAT', 'AMD', 'AMZN', 'AVGO', 'CCJ', 'COST', 'GOOGL', 'INTC', 'META', 'MSFT', 'NFLX', 'NVDA', 'QCOM', 'QQQ', 'SPY', 'TSLA', 'VIST', 'YPF']",0.020865281218589965,0.01610278404080551,"higher cash reduced drawdown, lower turnover, better TP/SL spread"
2025-01-01_to_latest,3.283192080417438,3.1416334032296764,-0.1415586771877617,0.0722786245182405,0.0794489122713941,0.0071702877531536,0.1835949245064602,0.2113044227793053,-0.0235656561936256,-0.0225812749563817,0.59,0.59,0.7138095238095237,0.6678571428571428,0.0014808489472373186,0.0018108212723487436,0.6608403179693411,0.7031618163195993,0.5,0.5,,,0.19373219373219372,0.22522522522522523,0.2022792022792023,0.1981981981981982,-0.008547008547008572,0.02702702702702703,0.5576190476190476,"['AAPL', 'ADBE', 'AMZN', 'AVGO', 'CCJ', 'COST', 'CSCO', 'GOOGL', 'META', 'MSFT', 'NFLX', 'PEP', 'QCOM', 'QQQ', 'SPY', 'TSLA', 'TXN', 'VIST', 'YPF']","['AAPL', 'ADBE', 'AMD', 'AMZN', 'AVGO', 'CCJ', 'COST', 'GOOGL', 'INTC', 'META', 'MSFT', 'NFLX', 'NVDA', 'QCOM', 'SPY', 'TSLA', 'YPF']",-0.012825118545711328,-0.004291875218650019,"lower stop-loss rate, lower turnover, better TP/SL spread"
