window_start,year,annual_return
2008-01-01,2008,-0.03666066911902777
2008-01-01,2009,0.2755445332299056
2008-01-01,2010,0.2752694922903489
2008-01-01,2011,-0.0421846637241764
2008-01-01,2012,0.03875845968380376
2008-01-01,2013,0.28524635809683185
2008-01-01,2014,0.06695141032252816
2008-01-01,2015,0.07447323450554988
2008-01-01,2016,0.33825167805057355
2008-01-01,2017,0.2293611458644884
2008-01-01,2018,0.15865224387973131
2008-01-01,2019,0.10245310605765079
2008-01-01,2020,0.21304641819704329
2008-01-01,2021,0.11838063229265416
2008-01-01,2022,-0.15834662909666308
2008-01-01,2023,0.3731176055778809
2008-01-01,2024,0.4903178934363974
2008-01-01,2025,0.015729856891075977
2008-01-01,2026,0.45577463505243054
2010-01-01,2011,-0.06626162419139159
2010-01-01,2012,0.045427591828884895
2010-01-01,2013,0.2775895672650648
2010-01-01,2014,0.06533428483321235
2010-01-01,2015,0.07034679340985206
2010-01-01,2016,0.32273819875691645
2010-01-01,2017,0.2703038635687127
2010-01-01,2018,0.07968688108964361
2010-01-01,2019,0.13045993703953274
2010-01-01,2020,0.19032272653150795
2010-01-01,2021,0.06925564622298519
2010-01-01,2022,-0.16081267363452123
2010-01-01,2023,0.37430564320977977
2010-01-01,2024,0.5109585388695115
2010-01-01,2025,0.09562527913129504
2010-01-01,2026,0.5088830007622585
2015-01-01,2016,0.18257064860938388
2015-01-01,2017,0.21115845154620505
2015-01-01,2018,0.12482445592673685
2015-01-01,2019,0.2823407139510874
2015-01-01,2020,0.7151189641036573
2015-01-01,2021,0.0914875248039313
2015-01-01,2022,-0.24142634883392078
2015-01-01,2023,0.31579543451129233
2015-01-01,2024,0.4432797717616792
2015-01-01,2025,0.0548616233090744
2015-01-01,2026,0.43123498840571783
2020-01-01,2020,0.15269420635233022
2020-01-01,2021,0.08074832009493171
2020-01-01,2022,-0.3242738662903404
2020-01-01,2023,0.25393245524255037
2020-01-01,2024,0.5645372170410865
2020-01-01,2025,0.34582435934515776
2020-01-01,2026,0.4824329353193726
2022-01-03,2023,0.32380062675156873
2022-01-03,2024,1.1550786386323448
2022-01-03,2025,0.3271863115742719
2022-01-03,2026,0.39114460683291163
