model,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,hit_rate,window_start,overlay,stress_period
2008-01-01_base_growth_v2_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.11291335857283846,-0.21372457419794477,0.15431747704689638,-1.4776485078340988,-3.019287775697742,-1.3491955834193723,-0.15840888958166155,0.3076923076923077,2008-01-01,base_growth_v2,2011_euro_crisis
2008-01-01_base_growth_v2_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.09910193690015912,-0.34222096762566345,0.20009437083980694,-1.9845150674028469,-3.104371373832753,-2.6969523371754343,-0.1268917373542009,0.38461538461538464,2008-01-01,base_growth_v2,2018_q4_selloff
2008-01-01_base_growth_v2_covid_crash_2020,2020-02-18,2020-04-29,11,-0.1325053603611378,-0.4904718711766023,0.37105470057295864,-1.6140646282792255,-4.358359670698282,-2.230364852160632,-0.21990656403209774,0.6363636363636364,2008-01-01,base_growth_v2,covid_crash_2020
2008-01-01_base_growth_v2_2022_bear_market,2022-01-04,2022-12-23,50,-0.15834662909666342,-0.16336659577766688,0.24177456806266834,-0.620526870426025,-0.8067729837069647,-0.6081206834553635,-0.2686417354683811,0.52,2008-01-01,base_growth_v2,2022_bear_market
2008-01-01_base_growth_v2_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.4903178934363981,0.4940081227270754,0.2810406946267027,1.594775476083831,3.947954380403146,3.019497529631933,-0.16360606951292767,0.5686274509803921,2008-01-01,base_growth_v2,2024_ai_bull_market
2008-01-01_spy_trend_filter_2011_euro_crisis,2011-07-01,2011-12-29,26,-0.09129032730103892,-0.1747894716229873,0.10017332251677648,-1.8640989512394526,-3.071343732633767,-1.5423048219503073,-0.11333004289123527,0.3076923076923077,2008-01-01,spy_trend_filter,2011_euro_crisis
2008-01-01_spy_trend_filter_2018_q4_selloff,2018-10-02,2018-12-28,13,-0.06255829189238704,-0.22840090946443692,0.16360771962104959,-1.4985722834928323,-2.0398732041628906,-2.524642233917972,-0.09046862418600332,0.38461538461538464,2008-01-01,spy_trend_filter,2018_q4_selloff
2008-01-01_spy_trend_filter_covid_crash_2020,2020-02-18,2020-04-29,11,-0.11243287387459644,-0.43207354991163816,0.2448093798526021,-2.1733443876542355,-6.836020023829008,-3.057967573487193,-0.14129435303949855,0.6363636363636364,2008-01-01,spy_trend_filter,covid_crash_2020
2008-01-01_spy_trend_filter_2022_bear_market,2022-01-04,2022-12-23,50,-0.11514288372975345,-0.11889125681332358,0.15022077243797197,-0.7725759149130026,-0.9031178858324059,-0.685990124740812,-0.1733133649092169,0.52,2008-01-01,spy_trend_filter,2022_bear_market
2008-01-01_spy_trend_filter_2024_ai_bull_market,2024-01-02,2024-12-30,51,0.4903178934363981,0.4940081227270754,0.2810406946267027,1.594775476083831,3.947954380403146,3.019497529631933,-0.16360606951292767,0.5686274509803921,2008-01-01,spy_trend_filter,2024_ai_bull_market
