ticker,canonical_cache_dir,cache_path,exists,source,file_format,latest_date,expected_date,row_count,adjusted_close_available,close_available,volume_available,fresh_for_expected_date,trading_session_gap,is_fresh
ARM,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache\ARM.csv,True,canonical_yahoo_cache,csv_ohlcv_yahoo_schema,2026-08-13,2026-08-13,731,True,True,True,True,0.0,True
OKLO,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache\OKLO.csv,True,canonical_yahoo_cache,csv_ohlcv_yahoo_schema,2026-08-13,2026-08-13,1281,True,True,True,True,0.0,True
TEAM,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache\TEAM.csv,True,canonical_yahoo_cache,csv_ohlcv_yahoo_schema,2026-08-13,2026-08-13,2684,True,True,True,True,0.0,True
VIST,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache\VIST.csv,True,canonical_yahoo_cache,csv_ohlcv_yahoo_schema,2026-08-13,2026-08-13,1772,True,True,True,True,0.0,True
SPY,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache\SPY.csv,True,canonical_yahoo_cache,csv_ohlcv_yahoo_schema,2026-08-13,2026-08-13,6441,True,True,True,True,0.0,True
QQQ,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache,C:\Users\Alejandra\Desktop\Quant\04_The Machine Project\yahoo_ohlcv_price_cache\QQQ.csv,True,canonical_yahoo_cache,csv_ohlcv_yahoo_schema,2026-08-13,2026-08-13,6441,True,True,True,True,0.0,True
