model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score,positive_prediction_rate,test_size,status
logistic_regression,0.5599214145383105,0.6618705035971223,0.5859872611464968,0.6216216216216216,0.553584844030704,0.6491194593989147,0.24904489547078507,0.5461689587426326,509,ok
gradient_boosting_small,0.6090373280943026,0.6215644820295984,0.9363057324840764,0.747141041931385,0.5130654907724972,0.6331477921272306,0.23730446594895221,0.9292730844793713,509,ok
average_probability_ensemble,0.5776031434184676,0.6259541984732825,0.7834394904458599,0.695898161244696,0.5028254123795524,0.6236050613418033,0.24301179835453424,0.7721021611001965,509,ok
random_forest_small,0.5520628683693517,0.6319018404907976,0.6560509554140127,0.64375,0.4952800914584354,0.6194156801596881,0.2534106026697529,0.6404715127701375,509,ok
