ticker,observations,average_holding_days,average_return,hit_rate,total_contribution
BABA,55,7.163636363636364,-0.01078237518232528,0.43636363636363634,-0.1329053791725054
QCOM,51,7.215686274509804,-0.01570310961854376,0.29411764705882354,-0.12012878858185858
AAPL,72,7.083333333333333,-0.009095049933736945,0.3472222222222222,-0.1015172044394427
SIRI,58,7.344827586206897,-0.011114204485383245,0.3793103448275862,-0.1008976919679771
CCJ,227,7.259911894273127,-0.0023122032188430002,0.5198237885462555,-0.09570549402296971
COIN,17,7.352941176470588,-0.027643010482328725,0.5294117647058824,-0.0806312016248993
ADSK,29,7.241379310344827,-0.016519254911188195,0.3103448275862069,-0.07185875886366848
BIIB,94,7.148936170212766,-0.005304951801051436,0.5106382978723404,-0.06445621251833956
CHTR,33,7.242424242424242,-0.012819920626088872,0.3333333333333333,-0.0633817369060065
MCHP,30,7.333333333333333,-0.014128223035289217,0.4,-0.05721241708067842
TWLO,18,7.166666666666667,-0.020703873133710193,0.4444444444444444,-0.0568971308711467
SNPS,15,7.266666666666667,-0.023293498925810185,0.26666666666666666,-0.0524103725830726
TCEHY,40,7.275,-0.005700256551428747,0.475,-0.04747542274883051
ISRG,57,7.157894736842105,-0.003908331257757968,0.5263157894736842,-0.04382706907885316
AZN,23,7.130434782608695,-0.010114385010356369,0.5217391304347826,-0.03639551981560124
AMGN,28,7.035714285714286,-0.006315046074276893,0.25,-0.03464625601288461
BP,5,7.6,-0.04542888420737318,0.0,-0.0340716631555297
BKNG,39,7.256410256410256,-0.004343018988370304,0.5128205128205128,-0.03334087549692065
GOOGL,28,7.0,-0.006230837034425953,0.5,-0.032170442836645
BKR,49,7.326530612244898,-0.004918430151419843,0.40816326530612246,-0.031886141409878506
CSGP,46,7.173913043478261,-0.0037651283918675154,0.391304347826087,-0.02871411510171739
UBER,10,7.3,-0.0182723859626032,0.4,-0.0274085789439047
KHC,2,7.0,-0.04457745666890005,0.0,-0.017830982667559902
SHOP,12,7.333333333333333,-0.007704662436759983,0.3333333333333333,-0.0178229676060724
SPCE,9,7.333333333333333,-0.012967157359425148,0.4444444444444444,-0.017505662435223904
GILD,94,7.159574468085107,0.000601793037887589,0.5425531914893617,-0.015868587583893246
GLOB,46,7.173913043478261,-0.002311461987312054,0.5,-0.015846584133765305
AEP,57,7.368421052631579,-0.0021624494820802797,0.5964912280701754,-0.01448367380846545
TM,4,7.0,-0.0211275368189794,0.0,-0.0126765220913876
ZS,2,7.0,-0.03505657702879665,0.5,-0.010516973108639
KDP,47,7.276595744680851,-0.0014233223490152831,0.48936170212765956,-0.008467162951488999
VALE,199,7.256281407035176,-0.0011160164641096774,0.4321608040201005,-0.007643584027027653
NXPI,12,7.166666666666667,-0.0036607470771671084,0.5833333333333334,-0.007472923648072699
MDLZ,16,7.3125,-0.002283282767662275,0.5625,-0.007357921453872646
SNAP,15,7.466666666666667,-0.0037538923055090738,0.4,-0.0070684234207885
INTU,12,7.083333333333333,-0.0026281627717317582,0.5833333333333334,-0.0047306929891171995
CCEP,27,7.37037037037037,-0.0006455398323647445,0.5185185185185185,-0.002985945263175605
FANG,36,7.305555555555555,-0.00013591302829125731,0.4722222222222222,-0.0024016913942849043
PANW,7,7.142857142857143,-0.0021072262935154565,0.42857142857142855,-0.002212587608191101
ON,136,7.235294117647059,8.045180336691629e-05,0.5367647058823529,-0.0015419299050390967
CDW,4,7.0,-0.00176762983888645,0.75,-0.001408139832640069
ODFL,179,7.284916201117318,2.3714288807779426e-05,0.4748603351955307,-0.0004202115244732064
EC,61,7.344262295081967,0.0014607214198713151,0.5245901639344263,0.00044528233825170006
PYPL,1,7.0,0.0046350165937576,1.0,0.0006952524890636
CTAS,2,8.0,0.0045468308318468,1.0,0.001364049249554
ILMN,66,7.136363636363637,0.003468552604489781,0.5,0.001391371971855996
SPOT,11,7.636363636363637,0.003773998121946934,0.6363636363636364,0.006227096901212301
ADP,2,7.0,0.027570805188396,1.0,0.0082712415565188
TEAM,5,7.0,0.011659157448574342,0.6,0.008744368086430698
RBLX,3,7.333333333333333,0.020027090888028634,0.6666666666666666,0.0090121908996129
ADBE,9,7.0,0.0068554166914207,0.4444444444444444,0.00925481253341805
PDD,31,7.354838709677419,0.0035343299639042096,0.3870967741935484,0.009499925523981299
AVGO,61,7.245901639344262,0.0014974420479925636,0.47540983606557374,0.010207291430842098
CSX,13,7.153846153846154,0.006126067951168877,0.6153846153846154,0.011945832504779
SHEL,4,7.0,0.020437165166996302,1.0,0.0122622991001976
NET,31,7.32258064516129,0.004562234509042308,0.5161290322580645,0.0138135552775682
NVO,121,7.2809917355371905,0.0007362358385884134,0.5206611570247934,0.01492306185630907
DDOG,2,8.0,0.0612514119088576,1.0,0.0183754235726572
WDAY,22,7.318181818181818,0.0038539564678568006,0.6818181818181818,0.0183904063257935
RIO,8,7.75,0.016629369828393904,0.75,0.0199552437940726
SBUX,94,7.23404255319149,0.0018783661218149646,0.48936170212765956,0.021842297090360563
GOOG,86,7.116279069767442,0.003045912454466656,0.45348837209302323,0.023535576037561803
ORLY,35,7.257142857142857,0.003197513937280503,0.6,0.028352863014276395
ASML,62,7.161290322580645,0.0033908812462314455,0.6129032258064516,0.03315499900020919
SONY,36,7.333333333333333,0.006534472907615808,0.5833333333333334,0.034025327636299396
ROST,18,7.611111111111111,0.013383847799337106,0.8333333333333334,0.0361363890582097
FAST,27,7.111111111111111,0.004800279377306597,0.48148148148148145,0.036429564405182004
IDXX,29,7.241379310344827,0.008453134247615917,0.6896551724137931,0.03685005949124653
AMZN,62,7.17741935483871,0.004007644207661582,0.532258064516129,0.03727109113125224
XEL,46,7.391304347826087,0.005446739532683283,0.6521739130434783,0.040583800294899997
VRTX,165,7.236363636363636,0.0015929155238127491,0.49696969696969695,0.04141032408650128
BHP,20,7.3,0.013197727906258575,0.7,0.04353405434219029
TMUS,63,7.222222222222222,0.0038414802492867674,0.5714285714285714,0.04635549113683869
PLTR,11,7.2727272727272725,0.03369102164896043,0.5454545454545454,0.0476328156712571
OKLO,34,7.382352941176471,0.019373609998789745,0.5588235294117647,0.049923571997216094
FTNT,82,7.2682926829268295,0.0035250616451982892,0.5121951219512195,0.05012759567455223
EXC,52,7.211538461538462,0.009893359283792131,0.6538461538461539,0.07763894159906166
CDNS,53,7.188679245283019,0.010076524260376704,0.6037735849056604,0.0801083678699938
MAR,42,7.380952380952381,0.013338939296220558,0.5238095238095238,0.08513374799860995
TTWO,159,7.19496855345912,0.003907314338666516,0.559748427672956,0.09407496239901465
MDB,83,7.180722891566265,0.008042068808785005,0.5421686746987951,0.09482958424533061
CPRT,144,7.263888888888889,0.004463813779699112,0.6597222222222222,0.0974811422254108
VIST,67,7.17910447761194,0.010700339366063447,0.5373134328358209,0.10119280612473891
KLAC,67,7.358208955223881,0.010210609220790636,0.6865671641791045,0.1122010902279394
SE,36,7.388888888888889,0.018622863152343763,0.6666666666666666,0.11359661426533679
EA,84,7.321428571428571,0.009295557134136968,0.6785714285714286,0.116149536278894
LRCX,165,7.242424242424242,0.004897900535987007,0.5454545454545454,0.12319067635249703
MRNA,47,7.23404255319149,0.01403569452676032,0.5106382978723404,0.1398115915591955
TSM,108,7.2407407407407405,0.008209891582813565,0.6481481481481481,0.14422332646670424
CRWD,52,7.3076923076923075,0.019347652848714727,0.5769230769230769,0.15211851280718264
TSLA,178,7.314606741573034,0.006752465033627349,0.5,0.17702089839741475
MNST,165,7.248484848484848,0.00620606919890912,0.5818181818181818,0.18638890187742596
MELI,252,7.26984126984127,0.004702201546792044,0.5476190476190477,0.20839201740924596
META,98,7.255102040816326,0.014715863673565255,0.5918367346938775,0.229324474539617
MU,284,7.302816901408451,0.005825426376290159,0.545774647887324,0.2306631746516946
RGTI,33,7.242424242424242,0.04934564921123319,0.42424242424242425,0.23459729797649992
PBR,344,7.244186046511628,0.004882734263776446,0.5377906976744186,0.25032031983518377
REGN,293,7.273037542662116,0.004568899905259696,0.5051194539249146,0.2569759561802336
WBD,188,7.276595744680851,0.01059771208416471,0.5531914893617021,0.2735696481522439
YPF,244,7.389344262295082,0.007853216083457567,0.5245901639344263,0.2755645777785826
JMIA,73,7.178082191780822,0.020882344694504878,0.5616438356164384,0.2827673729491903
RKLB,39,7.435897435897436,0.036932124190820544,0.5128205128205128,0.2951924093939876
AMAT,115,7.260869565217392,0.019263674442995097,0.5652173913043478,0.35774794125068426
KEEL,115,7.191304347826087,0.015806000567610667,0.45217391304347826,0.3672409939252429
DXCM,428,7.268691588785047,0.006248846089200348,0.5654205607476636,0.40946613568326884
MRVL,200,7.325,0.018271960213992158,0.495,0.5359539653771156
AMD,564,7.274822695035461,0.0069299878830309134,0.5602836879432624,0.5552877803957573
INTC,193,7.316062176165803,0.018555382974786747,0.5647668393782384,0.5722993260037615
ASTS,93,7.333333333333333,0.04481271052276571,0.5268817204301075,0.6178991269754008
NFLX,391,7.268542199488491,0.012644952338860947,0.5601023017902813,0.7916382381769316
SMCI,433,7.274826789838337,0.01238640495015235,0.5658198614318707,0.8448400788815649
NVDA,468,7.232905982905983,0.01425424238445759,0.6089743589743589,1.0665559784879302
MSTR,481,7.3201663201663205,0.021163091088556678,0.4968814968814969,1.6388206261707463
