metric,baseline,full_quant_research,regime_gated_full_quant,full_quant_minus_baseline,regime_gated_minus_baseline
Calmar,3.857400320021568,3.508062916622981,3.857400320021568,-0.3493374033985872,0.0
SL_rate,0.10185185185185185,0.07777777777777778,0.10185185185185185,-0.024074074074074067,0.0
Sortino,0.9972460737495588,0.6633276270169621,0.9972460737495588,-0.33391844673259663,0.0
TP_minus_SL,0.17592592592592593,0.21111111111111108,0.17592592592592593,0.03518518518518515,0.0
TP_rate,0.2777777777777778,0.28888888888888886,0.2777777777777778,0.011111111111111072,0.0
average_cash,0.59,0.68,0.59,0.09000000000000008,0.0
average_selected_count,3.6,3.0,3.6,-0.6000000000000001,0.0
average_turnover,0.5707142857142857,0.5236904761904763,0.5707142857142857,-0.04702380952380947,0.0
direction_accuracy_10d,0.7,0.65,0.7,-0.04999999999999993,0.0
direction_accuracy_20d,0.85,0.85,0.85,0.0,0.0
direction_accuracy_5d,0.65,0.65,0.65,0.0,0.0
hit_rate_10d,0.7,0.65,0.7,-0.04999999999999993,0.0
hit_rate_20d,0.85,0.85,0.85,0.0,0.0
hit_rate_5d,0.65,0.65,0.65,0.0,0.0
max_drawdown,-0.04090187471953244,-0.023394823721754054,-0.04090187471953244,0.017507050997778384,0.0
realized_return,0.011851387524069779,0.0060961072844731845,0.011851387524069779,-0.005755280239596594,0.0
realized_sharpe,1.1301694412793444,0.7648454564788412,1.1301694412793444,-0.3653239848005032,0.0
realized_volatility,0.1396028762324403,0.10730339422691915,0.1396028762324403,-0.03229948200552116,0.0
timeout_rate,0.6203703703703703,0.6333333333333333,0.6203703703703703,0.012962962962962954,0.0
