date,realized_portfolio_return_1d,cash_weight,selected_count,turnover,max_weight,portfolio_expected_return,portfolio_expected_volatility,portfolio_expected_sharpe,timing_model,target_model,model_mode,gate_decision,gate_reason,realized_portfolio_return_5d,realized_portfolio_return_10d,realized_portfolio_return_20d
2024-01-02,-0.005985883244522975,0.4999999999999999,4,1.0,0.15371358678395766,0.0018216868543958855,0.013318149536041848,0.13678227966024856,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.00020789727697552614,0.001804348934363681,0.015302121498186199
2024-01-09,0.0004984206823912569,0.5,4,0.8571428571428571,0.1349439142647551,0.002023557139676838,0.019798905692549468,0.10220550423846522,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.01117386248643744,0.06022061244265222,0.05303946405368566
2024-01-17,0.003745119908411613,0.5,4,0.6666666666666666,0.14928036601088757,0.0025802946977361773,0.01776319700358544,0.1452607150174236,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.027259222333755363,0.022967142801388323,0.03777104260666505
2024-01-24,0.0026979544287881766,0.5,4,0.6666666666666666,0.13775143699242381,0.0025776012782784117,0.017322290087791445,0.14880256970728575,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.010409994171687179,0.019373855245643366,0.04432824415747501
2024-01-31,0.007982126682182069,0.5,4,0.4,0.15652378937339181,0.00301032223190426,0.018458142305569556,0.1630891225167294,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.027383438542775078,0.04453328898923984,0.07197373384605592
2024-02-07,-4.7666948343306906e-05,0.5,4,0.8571428571428571,0.16479470972113575,0.005153184569798728,0.01828513683462746,0.2818236809713061,trend_persistence,quant,regime_gated_full_quant,allow_full_quant,risk_on_with_sufficient_confidence,0.010675975489381857,0.030726276263328627,0.08059328612209293
2024-02-14,0.004044095856578757,0.5,4,0.6666666666666666,0.16505528999227861,0.005490628000406829,0.017862491328708725,0.3073831023549471,trend_persistence,quant,regime_gated_full_quant,allow_full_quant,risk_on_with_sufficient_confidence,0.02108671878564852,0.027422954985269702,0.04955966984730549
2024-02-22,-0.001529285560409785,0.5,4,0.4,0.1342956021947205,0.0037427719157107435,0.01760090925107786,0.21264650946834124,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.004673346457716349,0.038215837141759516,0.034889177289031556
2024-02-29,0.01592233807898901,0.5,4,0.4,0.1427332154842334,0.003764720335854235,0.016651777393941608,0.22608519479872147,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.034237443047891114,0.022250861931342483,0.03374312768340906
2024-03-07,-0.02530875727594858,0.5,4,0.8571428571428571,0.17359558495342697,0.0028428180444794353,0.015055783090630374,0.18881900910545124,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.03255766478500225,-0.027030296049750463,-0.04081386946603788
2024-03-14,0.0029460083631708033,0.5,4,0.8571428571428571,0.15030232611079686,0.002459309568490914,0.014482049233116327,0.169817788139207,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.02664446952033972,0.01589800836263445,0.017769672619019405
2024-03-21,-0.00020319102088881244,0.5,4,0.8571428571428571,0.14132077214442504,0.0014377987261795166,0.00917488245886683,0.1567103156498744,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.0061355576079200865,-0.008814777784542533,-0.015459332739657447
2024-03-28,0.0042509387582729125,0.5,4,0.6666666666666666,0.15253322751494172,0.0010362292427892612,0.010229234343812366,0.10130076288809174,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.01207089151554486,-0.01207359566410229,0.003046312828427997
2024-04-05,0.00750313039210173,0.5,4,1.0,0.14895111534444905,0.0021974998627691702,0.015733403943328582,0.139670974614554,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,0.003675077529431946,-0.02907864348493,0.009691837865562773
2024-04-12,-0.012860900766544335,0.5,4,0.6666666666666666,0.15690954557068926,0.002692681064734636,0.01691017422821259,0.15923437738697108,ema,basic,regime_gated_full_quant,fallback_baseline,insufficient_full_quant_edge,-0.04080245784826423,-0.003933885724355365,0.015126765766937788
2024-04-19,0.005208732986568791,0.8,2,1.0,0.10065831328403413,0.000889468888445648,0.013921504150413705,0.06389172310947562,ema,basic,regime_gated_full_quant,fallback_baseline,risk_off_regime,0.003468034613587995,0.004176602542875418,0.017832100731637955
