experiment_type,parameter,CAGR,max_drawdown,annual_volatility,average_cash,cash_utilization_pct,Sharpe,Calmar
dual_trend,disabled_100_100_100,0.17514173206004702,-0.3468471647806166,0.18950339703201857,0.400359597576596,0.599640402423404,0.9472658706205487,0.5049536217798564
dual_trend,conservative_70_50_35,0.17466697900017825,-0.3465699751754493,0.18806387508013084,0.40650064661261487,0.5934993533873851,0.9508802767607604,0.5039876259094689
vol_target,26pct,0.17466741851010115,-0.34630304580740134,0.18715897720887253,0.4123006833712984,0.5876993166287017,0.9545356354510549,0.5043773672358733
vol_target,28pct,0.17466741851010115,-0.34630304580740134,0.18715897720887253,0.4123006833712984,0.5876993166287017,0.9545356354510549,0.5043773672358733
vol_target,30pct,0.17466741851010115,-0.34630304580740134,0.18715897720887253,0.4123006833712984,0.5876993166287017,0.9545356354510549,0.5043773672358733
vol_target,24pct,0.17465600545568516,-0.34630304580740134,0.18713693002883972,0.4123662340185038,0.5876337659814962,0.9545746906542767,0.5043444103948806
exposure_cap,60pct,0.17412832323866523,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.5873490117017359,0.9532287950431977,0.5028206518735264
exposure_cap,70pct,0.17412832323866523,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.5873490117017359,0.9532287950431977,0.5028206518735264
exposure_cap,80pct,0.17412832323866523,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.5873490117017359,0.9532287950431977,0.5028206518735264
exposure_cap,90pct,0.17412832323866523,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.5873490117017359,0.9532287950431977,0.5028206518735264
exposure_cap,100pct,0.17412832323866523,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.5873490117017359,0.9532287950431977,0.5028206518735264
vol_target,22pct,0.17412832323866523,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.5873490117017359,0.9532287950431977,0.5028206518735264
dual_trend,current_60_40_25,0.17412832323866523,-0.34630304580740134,0.18688016388550396,0.41265098829826413,0.5873490117017359,0.9532287950431977,0.5028206518735264
vol_target,20pct,0.17367935550778935,-0.3468030109087108,0.1864966990464405,0.41327361400069346,0.5867263859993066,0.9527553642777492,0.5008011754358934
vol_target,18pct,0.1730406000795237,-0.34545546024739593,0.18553674451854849,0.41525593355902835,0.5847440664409717,0.9538022509913743,0.5009056737896158
vol_target,15pct,0.1735449975486918,-0.3332262900170997,0.18277088398094596,0.42026300693130947,0.5797369930686905,0.9678194669645522,0.5208022378419969
production,current,0.16880002846474862,-0.2465567603729948,0.17078585512557087,0.46088561244405013,0.5391143875559499,0.9992752242100914,0.6846294873820754
exposure_cap,50pct,0.14674310978085026,-0.2947441936949069,0.1567365905606881,0.5061503416856492,0.4938496583143508,0.9527622826556272,0.49786598996669545
dual_trend,aggressive_50_30_15,0.1461584021384994,-0.2944672627908025,0.15563238292459158,0.5123006833712984,0.4876993166287016,0.955109938292491,0.4963485609683352
exposure_cap,40pct,0.11842204063325368,-0.24075612371339905,0.12651885548690556,0.5999999999999999,0.40000000000000013,0.9485978188326559,0.4918755079070207
