date,ticker,action,old_weight,new_weight,weight_change,old_position_value,new_position_value,estimated_trade_value,reason,data_mode,growth_model_version,execution_price,raw_target_rank,raw_target_return_exact,quality_filter_pass,tradability_filter_pass,holding_quality_classification,archive_reason
2026-06-25,AMAT,BUY,0.0,0.1124999999999999,0.1124999999999999,0.0,11249.99999999999,11249.99999999999,official_forward_baseline_reset_initial_position,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-25,KEEL,BUY,0.0,0.1124999999999999,0.1124999999999999,0.0,11249.99999999999,11249.99999999999,official_forward_baseline_reset_initial_position,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-25,ARM,BUY,0.0,0.1124999999999999,0.1124999999999999,0.0,11249.99999999999,11249.99999999999,official_forward_baseline_reset_initial_position,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-25,MU,BUY,0.0,0.1124999999999999,0.1124999999999999,0.0,11249.99999999999,11249.99999999999,official_forward_baseline_reset_initial_position,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-25,CASH,CASH_CHANGE,1.0,0.55,-0.4499999999999999,100000.0,55000.00000000001,44999.99999999999,official_forward_baseline_reset_cash,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-26,AMAT,HOLD,0.1124999999999999,0.1124999999999999,0.0,10442.902795592849,10354.444508877805,0.0,still_selected_same_weight,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,647.3300170898438,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-26,ARM,HOLD,0.1124999999999999,0.1124999999999999,0.0,10442.902795592849,10354.444508877805,0.0,still_selected_same_weight,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,334.2950134277344,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-26,KEEL,HOLD,0.1124999999999999,0.1124999999999999,0.0,10442.902795592849,10354.444508877805,0.0,still_selected_same_weight,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,5.952600002288818,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-26,MU,HOLD,0.1124999999999999,0.1124999999999999,0.0,10442.902795592849,10354.444508877805,0.0,still_selected_same_weight,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,1151.010009765625,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-26,CASH,HOLD,0.55,0.55,0.0,50621.7287100693,50621.7287100693,0.0,cash_unchanged,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,1.0,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-29,CASH,HOLD,0.55,0.55,0.0,52386.00710501869,52386.00710501869,0.0,cash_unchanged,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,1.0,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-29,KEEL,HOLD,0.1124999999999999,0.1124999999999999,0.0,10354.444508877805,10715.31963511745,0.0,still_selected_same_weight,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,6.289999961853027,,,,,,official row invalidated by Phase100 stale market data audit
2026-06-29,MU,HOLD,0.1124999999999999,0.1124999999999999,0.0,10354.444508877805,10715.31963511745,0.0,still_selected_same_weight,historical_debug_reconstruction,growth_champion_final_v1_0_frozen,1133.989990234375,,,,,,official row invalidated by Phase100 stale market data audit
