date,gross_daily_return,exposure,cash,fully_invested_equivalent_return,cash_drag_return
2008-12-31,-0.0152752787995948,0.25,0.75,-0.0611011151983792,0.0458258363987844
2009-01-08,-0.0181874529073417,0.25,0.75,-0.0727498116293668,0.054562358722025105
2009-01-15,-0.0020912654248463,0.25,0.75,-0.0083650616993852,0.0062737962745389
2009-01-23,0.0130979589518689,0.25,0.75,0.0523918358074756,-0.0392938768556067
2009-01-30,0.0122206010226717,0.25,0.75,0.0488824040906868,-0.0366618030680151
2009-02-06,-0.0176382044105967,0.25,0.75,-0.0705528176423868,0.0529146132317901
2009-02-13,0.0243696662295381,0.25,0.75,0.0974786649181524,-0.0731089986886143
2009-02-23,-0.0064732504528787,0.25,0.75,-0.0258930018115148,0.0194197513586361
2009-03-02,0.0112085626544352,0.25,0.75,0.0448342506177408,-0.0336256879633056
2009-03-09,0.0111088853080752,0.25,0.75,0.0444355412323008,-0.033326655924225596
2009-03-16,0.0072303200657822,0.25,0.75,0.0289212802631288,-0.0216909601973466
2009-03-23,-0.0069316504445668,0.25,0.75,-0.0277266017782672,0.0207949513337004
2009-03-30,0.0065259698061286,0.25,0.75,0.0261038792245144,-0.0195779094183858
2009-04-06,0.0142413583769294,0.25,0.75,0.0569654335077176,-0.0427240751307882
2009-04-14,0.0126338824948372,0.25,0.75,0.0505355299793488,-0.0379016474845116
2009-04-21,0.0031888845550771,0.25,0.75,0.0127555382203084,-0.0095666536652313
2009-04-28,0.0376836961340653,0.25,0.75,0.1507347845362612,-0.11305108840219591
2009-05-05,-0.059576256044096,0.4,0.6,-0.14894064011024,0.089364384066144
2009-05-12,0.008774555207399,0.4,0.6,0.0219363880184975,-0.0131618328110985
2009-05-19,-0.019395139147033,0.4,0.6,-0.04848784786758249,0.029092708720549493
2009-05-27,0.0261113516469262,0.4,0.6,0.0652783791173155,-0.039167027470389304
2009-06-03,0.0150781115714093,0.6,0.4,0.025130185952348835,-0.010052074380939535
2009-06-10,-0.0653655711311343,0.6,0.4,-0.1089426185518905,0.0435770474207562
2009-06-17,-0.0104932927978886,0.6,0.4,-0.017488821329814334,0.0069955285319257335
2009-06-24,-0.0073527059721916,0.6,0.4,-0.012254509953652667,0.0049018039814610675
2009-07-01,-0.0431661515777054,0.6,0.4,-0.07194358596284234,0.02877743438513694
2009-07-09,0.032520679792189,0.6,0.4,0.05420113298698167,-0.02168045319479267
2009-07-16,0.032846055462156,0.6,0.4,0.05474342577026,-0.021897370308104
2009-07-23,0.0041602366025208,0.6,0.4,0.006933727670868001,-0.0027734910683472006
2009-07-30,0.0192251823899743,0.6,0.4,0.03204197064995717,-0.012816788259982868
2009-08-06,-0.0048294248954703,0.6,0.4,-0.0080490414924505,0.0032196165969802003
2009-08-13,0.0408574155252868,0.6,0.4,0.06809569254214468,-0.027238277016857874
2009-08-20,-0.0193170624258641,0.6,0.4,-0.03219510404310683,0.012878041617242732
2009-08-27,-0.0096602542754356,0.6,0.4,-0.016100423792392668,0.006440169516957068
2009-09-03,0.0161312836008107,0.6,0.4,0.026885472668017833,-0.010754189067207133
2009-09-11,0.0034015333850357,0.6,0.4,0.005669222308392834,-0.0022676889233571337
2009-09-18,0.0171654707467512,0.6,0.4,0.028609117911252004,-0.011443647164500803
2009-09-25,-0.0056695149469962,0.6,0.4,-0.009449191578327,0.0037796766313308
2009-10-02,0.0132368370011745,0.6,0.4,0.0220613950019575,-0.008824558000783002
2009-10-09,-0.0123983795583268,0.6,0.4,-0.02066396593054467,0.008265586372217868
2009-10-16,-0.0209216092559243,0.6,0.4,-0.03486934875987383,0.013947739503949532
2009-10-23,-0.0444350543368196,0.6,0.4,-0.07405842389469934,0.02962336955787974
2009-10-30,0.0583040400012195,0.6,0.4,0.0971734000020325,-0.03886936000081301
2009-11-06,0.0095994875252223,0.6,0.4,0.0159991458753705,-0.006399658350148201
2009-11-13,0.0145936332221394,0.6,0.4,0.024322722036899003,-0.009729088814759602
2009-11-20,0.0112783961835382,0.6,0.4,0.018797326972563668,-0.007518930789025468
2009-11-30,0.0136895709810135,0.6,0.4,0.0228159516350225,-0.009126380654009001
2009-12-07,0.0065694468895973,0.6,0.4,0.010949078149328833,-0.004379631259731533
2009-12-14,0.0108662918143008,0.6,0.4,0.018110486357168002,-0.0072441945428672015
2009-12-21,0.0095202638998132,0.6,0.4,0.015867106499688668,-0.006346842599875467
2009-12-29,0.0044074453394692,0.6,0.4,0.007345742232448668,-0.0029382968929794672
2010-01-06,-0.0116416035029028,0.6,0.4,-0.019402672504838,0.007761069001935201
2010-01-13,-0.0310509288299101,0.6,0.4,-0.05175154804985017,0.020700619219940066
2010-01-21,0.0125155440288851,0.6,0.4,0.020859240048141832,-0.008343696019256733
2010-01-28,-0.0105714742297558,0.6,0.4,-0.017619123716259667,0.007047649486503866
2010-02-04,0.0516643090383989,0.6,0.4,0.08610718173066484,-0.03444287269226594
2010-02-11,0.0271354037568698,0.6,0.4,0.045225672928116335,-0.018090269171246537
2010-02-19,-0.0098131853572311,0.6,0.4,-0.0163553089287185,0.006542123571487401
2010-02-26,0.0140852788761265,0.6,0.4,0.023475464793544166,-0.009390185917417667
2010-03-05,0.0013801678497606,0.6,0.4,0.0023002797496010003,-0.0009201118998404003
2010-03-12,0.0211668041406389,0.6,0.4,0.035278006901064834,-0.014111202760425934
2010-03-19,0.0108583996773983,0.6,0.4,0.018097332795663834,-0.007238933118265534
2010-03-26,0.0020171896889912,0.6,0.4,0.0033619828149853335,-0.0013447931259941335
