model,status,start_date,end_date,observations,total_return,CAGR,volatility,Sharpe,Sortino,Calmar,max_drawdown,cedear_available_tickers,average_cedear_selected_count,average_cash,realized_return_observations_used,reason
growth_champion_v2,reference_only_existing_non_cedear_filtered_series,2022-01-03,2026-05-15,220,2.17211008312128,0.3137129939764294,0.22281033465788852,1.3387810065621797,2.26250979104123,1.5875452656903248,-0.19760884981129345,,,,,
growth_champion_v2_cedear_filtered,cedear_post_selection_filtered_not_reoptimized,2022-01-03,2026-05-15,220,1.8965825395892133,0.28579884972812897,0.22362749515434988,1.2380698080487034,2.1378949791779536,1.2015408975834359,-0.23786027616948668,88.0,3.7227272727272727,0.402559503510757,819.0,filtered existing Growth Champion v2 selections to CEDEAR-available tickers; no reoptimization; not point-in-time
